date,FuelSale_tons_benzinkomponenten_insg,FuelSale_tons_benzinkomponenten_chemWeiterVera,FuelSale_tons_benzinkomponenten_sonstige
2018-01,319079.0,223582.0,95497.0
2018-02,291708.0,196576.0,95132.0
2018-03,299940.0,204348.0,95592.0
2018-04,285457.0,198221.0,87236.0
2018-05,304032.0,209319.0,94713.0
2018-06,256688.0,163797.0,92891.0
2018-07,270575.0,174716.0,95859.0
2018-08,290542.0,203546.0,86996.0
2018-09,262648.0,220709.0,41939.0
2018-10,219947.0,188649.0,31298.0
2018-11,232931.0,192510.0,40421.0
2018-12,322704.0,260365.0,62339.0
2019-01,321655.0,235870.0,85785.0
2019-02,295957.0,202238.0,93719.0
2019-03,299693.0,214464.0,85229.0
2019-04,265594.0,185202.0,80392.0
2019-05,287071.0,208018.0,79053.0
2019-06,249862.0,162300.0,87562.0
2019-07,280274.0,190423.0,89851.0
2019-08,278454.0,188374.0,90080.0
2019-09,271097.0,174821.0,96276.0
2019-10,306588.0,208093.0,98495.0
2019-11,279833.0,186742.0,93091.0
2019-12,301999.0,205535.0,96464.0
2020-01,317890.0,210892.0,106998.0
2020-02,292232.0,189489.0,102743.0
2020-03,280460.0,181321.0,99139.0
2020-04,209477.0,110937.0,98540.0
2020-05,261620.0,172027.0,89593.0
