date,FuelSale_rohbenzin_tons_insg,FuelSale_rohbenzin_tons_chemWeiterVera,FuelSale_rohbenzin_tons_sonstige
2001-01,1577563.0,1561677.0,15886.0
2001-02,1381803.0,1372801.0,9002.0
2001-03,1260032.0,1248105.0,11927.0
2001-04,1447148.0,1442972.0,4176.0
2001-05,1452231.0,1450317.0,1914.0
2001-06,1390423.0,1378597.0,11826.0
2001-07,1375850.0,1367117.0,8733.0
2001-08,1532170.0,1517342.0,14828.0
2001-09,1345397.0,1329241.0,16156.0
2001-10,1293614.0,1285722.0,7892.0
2001-11,1329666.0,1320298.0,9368.0
2001-12,1350347.0,1334545.0,15802.0
2002-01,1368217.0,1360241.0,7976.0
2002-02,1369033.0,1354352.0,14681.0
2002-03,1474746.0,1461332.0,13414.0
2002-04,1332374.0,1316667.0,15707.0
2002-05,1233027.0,1228703.0,4324.0
2002-06,1309580.0,1304230.0,5350.0
2002-07,1404833.0,1396598.0,8235.0
2002-08,1401645.0,1388828.0,12817.0
2002-09,1378378.0,1371273.0,7105.0
2002-10,1465944.0,1457385.0,8559.0
2002-11,1265867.0,1259786.0,6081.0
2002-12,1438215.0,1431688.0,6527.0
2003-01,1514427.0,1509729.0,4698.0
2003-02,1373020.0,1370190.0,2830.0
2003-03,1476989.0,1474011.0,2978.0
2003-04,1419832.0,1418040.0,1792.0
2003-05,1382684.0,1382107.0,577.0
2003-06,1323943.0,1318827.0,5116.0
2003-07,1328830.0,1325982.0,2848.0
2003-08,1336149.0,1328213.0,7936.0
2003-09,1363963.0,1360664.0,3299.0
2003-10,1475682.0,1461518.0,14164.0
2003-11,1474363.0,1470280.0,4083.0
2003-12,1511859.0,1509160.0,2699.0
2004-01,1600872.0,1580329.0,20543.0
2004-02,1440183.0,1435320.0,4863.0
2004-03,1660307.0,1655202.0,5105.0
2004-04,1571254.0,1562772.0,8482.0
2004-05,1311121.0,1307004.0,4117.0
2004-06,1352910.0,1341601.0,11309.0
2004-07,1501277.0,1488587.0,12690.0
2004-08,1509045.0,1497634.0,11411.0
2004-09,1388511.0,1383697.0,4814.0
2004-10,1412610.0,1405284.0,7326.0
2004-11,1442157.0,1436958.0,5199.0
2004-12,1705050.0,1702714.0,2336.0
2005-01,1632220.0,1631127.0,1093.0
2005-02,1499439.0,1497408.0,2031.0
2005-03,1550679.0,1549418.0,1261.0
2005-04,1507829.0,1504132.0,3697.0
2005-05,1474656.0,1471632.0,3024.0
2005-06,1327922.0,1324465.0,3457.0
2005-07,1427668.0,1416742.0,10926.0
2005-08,1498434.0,1492596.0,5838.0
2005-09,1523193.0,1517507.0,5686.0
2005-10,1559618.0,1557969.0,1649.0
2005-11,1469330.0,1464672.0,4658.0
2005-12,1553322.0,1538963.0,14359.0
2006-01,1548138.0,1544803.0,3335.0
2006-02,1326957.0,1322457.0,4500.0
2006-03,1479391.0,1474984.0,4407.0
2006-04,1398606.0,1395243.0,3363.0
2006-05,1427524.0,1424139.0,3385.0
2006-06,1360103.0,1358920.0,1183.0
2006-07,1370112.0,1365725.0,4387.0
2006-08,1417863.0,1411287.0,6576.0
2006-09,1235664.0,1232185.0,3479.0
2006-10,1377671.0,1374243.0,3428.0
2006-11,1541454.0,1538978.0,2476.0
2006-12,1533169.0,1529594.0,3575.0
2007-01,1573278.0,1563532.0,9746.0
2007-02,1380392.0,1378031.0,2361.0
2007-03,1538518.0,1531857.0,6661.0
2007-04,1292227.0,1288155.0,4072.0
2007-05,1400988.0,1382819.0,18169.0
2007-06,1227854.0,1218310.0,9544.0
2007-07,1364344.0,1341051.0,23293.0
2007-08,1372741.0,1331302.0,41439.0
2007-09,1260597.0,1228156.0,32441.0
2007-10,1476921.0,1456505.0,20416.0
2007-11,1303818.0,1285992.0,17826.0
2007-12,1517312.0,1500440.0,16872.0
2008-01,1379893.0,1347160.0,32733.0
2008-02,1587554.0,1550888.0,36666.0
2008-03,1462439.0,1429913.0,32526.0
2008-04,1293148.0,1264970.0,28178.0
2008-05,1360175.0,1327406.0,32769.0
2008-06,1233072.0,1204542.0,28530.0
2008-07,1358298.0,1327879.0,30419.0
2008-08,1363953.0,1343374.0,20579.0
2008-09,1317383.0,1297341.0,20042.0
2008-10,1213581.0,1184716.0,28865.0
2008-11,1127794.0,1116637.0,11157.0
2008-12,1047626.0,1033959.0,13667.0
2009-01,1112393.0,1095990.0,16403.0
2009-02,1224834.0,1193555.0,31279.0
2009-03,1367230.0,1327050.0,40180.0
2009-04,1209359.0,1172120.0,37239.0
2009-05,1256203.0,1221421.0,34782.0
2009-06,1237102.0,1212015.0,25087.0
2009-07,1305075.0,1282970.0,22105.0
2009-08,1304838.0,1274162.0,30676.0
2009-09,1320221.0,1287201.0,33020.0
2009-10,1306646.0,1272158.0,34488.0
2009-11,1322319.0,1285108.0,37211.0
2009-12,1270546.0,1226886.0,43660.0
2010-01,1438701.0,1401433.0,37268.0
2010-02,1329869.0,1295023.0,34846.0
2010-03,1549600.0,1496979.0,52621.0
2010-04,1189476.0,1166191.0,23285.0
2010-05,1297282.0,1267648.0,29634.0
2010-06,1374372.0,1331082.0,43290.0
2010-07,1467020.0,1413682.0,53338.0
2010-08,1436033.0,1389893.0,46140.0
2010-09,1306183.0,1263025.0,43158.0
