date,ECO_Gastronomy
1994-01,152.3
1994-02,147.6
1994-03,166
1994-04,168.1
1994-05,182.6
1994-06,175.8
1994-07,180.5
1994-08,178.8
1994-09,178.2
1994-10,176.7
1994-11,164.4
1994-12,180.8
1995-01,146.9
1995-02,149.1
1995-03,161.9
1995-04,167.7
1995-05,181.1
1995-06,176.7
1995-07,177.9
1995-08,176.1
1995-09,174.8
1995-10,174
1995-11,159.8
1995-12,173.9
1996-01,143.1
1996-02,144.1
1996-03,161.7
1996-04,163.6
1996-05,174.1
1996-06,167.1
1996-07,171.1
1996-08,172
1996-09,165.8
1996-10,168.1
1996-11,153.6
1996-12,166.1
1997-01,138.6
1997-02,138.3
1997-03,156.9
1997-04,155.9
1997-05,172.9
1997-06,163.7
1997-07,168.1
1997-08,169.3
1997-09,165.8
1997-10,163
1997-11,151.1
1997-12,164.6
1998-01,140.5
1998-02,137
1998-03,150.2
1998-04,151.6
1998-05,166.1
1998-06,154.2
1998-07,160.4
1998-08,161
1998-09,155.3
1998-10,155.1
1998-11,144.1
1998-12,160.2
1999-01,135.6
1999-02,130.2
1999-03,144.7
1999-04,148.5
1999-05,161.9
1999-06,152.7
1999-07,161.7
1999-08,157.2
1999-09,157.1
1999-10,155
1999-11,143
1999-12,157.6
2000-01,131.3
2000-02,130.9
2000-03,142.3
2000-04,147.4
2000-05,156.4
2000-06,155.7
2000-07,154.9
2000-08,153.2
2000-09,153.5
2000-10,149.7
2000-11,136.9
2000-12,153.6
2001-01,128.2
2001-02,126.7
2001-03,140.7
2001-04,142.9
2001-05,155.7
2001-06,152.6
2001-07,155.9
2001-08,154.7
2001-09,147.5
2001-10,150.2
2001-11,138.5
2001-12,153
2002-01,121.5
2002-02,118.1
2002-03,134.4
2002-04,133.6
2002-05,142.9
2002-06,137.4
2002-07,138.7
2002-08,139.5
2002-09,135.4
2002-10,131.3
2002-11,121.4
2002-12,132.8
2003-01,112.1
2003-02,110.1
2003-03,122.9
2003-04,122.8
2003-05,133.4
2003-06,130.3
2003-07,132.3
2003-08,133.1
2003-09,129.3
2003-10,126.8
2003-11,117.8
2003-12,129.3
2004-01,107.8
2004-02,108.1
2004-03,114.8
2004-04,120
2004-05,128.1
2004-06,120.8
2004-07,127.2
2004-08,125.2
2004-09,123.6
2004-10,123.1
2004-11,112.6
2004-12,125.2
2005-01,104.5
2005-02,99.8
2005-03,112.1
2005-04,116
2005-05,122.9
2005-06,120
2005-07,125.4
2005-08,122.3
2005-09,123.3
2005-10,120.8
2005-11,108.8
2005-12,123.8
2006-01,101.3
2006-02,98.7
2006-03,107.6
2006-04,114.6
2006-05,120.7
2006-06,119.4
2006-07,124.2
2006-08,119.4
2006-09,123.6
2006-10,118.6
2006-11,108.8
2006-12,124.6
2007-01,98.9
2007-02,98
2007-03,110.6
2007-04,114.2
2007-05,118.5
2007-06,117.3
2007-07,119.2
2007-08,118.2
2007-09,116.4
2007-10,115.6
2007-11,107.6
2007-12,120.1
2008-01,96.4
2008-02,99.1
2008-03,104.9
2008-04,107
2008-05,118.1
2008-06,112.2
2008-07,115.6
2008-08,116.6
2008-09,111.7
2008-10,111.7
2008-11,103.8
2008-12,113.8
2009-01,88.3
2009-02,86.2
2009-03,95.3
2009-04,102
2009-05,110.7
2009-06,104.7
2009-07,110.6
2009-08,111.4
2009-09,105.2
2009-10,103.2
2009-11,94.7
2009-12,106.5
2010-01,83.6
2010-02,83.7
2010-03,95.1
2010-04,98.2
2010-05,104
2010-06,102.7
2010-07,109.5
2010-08,106.8
2010-09,105.4
2010-10,105.7
2010-11,95.6
2010-12,103
2011-01,86.9
2011-02,84.9
2011-03,97.1
2011-04,101.5
2011-05,106.7
2011-06,105.6
2011-07,110.4
2011-08,106.1
2011-09,108.2
2011-10,106.3
2011-11,97.7
2011-12,108.7
2012-01,86.4
2012-02,86
2012-03,98.2
2012-04,98
2012-05,106.6
2012-06,103.5
2012-07,106.9
2012-08,107.1
2012-09,107.2
2012-10,102.9
2012-11,96.8
2012-12,108.1
2013-01,84
2013-02,82.5
2013-03,95.6
2013-04,96
2013-05,104
2013-06,103.9
2013-07,107
2013-08,106.6
2013-09,104.9
2013-10,102.3
2013-11,96.7
2013-12,105.9
2014-01,85.5
2014-02,84.7
2014-03,96.4
2014-04,95.2
2014-05,105.2
2014-06,101.8
2014-07,106.3
2014-08,107.3
2014-09,104.5
2014-10,104.4
2014-11,97.1
2014-12,107.6
2015-01,85.1
2015-02,83.6
2015-03,92.9
2015-04,96.6
2015-05,106.3
2015-06,104.2
2015-07,109.1
2015-08,109
2015-09,104.6
2015-10,104.4
2015-11,95.9
2015-12,108.4
2016-01,85.3
2016-02,85.7
2016-03,93.6
2016-04,98.5
2016-05,104.9
2016-06,102.8
2016-07,110.2
2016-08,106.4
2016-09,108.6
2016-10,103.8
2016-11,94.4
2016-12,107.6
2017-01,85
2017-02,85.7
2017-03,98.2
2017-04,100.5
2017-05,106.6
2017-06,107.9
2017-07,111.5
2017-08,107.9
2017-09,108.9
2017-10,105.8
2017-11,96.5
2017-12,110.2
2018-01,87.9
2018-02,85.7
2018-03,97.1
2018-04,102.4
2018-05,107.8
2018-06,108.4
2018-07,111.2
2018-08,110.1
2018-09,109.6
2018-10,106.6
2018-11,101.1
2018-12,112.6
2019-01,88.2
2019-02,90.5
2019-03,100.8
2019-04,101.6
2019-05,108
2019-06,109.9
2019-07,110.6
2019-08,112
2019-09,108.7
2019-10,106.4
2019-11,102.4
2019-12,111.1
2020-01,91
2020-02,91.4
2020-03,58
2020-04,32
