date,ECO_Unemployment_Number
2005-01,5086847
2005-02,5288245
2005-03,5266085
2005-04,5052429
2005-05,4884238
2005-06,4780624
2005-07,4836693
2005-08,4797562
2005-09,4646505
2005-10,4555075
2005-11,4531416
2005-12,4605189
2006-01,5010490
2006-02,5047480
2006-03,4977588
2006-04,4790661
2006-05,4538328
2006-06,4398773
2006-07,4386260
2006-08,4371951
2006-09,4237806
2006-10,4084463
2006-11,3995743
2006-12,4008111
2007-01,4262175
2007-02,4225972
2007-03,4104788
2007-04,3958211
2007-05,3795938
2007-06,3672926
2007-07,3701000
2007-08,3691890
2007-09,3530642
2007-10,3421392
2007-11,3366876
2007-12,3395221
2008-01,3647905
2008-02,3606079
2008-03,3496864
2008-04,3403667
2008-05,3274026
2008-06,3151679
2008-07,3201841
2008-08,3187764
2008-09,3073268
2008-10,2989231
2008-11,2980969
2008-12,3094150
2009-01,3480171
2009-02,3542602
2009-03,3576362
2009-04,3575257
2009-05,3449223
2009-06,3402047
2009-07,3454498
2009-08,3463439
2009-09,3338882
2009-10,3221207
2009-11,3208044
2009-12,3268167
2010-01,3610046
2010-02,3635346
2010-03,3560493
2010-04,3400163
2010-05,3236363
2010-06,3148611
2010-07,3186929
2010-08,3183217
2010-09,3026830
2010-10,2941020
2010-11,2926971
2010-12,3011586
2011-01,3345974
2011-02,3313207
2011-03,3211229
2011-04,3078569
2011-05,2960620
2011-06,2893990
2011-07,2939945
2011-08,2945545
2011-09,2796310
2011-10,2737666
2011-11,2713813
2011-12,2780984
2012-01,3084711
2012-02,3110442
2012-03,3028414
2012-04,2963570
2012-05,2855270
2012-06,2809107
2012-07,2875971
2012-08,2905113
2012-09,2788249
2012-10,2753361
2012-11,2751485
2012-12,2839824
2013-01,3138232
2013-02,3156246
2013-03,3097817
2013-04,3020275
2013-05,2936915
2013-06,2864666
2013-07,2914096
2013-08,2945710
2013-09,2848950
2013-10,2801191
2013-11,2806146
2013-12,2873806
2014-01,3135802
2014-02,3137867
2014-03,3054722
2014-04,2943335
2014-05,2882029
2014-06,2832780
2014-07,2871351
2014-08,2901823
2014-09,2807806
2014-10,2732769
2014-11,2716852
2014-12,2763521
2015-01,3031604
2015-02,3017003
2015-03,2931505
2015-04,2842844
2015-05,2761696
2015-06,2711187
2015-07,2772642
2015-08,2795597
2015-09,2708043
2015-10,2649277
2015-11,2633157
2015-12,2681415
2016-01,2920421
2016-02,2911165
2016-03,2844891
2016-04,2743864
2016-05,2664014
2016-06,2614217
2016-07,2661042
2016-08,2684289
2016-09,2607607
2016-10,2539939
2016-11,2531975
2016-12,2568273
2017-01,2777387
2017-02,2762095
2017-03,2662111
2017-04,2568612
2017-05,2497718
2017-06,2472642
2017-07,2517645
2017-08,2544845
2017-09,2448910
2017-10,2388711
2017-11,2368411
2017-12,2384961
2018-01,2570311
2018-02,2545936
2018-03,2458110
2018-04,2383752
2018-05,2315487
2018-06,2275787
2018-07,2324746
2018-08,2350876
2018-09,2256473
2018-10,2203851
2018-11,2186109
2018-12,2209546
2019-01,2405586
2019-02,2372700
2019-03,2301121
2019-04,2228876
2019-05,2235969
2019-06,2216243
2019-07,2275461
2019-08,2319408
2019-09,2234030
2019-10,2204090
2019-11,2179999
2019-12,2227159
2020-01,2425523
2020-02,2395604
2020-03,2335367
2020-04,2643744
2020-05,2812986
