year,ECO_Wholesale_Turnover
1994-01,84.1
1994-02,87.4
1994-03,106.4
1994-04,93
1994-05,96.8
1994-06,98.4
1994-07,89.8
1994-08,94.4
1994-09,101.8
1994-10,100.5
1994-11,103.9
1994-12,102.1
1995-01,86.3
1995-02,88.2
1995-03,105.8
1995-04,91.9
1995-05,100.5
1995-06,98.3
1995-07,91.4
1995-08,95.7
1995-09,100.1
1995-10,100.8
1995-11,102.6
1995-12,93.5
1996-01,86.3
1996-02,86.5
1996-03,94.5
1996-04,95.1
1996-05,95.4
1996-06,91.6
1996-07,95
1996-08,90.7
1996-09,97.6
1996-10,102.4
1996-11,97.8
1996-12,91.7
1997-01,86.9
1997-02,84.3
1997-03,90.9
1997-04,100.1
1997-05,89
1997-06,97.2
1997-07,96.5
1997-08,87.7
1997-09,100.1
1997-10,103.6
1997-11,94.6
1997-12,93.5
1998-01,85.8
1998-02,87.1
1998-03,103.7
1998-04,96.5
1998-05,93.1
1998-06,96.2
1998-07,96.7
1998-08,90.1
1998-09,101.9
1998-10,101.3
1998-11,99.6
1998-12,97.7
1999-01,80.5
1999-02,84.2
1999-03,106.8
1999-04,93.3
1999-05,91.7
1999-06,98.4
1999-07,95.4
1999-08,94.4
1999-09,103.3
1999-10,101.4
1999-11,105.7
1999-12,102.2
2000-01,81.4
2000-02,91.9
2000-03,103.1
2000-04,93.1
2000-05,106.7
2000-06,95.3
2000-07,92.9
2000-08,99.1
2000-09,102.1
2000-10,104.9
2000-11,108.2
2000-12,96.4
2001-01,88.5
2001-02,86.5
2001-03,100
2001-04,92.8
2001-05,99.1
2001-06,92.8
2001-07,93.4
2001-08,96.1
2001-09,93.8
2001-10,101.7
2001-11,99
2001-12,86.8
2002-01,82.9
2002-02,80.5
2002-03,90.5
2002-04,93.1
2002-05,89.1
2002-06,87.4
2002-07,92.1
2002-08,88.1
2002-09,90.9
2002-10,97.2
2002-11,91.3
2002-12,86.8
2003-01,81.7
2003-02,81.4
2003-03,91
2003-04,91.5
2003-05,89.4
2003-06,87.6
2003-07,92.4
2003-08,85.3
2003-09,94.1
2003-10,96.7
2003-11,91.9
2003-12,88.6
2004-01,80.5
2004-02,81.9
2004-03,98.5
2004-04,92.4
2004-05,87.4
2004-06,94.2
2004-07,91.1
2004-08,89.2
2004-09,98.3
2004-10,95.7
2004-11,98.7
2004-12,95.6
2005-01,83.5
2005-02,85
2005-03,98.1
2005-04,96.3
2005-05,94.6
2005-06,99.2
2005-07,92
2005-08,97.2
2005-09,101.9
2005-10,98.3
2005-11,103.3
2005-12,99.8
2006-01,87.1
2006-02,87.5
2006-03,104.8
2006-04,92.5
2006-05,102.5
2006-06,98.9
2006-07,95
2006-08,99.9
2006-09,103.4
2006-10,104.6
2006-11,107.8
2006-12,102.8
2007-01,89.6
2007-02,88.3
2007-03,104.9
2007-04,95.6
2007-05,99.4
2007-06,98.8
2007-07,98.8
2007-08,99.6
2007-09,99.7
2007-10,108.8
2007-11,107.5
2007-12,97.2
2008-01,97.4
2008-02,98
2008-03,99.7
2008-04,108
2008-05,100.8
2008-06,104
2008-07,104.8
2008-08,98.2
2008-09,112.2
2008-10,111.6
2008-11,102.8
2008-12,101.2
2009-01,85
2009-02,84.7
2009-03,98
2009-04,92.2
2009-05,87.5
2009-06,90.9
2009-07,93.9
2009-08,88
2009-09,99.2
2009-10,100.8
2009-11,99.8
2009-12,96.3
2010-01,81
2010-02,85.2
2010-03,106.9
2010-04,96.4
2010-05,96.3
2010-06,103.9
2010-07,98.2
2010-08,97
2010-09,106.1
2010-10,103.5
2010-11,107
2010-12,100.5
2011-01,87.1
2011-02,91
2011-03,108.5
2011-04,96.7
2011-05,104.7
2011-06,97.9
2011-07,97.9
2011-08,101.8
2011-09,108.4
2011-10,103.2
2011-11,107.9
2011-12,101
2012-01,90.3
2012-02,93.3
2012-03,107
2012-04,94.7
2012-05,100.3
2012-06,100.8
2012-07,99.4
2012-08,100
2012-09,99.1
2012-10,107.3
2012-11,105.6
2012-12,93
2013-01,92.1
2013-02,88.1
2013-03,98.7
2013-04,101.1
2013-05,97.5
2013-06,98.3
2013-07,102.9
2013-08,98.3
2013-09,102.9
2013-10,107
2013-11,102
2013-12,96.4
2014-01,93.8
2014-02,91.1
2014-03,102.7
2014-04,101.7
2014-05,98
2014-06,97.6
2014-07,103.5
2014-08,94.1
2014-09,106.8
2014-10,108.4
2014-11,101.1
2014-12,101.2
2015-01,91.4
2015-02,92
2015-03,108.2
2015-04,99.9
2015-05,93.1
2015-06,102.7
2015-07,103.1
2015-08,93.2
2015-09,104.8
2015-10,104.5
2015-11,102.6
2015-12,104.6
2016-01,87.3
2016-02,94.4
2016-03,105.1
2016-04,102
2016-05,98.3
2016-06,105
2016-07,95.4
2016-08,99.8
2016-09,104.8
2016-10,101.1
2016-11,107.6
2016-12,103.9
2017-01,94
2017-02,95.9
2017-03,115.4
2017-04,98.1
2017-05,109.2
2017-06,106.8
2017-07,101.8
2017-08,105.5
2017-09,107.7
2017-10,105.8
2017-11,113.3
2017-12,104.1
2018-01,99.5
2018-02,97.2
2018-03,110.1
2018-04,105
2018-05,105.5
2018-06,109.8
2018-07,105.7
2018-08,105.3
2018-09,105.4
2018-10,113.8
2018-11,114.2
2018-12,100.5
2019-01,103.3
2019-02,101.1
2019-03,110.3
2019-04,109.2
2019-05,109.3
2019-06,102.8
2019-07,111.8
2019-08,104
2019-09,110.5
2019-10,115.7
2019-11,112.8
2019-12,105.3
2020-01,105.2
2020-02,104
2020-03,119.4
