;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
Insgesamt;2005;Januar;5086847;12,3;13,6;190840;148399;12496
Insgesamt;2005;Februar;5288245;12,7;14,1;208619;167993;14872
Insgesamt;2005;März;5266085;12,7;14,1;226527;173776;15798
Insgesamt;2005;April;5052429;12,2;13,5;241425;158872;13941
Insgesamt;2005;Mai;4884238;11,8;13,1;257815;141953;12166
Insgesamt;2005;Juni;4780624;11,5;12,8;266694;136701;11295
Insgesamt;2005;Juli;4836693;11,7;13;283267;108564;9783
Insgesamt;2005;August;4797562;11,6;12,9;287425;89446;8477
Insgesamt;2005;September;4646505;11,2;12,5;292291;96188;8531
Insgesamt;2005;Oktober;4555075;11;12,2;287157;102419;8369
Insgesamt;2005;November;4531416;10,9;12,2;271912;98021;8371
Insgesamt;2005;Dezember;4605189;11,1;12,4;255127;83732;7878
Insgesamt;2006;Januar;5010490;12,1;13,5;259875;96113;9223
Insgesamt;2006;Februar;5047480;12,2;13,6;284718;100742;10089
Insgesamt;2006;März;4977588;12;13,4;305127;104829;10101
Insgesamt;2006;April;4790661;11,5;12,9;326840;83259;8320
Insgesamt;2006;Mai;4538328;10,9;12,2;353479;72048;6672
Insgesamt;2006;Juni;4398773;10,5;11,8;369046;61528;5838
Insgesamt;2006;Juli;4386260;10,5;11,8;392028;53932;5024
Insgesamt;2006;August;4371951;10,5;11,7;398949;47935;4484
Insgesamt;2006;September;4237806;10,1;11,4;401790;45979;4297
Insgesamt;2006;Oktober;4084463;9,8;10,9;397949;38833;3713
Insgesamt;2006;November;3995743;9,6;10,7;387971;35519;3630
Insgesamt;2006;Dezember;4008111;9,6;10,7;374269;63049;7534
Insgesamt;2007;Januar;4262175;10,2;11,4;374115;126257;15333
Insgesamt;2007;Februar;4225972;10,1;11,3;409468;148436;18453
Insgesamt;2007;März;4104788;9,8;11;429500;143945;18470
Insgesamt;2007;April;3958211;9,5;10,6;439897;51024;5610
Insgesamt;2007;Mai;3795938;9,1;10,1;445396;48308;5198
Insgesamt;2007;Juni;3672926;8,8;9,8;453724;46257;4950
Insgesamt;2007;Juli;3701000;8,8;9,9;455324;39345;4530
Insgesamt;2007;August;3691890;8,8;9,9;450146;32342;3998
Insgesamt;2007;September;3530642;8,4;9,4;436399;33658;3900
Insgesamt;2007;Oktober;3421392;8,2;9,1;420564;35787;3965
Insgesamt;2007;November;3366876;8;9;397567;36660;4240
Insgesamt;2007;Dezember;3395221;8,1;9,1;369079;77782;11362
Insgesamt;2008;Januar;3647905;8,7;9,7;351610;137759;19056
Insgesamt;2008;Februar;3606079;8,6;9,6;376465;161090;22020
Insgesamt;2008;März;3496864;8,3;9,3;392657;155523;21270
Insgesamt;2008;April;3403667;8,1;9,1;395069;59066;6387
Insgesamt;2008;Mai;3274026;7,8;8,8;398188;50973;5383
Insgesamt;2008;Juni;3151679;7,5;8,4;417953;50411;5110
Insgesamt;2008;Juli;3201841;7,6;8,6;422535;42694;4629
Insgesamt;2008;August;3187764;7,6;8,5;417052;39416;4044
Insgesamt;2008;September;3073268;7,3;8,2;409264;49965;4212
Insgesamt;2008;Oktober;2989231;7,1;8;392934;70983;4604
Insgesamt;2008;November;2980969;7,1;8;367219;130133;6592
Insgesamt;2008;Dezember;3094150;7,4;8,3;327594;270472;17315
Insgesamt;2009;Januar;3480171;8,3;9,3;301715;593597;31368
Insgesamt;2009;Februar;3542602;8,5;9,5;317677;1079068;44526
Insgesamt;2009;März;3576362;8,5;9,6;317273;1324877;56215
Insgesamt;2009;April;3575257;8,5;9,6;305622;1446417;50627
Insgesamt;2009;Mai;3449223;8,2;9,2;298793;1468809;56932
Insgesamt;2009;Juni;3402047;8,1;9,1;297143;1393655;61149
Insgesamt;2009;Juli;3454498;8,2;9,2;297881;1247843;62212
Insgesamt;2009;August;3463439;8,2;9,2;300159;1054846;59234
Insgesamt;2009;September;3338882;7,9;8,9;301942;1104061;60842
Insgesamt;2009;Oktober;3221207;7,7;8,6;297630;1109091;60704
Insgesamt;2009;November;3208044;7,6;8,6;290595;981782;60748
Insgesamt;2009;Dezember;3268167;7,8;8,7;281258;928843;66681
Insgesamt;2010;Januar;3610046;8,6;9,6;271401;1056942;78267
Insgesamt;2010;Februar;3635346;8,6;9,7;297979;1030831;83598
Insgesamt;2010;März;3560493;8,5;9,5;320129;874346;77418
Insgesamt;2010;April;3400163;8,1;9,1;335163;632008;54027
Insgesamt;2010;Mai;3236363;7,7;8,6;355702;498934;48596
Insgesamt;2010;Juni;3148611;7,5;8,4;370430;419515;44354
Insgesamt;2010;Juli;3186929;7,6;8,5;391101;313087;38444
Insgesamt;2010;August;3183217;7,6;8,5;396705;243736;33968
Insgesamt;2010;September;3026830;7,2;8;397972;237342;32271
