;;;Originalwerte
Beherbergung;1994;Januar;92,3
Beherbergung;1994;Februar;97
Beherbergung;1994;März;111,3
Beherbergung;1994;April;117,2
Beherbergung;1994;Mai;138
Beherbergung;1994;Juni;134,7
Beherbergung;1994;Juli;130,8
Beherbergung;1994;August;135,6
Beherbergung;1994;September;155,6
Beherbergung;1994;Oktober;146
Beherbergung;1994;November;106,5
Beherbergung;1994;Dezember;110,8
Beherbergung;1995;Januar;92,2
Beherbergung;1995;Februar;96,6
Beherbergung;1995;März;112,4
Beherbergung;1995;April;114,4
Beherbergung;1995;Mai;140,9
Beherbergung;1995;Juni;130,3
Beherbergung;1995;Juli;122,8
Beherbergung;1995;August;125,5
Beherbergung;1995;September;143,2
Beherbergung;1995;Oktober;139
Beherbergung;1995;November;105,1
Beherbergung;1995;Dezember;108,2
Beherbergung;1996;Januar;88,6
Beherbergung;1996;Februar;94,6
Beherbergung;1996;März;109,5
Beherbergung;1996;April;112,3
Beherbergung;1996;Mai;132,8
Beherbergung;1996;Juni;127,3
Beherbergung;1996;Juli;118,8
Beherbergung;1996;August;125
Beherbergung;1996;September;140,7
Beherbergung;1996;Oktober;133,5
Beherbergung;1996;November;103
Beherbergung;1996;Dezember;104,9
Beherbergung;1997;Januar;88,3
Beherbergung;1997;Februar;89,8
Beherbergung;1997;März;104,5
Beherbergung;1997;April;109,6
Beherbergung;1997;Mai;126,4
Beherbergung;1997;Juni;126,8
Beherbergung;1997;Juli;114,7
Beherbergung;1997;August;123,6
Beherbergung;1997;September;141,8
Beherbergung;1997;Oktober;133,4
Beherbergung;1997;November;101,2
Beherbergung;1997;Dezember;105,5
Beherbergung;1998;Januar;86,6
Beherbergung;1998;Februar;92,3
Beherbergung;1998;März;103,8
Beherbergung;1998;April;105,1
Beherbergung;1998;Mai;129,6
Beherbergung;1998;Juni;123,9
Beherbergung;1998;Juli;114,7
Beherbergung;1998;August;122,4
Beherbergung;1998;September;137,9
Beherbergung;1998;Oktober;130,6
Beherbergung;1998;November;100,4
Beherbergung;1998;Dezember;105,8
Beherbergung;1999;Januar;91,1
Beherbergung;1999;Februar;93,1
Beherbergung;1999;März;105,2
Beherbergung;1999;April;106,3
Beherbergung;1999;Mai;128
Beherbergung;1999;Juni;122,8
Beherbergung;1999;Juli;116,8
Beherbergung;1999;August;122,3
Beherbergung;1999;September;140,4
Beherbergung;1999;Oktober;132,8
Beherbergung;1999;November;107,7
Beherbergung;1999;Dezember;109,9
Beherbergung;2000;Januar;92,6
Beherbergung;2000;Februar;99,7
Beherbergung;2000;März;108,7
Beherbergung;2000;April;112,1
Beherbergung;2000;Mai;140,3
Beherbergung;2000;Juni;135,6
Beherbergung;2000;Juli;130,1
Beherbergung;2000;August;134,7
Beherbergung;2000;September;154,2
Beherbergung;2000;Oktober;140,4
Beherbergung;2000;November;110
Beherbergung;2000;Dezember;110
Beherbergung;2001;Januar;96,4
Beherbergung;2001;Februar;95,1
Beherbergung;2001;März;111,7
Beherbergung;2001;April;113,2
Beherbergung;2001;Mai;137,2
Beherbergung;2001;Juni;132
Beherbergung;2001;Juli;130,3
Beherbergung;2001;August;132,5
Beherbergung;2001;September;143,4
Beherbergung;2001;Oktober;135,2
Beherbergung;2001;November;108,1
Beherbergung;2001;Dezember;105,3
Beherbergung;2002;Januar;91,7
Beherbergung;2002;Februar;92,5
Beherbergung;2002;März;104,7
Beherbergung;2002;April;111,5
Beherbergung;2002;Mai;123,8
Beherbergung;2002;Juni;124,6
Beherbergung;2002;Juli;121,1
Beherbergung;2002;August;124,2
Beherbergung;2002;September;136,2
Beherbergung;2002;Oktober;123,8
Beherbergung;2002;November;98,3
Beherbergung;2002;Dezember;94,7
Beherbergung;2003;Januar;82,7
Beherbergung;2003;Februar;84,8
Beherbergung;2003;März;97,1
Beherbergung;2003;April;97,9
Beherbergung;2003;Mai;118,3
Beherbergung;2003;Juni;114,7
Beherbergung;2003;Juli;109
Beherbergung;2003;August;112,4
Beherbergung;2003;September;124,6
Beherbergung;2003;Oktober;118,5
Beherbergung;2003;November;94,5
Beherbergung;2003;Dezember;94,6
Beherbergung;2004;Januar;79,1
Beherbergung;2004;Februar;85,8
Beherbergung;2004;März;98,2
Beherbergung;2004;April;100,7
Beherbergung;2004;Mai;121,2
Beherbergung;2004;Juni;113
Beherbergung;2004;Juli;110,7
Beherbergung;2004;August;112,3
Beherbergung;2004;September;127,1
Beherbergung;2004;Oktober;118,7
Beherbergung;2004;November;94,1
Beherbergung;2004;Dezember;91,8
Beherbergung;2005;Januar;79,3
Beherbergung;2005;Februar;80,5
Beherbergung;2005;März;90,5
Beherbergung;2005;April;99,4
Beherbergung;2005;Mai;112,7
Beherbergung;2005;Juni;110,3
Beherbergung;2005;Juli;108,5
Beherbergung;2005;August;112,2
Beherbergung;2005;September;125,6
Beherbergung;2005;Oktober;116
Beherbergung;2005;November;90,3
Beherbergung;2005;Dezember;94,1
Beherbergung;2006;Januar;79,5
Beherbergung;2006;Februar;82,1
Beherbergung;2006;März;93,1
Beherbergung;2006;April;97,6
Beherbergung;2006;Mai;118,4
Beherbergung;2006;Juni;115,1
Beherbergung;2006;Juli;115,2
Beherbergung;2006;August;111,3
Beherbergung;2006;September;129,6
Beherbergung;2006;Oktober;118,4
Beherbergung;2006;November;89,4
Beherbergung;2006;Dezember;98,3
Beherbergung;2007;Januar;80,9
Beherbergung;2007;Februar;82,3
Beherbergung;2007;März;97,9
Beherbergung;2007;April;101,8
Beherbergung;2007;Mai;115,7
Beherbergung;2007;Juni;113,1
Beherbergung;2007;Juli;112,2
Beherbergung;2007;August;114,6
Beherbergung;2007;September;124,6
Beherbergung;2007;Oktober;120,8
Beherbergung;2007;November;94,7
Beherbergung;2007;Dezember;98,1
Beherbergung;2008;Januar;81,4
Beherbergung;2008;Februar;86,7
Beherbergung;2008;März;91
Beherbergung;2008;April;102,3
Beherbergung;2008;Mai;118,6
Beherbergung;2008;Juni;113,3
Beherbergung;2008;Juli;111,2
Beherbergung;2008;August;113,2
Beherbergung;2008;September;123,5
Beherbergung;2008;Oktober;115,1
Beherbergung;2008;November;91,3
Beherbergung;2008;Dezember;91,3
Beherbergung;2009;Januar;71,5
Beherbergung;2009;Februar;74,3
Beherbergung;2009;März;84,5
Beherbergung;2009;April;87,9
Beherbergung;2009;Mai;105,7
Beherbergung;2009;Juni;102,4
Beherbergung;2009;Juli;105,4
Beherbergung;2009;August;108
Beherbergung;2009;September;113,2
Beherbergung;2009;Oktober;105,5
Beherbergung;2009;November;85
Beherbergung;2009;Dezember;87,6
Beherbergung;2010;Januar;69,3
Beherbergung;2010;Februar;73,1
Beherbergung;2010;März;83
Beherbergung;2010;April;91,1
Beherbergung;2010;Mai;101,7
Beherbergung;2010;Juni;103,7
Beherbergung;2010;Juli;108
Beherbergung;2010;August;106,8
Beherbergung;2010;September;116,8
Beherbergung;2010;Oktober;110,3
Beherbergung;2010;November;88,8
Beherbergung;2010;Dezember;87,5
Beherbergung;2011;Januar;73,4
Beherbergung;2011;Februar;75,5
Beherbergung;2011;März;87
Beherbergung;2011;April;92,2
Beherbergung;2011;Mai;110
Beherbergung;2011;Juni;106,8
Beherbergung;2011;Juli;109,4
Beherbergung;2011;August;106,3
Beherbergung;2011;September;116,9
Beherbergung;2011;Oktober;110,4
Beherbergung;2011;November;90
Beherbergung;2011;Dezember;90,4
Beherbergung;2012;Januar;74,2
Beherbergung;2012;Februar;78,9
Beherbergung;2012;März;90,7
Beherbergung;2012;April;93,5
Beherbergung;2012;Mai;111,6
Beherbergung;2012;Juni;108,3
Beherbergung;2012;Juli;108,9
Beherbergung;2012;August;111,6
Beherbergung;2012;September;119,8
Beherbergung;2012;Oktober;109,4
Beherbergung;2012;November;90,7
Beherbergung;2012;Dezember;91
Beherbergung;2013;Januar;74,6
Beherbergung;2013;Februar;76,2
Beherbergung;2013;März;87,3
Beherbergung;2013;April;94,5
Beherbergung;2013;Mai;102,8
Beherbergung;2013;Juni;105,5
Beherbergung;2013;Juli;109
Beherbergung;2013;August;111,7
Beherbergung;2013;September;116,7
Beherbergung;2013;Oktober;112
Beherbergung;2013;November;89,6
Beherbergung;2013;Dezember;88,7
Beherbergung;2014;Januar;74,4
Beherbergung;2014;Februar;75,2
Beherbergung;2014;März;86,5
Beherbergung;2014;April;90,6
Beherbergung;2014;Mai;111,1
Beherbergung;2014;Juni;106,8
Beherbergung;2014;Juli;109,5
Beherbergung;2014;August;113,8
Beherbergung;2014;September;121,2
Beherbergung;2014;Oktober;112,2
Beherbergung;2014;November;92,4
Beherbergung;2014;Dezember;90,4
Beherbergung;2015;Januar;75,1
Beherbergung;2015;Februar;78
Beherbergung;2015;März;88,8
Beherbergung;2015;April;91,9
Beherbergung;2015;Mai;108,9
Beherbergung;2015;Juni;112,5
Beherbergung;2015;Juli;112,6
Beherbergung;2015;August;115,3
Beherbergung;2015;September;119,3
Beherbergung;2015;Oktober;113,3
Beherbergung;2015;November;92,9
Beherbergung;2015;Dezember;91,7
Beherbergung;2016;Januar;76,6
Beherbergung;2016;Februar;80,7
Beherbergung;2016;März;91,7
Beherbergung;2016;April;99,4
Beherbergung;2016;Mai;108,6
Beherbergung;2016;Juni;111,1
Beherbergung;2016;Juli;115,2
Beherbergung;2016;August;114,6
Beherbergung;2016;September;125,6
Beherbergung;2016;Oktober;114,7
Beherbergung;2016;November;93,2
Beherbergung;2016;Dezember;92,6
Beherbergung;2017;Januar;78,4
Beherbergung;2017;Februar;79,1
Beherbergung;2017;März;96,2
Beherbergung;2017;April;97,1
Beherbergung;2017;Mai;116,1
Beherbergung;2017;Juni;111,4
Beherbergung;2017;Juli;115,7
Beherbergung;2017;August;112,2
Beherbergung;2017;September;124,4
Beherbergung;2017;Oktober;114,6
Beherbergung;2017;November;94,1
Beherbergung;2017;Dezember;96,1
Beherbergung;2018;Januar;80,8
Beherbergung;2018;Februar;81,6
Beherbergung;2018;März;94,3
Beherbergung;2018;April;102,4
Beherbergung;2018;Mai;109,2
Beherbergung;2018;Juni;115,5
Beherbergung;2018;Juli;116,5
Beherbergung;2018;August;116
Beherbergung;2018;September;127,1
Beherbergung;2018;Oktober;115,9
Beherbergung;2018;November;97,3
Beherbergung;2018;Dezember;96
Beherbergung;2019;Januar;82,1
Beherbergung;2019;Februar;83,9
Beherbergung;2019;März;97,7
Beherbergung;2019;April;101,3
Beherbergung;2019;Mai;112,1
Beherbergung;2019;Juni;115,7
Beherbergung;2019;Juli;115,5
Beherbergung;2019;August;115,1
Beherbergung;2019;September;123,2
Beherbergung;2019;Oktober;117
Beherbergung;2019;November;100,1
Beherbergung;2019;Dezember;96,1
Beherbergung;2020;Januar;80,8
Beherbergung;2020;Februar;84,5
Beherbergung;2020;März;48,2
Beherbergung;2020;April;11,5
Beherbergung;2020;Mai;...
Beherbergung;2020;Juni;...
Beherbergung;2020;Juli;...
Beherbergung;2020;August;...
Beherbergung;2020;September;...
Beherbergung;2020;Oktober;...
Beherbergung;2020;November;...
Beherbergung;2020;Dezember;...
Hotels, Gasthöfe und Pensionen;1994;Januar;91,9
Hotels, Gasthöfe und Pensionen;1994;Februar;97,2
Hotels, Gasthöfe und Pensionen;1994;März;110,6
Hotels, Gasthöfe und Pensionen;1994;April;115,9
Hotels, Gasthöfe und Pensionen;1994;Mai;136,8
Hotels, Gasthöfe und Pensionen;1994;Juni;132,8
Hotels, Gasthöfe und Pensionen;1994;Juli;126,4
Hotels, Gasthöfe und Pensionen;1994;August;132,2
Hotels, Gasthöfe und Pensionen;1994;September;155,6
Hotels, Gasthöfe und Pensionen;1994;Oktober;146,6
Hotels, Gasthöfe und Pensionen;1994;November;108
Hotels, Gasthöfe und Pensionen;1994;Dezember;112,1
