Date,Low
1990-01,1751
1990-02,1764
1990-03,1796
1990-04,1812
1990-05,1803
1990-06,1787
1990-07,1902
1990-08,1532
1990-09,1327
1990-10,1402
1990-11,1359
1990-12,1389
1991-01,1317
1991-02,1417
1991-03,1499
1991-04,1541
1991-05,1587
1991-06,1623
1991-07,1604
1991-08,1501
1991-09,1605
1991-10,1561
1991-11,1568
1991-12,1542
1992-01,1581
1992-02,1676
1992-03,1698
1992-04,1706
1992-05,1719
1992-06,1752
1992-07,1608
1992-08,1464
1992-09,1470
1992-10,1402
1992-11,1470
1992-12,1472
1993-01,1510
1993-02,1584
1993-03,1653
1993-04,1618
1993-05,1606
1993-06,1625
1993-07,1694
1993-08,1818
1993-09,1852
1993-10,1920
1993-11,2007
1993-12,2089
1994-01,2056
1994-02,2053
1994-03,1999
1994-04,2130
1994-05,2108
1994-06,1953
1994-07,2019
1994-08,2094
1994-09,1984
1994-10,1930
1994-11,2025
1994-12,1998
1995-01,2007
1995-02,2026
1995-03,1891
1995-04,1908
1995-05,2018
1995-06,2079
1995-07,2081
1995-08,2203
1995-09,2164
1995-10,2094
1995-11,2151
1995-12,2227
1996-01,2259
1996-02,2358
1996-03,2387
1996-04,2477
1996-05,2451
1996-06,2516
1996-07,2442
1996-08,2486
1996-09,2509
1996-10,2644
1996-11,2661
1996-12,2759
1997-01,2815
1997-02,3030
1997-03,3219
1997-04,3178
1997-05,3448
1997-06,3544
1997-07,3782
1997-08,3849
1997-09,3783
1997-10,3366
1997-11,3645
1997-12,4000
1998-01,4069
1998-02,4474
1998-03,4612
1998-04,4992
1998-05,5160
1998-06,5495
1998-07,5806
1998-08,4745
1998-09,4347
1998-10,3822
1998-11,4613
1998-12,4435
1999-01,4752
1999-02,4743
1999-03,4601
1999-04,4768
1999-05,5000
1999-06,4969
1999-07,5035
1999-08,4948
1999-09,5069
1999-10,5078
1999-11,5474
1999-12,5836
2000-01,6388
2000-02,6841
2000-03,7411
2000-04,6890
2000-05,6794
2000-06,6851
2000-07,6842
2000-08,6954
2000-09,6468
2000-10,6297
2000-11,6361
2000-12,6110
2001-01,6172
2001-02,6071
2001-03,5351
2001-04,5383
2001-05,5960
2001-06,5758
2001-07,5551
2001-08,5124
2001-09,3539
2001-10,4157
2001-11,4481
2001-12,4872
2002-01,4974
2002-02,4706
2002-03,5003
2002-04,4929
2002-05,4741
2002-06,3946
2002-07,3265
2002-08,3235
2002-09,2719
2002-10,2519
2002-11,2987
2002-12,2836
2003-01,2563
2003-02,2433
2003-03,2188
2003-04,2395
2003-05,2769
2003-06,2990
2003-07,3119
2003-08,3299
2003-09,3202
2003-10,3217
2003-11,3576
2003-12,3752
2004-01,3969
2004-02,3960
2004-03,3692
2004-04,3857
2004-05,3710
2004-06,3856
2004-07,3749
2004-08,3618
2004-09,3792
2004-10,3838
2004-11,3959
2004-12,4107
2005-01,4160
2005-02,4249
2005-03,4275
2005-04,4157
2005-05,4205
2005-06,4467
2005-07,4444
2005-08,4726
2005-09,4816
2005-10,4762
2005-11,4891
2005-12,5208
2006-01,5290
2006-02,5598
2006-03,5664
2006-04,5860
2006-05,5513
2006-06,5243
2006-07,5365
2006-08,5557
2006-09,5737
2006-10,5944
2006-11,6201
2006-12,6195
2007-01,6531
2007-02,6640
2007-03,6437
2007-04,6891
2007-05,7304
2007-06,7499
2007-07,7372
2007-08,7190
2007-09,7369
2007-10,7763
2007-11,7444
2007-12,7777
2008-01,6384
2008-02,6655
2008-03,6167
2008-04,6496
2008-05,6905
2008-06,6308
2008-07,5999
2008-08,6219
2008-09,5658
2008-10,4014
2008-11,4034
2008-12,4304
2009-01,4067
2009-02,3764
2009-03,3588
2009-04,3997
2009-05,4653
2009-06,4669
2009-07,4524
2009-08,5158
2009-09,5263
2009-10,5394
2009-11,5312
2009-12,5605
2010-01,5540
2010-02,5433
2010-03,5641
2010-04,6024
2010-05,5607
2010-06,5798
2010-07,5809
2010-08,5833
2010-09,5876
2010-10,6115
2010-11,6586
2010-12,6736
2011-01,6835
2011-02,7093
2011-03,6483
2011-04,6994
2011-05,7071
2011-06,6991
2011-07,6996
2011-08,5345
2011-09,4965
2011-10,5125
2011-11,5366
2011-12,5637
2012-01,5900
2012-02,6482
2012-03,6612
2012-04,6499
2012-05,6208
2012-06,5914
2012-07,6324
2012-08,6596
2012-09,6892
2012-10,7120
2012-11,6950
2012-12,7417
2013-01,7634
2013-02,7537
2013-03,7627
2013-04,7418
2013-05,7896
2013-06,7655
2013-07,7730
2013-08,8094
2013-09,8095
2013-10,8489
2013-11,8962
2013-12,8984
2014-01,9166
2014-02,9071
2014-03,8913
2014-04,9166
2014-05,9407
2014-06,9749
2014-07,9395
2014-08,8903
2014-09,9369
2014-10,8354
2014-11,9148
2014-12,9219
2015-01,9382
2015-02,10594
2015-03,11193
2015-04,11331
2015-05,11167
2015-06,10797
2015-07,10652
2015-08,9338
2015-09,9325
2015-10,9396
2015-11,10607
2015-12,10122
2016-01,9314
2016-02,8699
2016-03,9471
2016-04,9484
2016-05,9737
2016-06,9214
2016-07,9304
2016-08,10092
2016-09,10189
2016-10,10349
2016-11,10174
2016-12,10402
2017-01,11414
2017-02,11479
2017-03,11850
2017-04,11941
2017-05,12433
2017-06,12319
2017-07,12097
2017-08,11868
2017-09,12050
2017-10,12849
2017-11,12847
2017-12,12810
2018-01,12745
2018-02,12003
2018-03,11726
2018-04,11792
2018-05,12547
2018-06,12104
2018-07,12132
2018-08,12120
2018-09,11865
2018-10,11051
2018-11,11009
2018-12,10279
2019-01,10386
2019-02,10863
2019-03,11299
2019-04,11612
2019-05,11662
2019-06,11620
2019-07,12115
2019-08,11266
2019-09,11869
2019-10,11878
2019-11,12896
2019-12,12886
2020-01,12948
2020-02,11724
2020-03,8255
2020-04,9337
2020-05,10160
2020-06,11597
