Date,High
1990-01,1867
1990-02,1939
1990-03,1966
1990-04,1965
1990-05,1920
1990-06,1911
1990-07,1962
1990-08,1903
1990-09,1620
1990-10,1523
1990-11,1496
1990-12,1527
1991-01,1421
1991-02,1606
1991-03,1604
1991-04,1633
1991-05,1707
1991-06,1714
1991-07,1647
1991-08,1654
1991-09,1657
1991-10,1609
1991-11,1627
1991-12,1577
1992-01,1687
1992-02,1746
1992-03,1763
1992-04,1753
1992-05,1812
1992-06,1800
1992-07,1776
1992-08,1624
1992-09,1601
1992-10,1536
1992-11,1550
1992-12,1547
1993-01,1593
1993-02,1683
1993-03,1714
1993-04,1687
1993-05,1636
1993-06,1712
1993-07,1859
1993-08,1937
1993-09,1928
1993-10,2083
1993-11,2086
1993-12,2284
1994-01,2280
1994-02,2208
1994-03,2187
1994-04,2267
1994-05,2281
1994-06,2170
1994-07,2168
1994-08,2227
1994-09,2215
1994-10,2147
1994-11,2115
1994-12,2116
1995-01,2095
1995-02,2149
1995-03,2131
1995-04,2031
1995-05,2116
1995-06,2174
1995-07,2246
1995-08,2278
1995-09,2320
1995-10,2219
1995-11,2255
1995-12,2293
1996-01,2471
1996-02,2494
1996-03,2527
1996-04,2559
1996-05,2572
1996-06,2582
1996-07,2589
1996-08,2574
1996-09,2672
1996-10,2745
1996-11,2854
1996-12,2916
1997-01,3050
1997-02,3286
1997-03,3475
1997-04,3452
1997-05,3696
1997-06,3836
1997-07,4477
1997-08,4460
1997-09,4196
1997-10,4363
1997-11,3986
1997-12,4320
1998-01,4458
1998-02,4736
1998-03,5136
1998-04,5436
1998-05,5671
1998-06,5957
1998-07,6224
1998-08,5816
1998-09,5151
1998-10,4729
1998-11,5174
1998-12,5089
1999-01,5509
1999-02,5292
1999-03,5162
1999-04,5403
1999-05,5452
1999-06,5506
1999-07,5686
1999-08,5455
1999-09,5530
1999-10,5557
1999-11,6032
1999-12,6992
2000-01,7306
2000-02,7813
2000-03,8136
2000-04,7641
2000-05,7571
2000-06,7486
2000-07,7503
2000-08,7395
2000-09,7456
2000-10,7087
2000-11,7185
2000-12,6813
2001-01,6795
2001-02,6788
2001-03,6342
2001-04,6271
2001-05,6337
2001-06,6278
2001-07,6131
2001-08,5930
2001-09,5220
2001-10,4874
2001-11,5217
2001-12,5341
2002-01,5352
2002-02,5165
2002-03,5467
2002-04,5379
2002-05,5126
2002-06,4850
2002-07,4483
2002-08,3930
2002-09,3698
2002-10,3299
2002-11,3443
2002-12,3476
2003-01,3157
2003-02,2802
2003-03,2731
2003-04,3004
2003-05,3068
2003-06,3324
2003-07,3487
2003-08,3588
2003-09,3676
2003-10,3675
2003-11,3814
2003-12,3996
2004-01,4175
2004-02,4150
2004-03,4163
2004-04,4156
2004-05,4029
2004-06,4090
2004-07,4101
2004-08,3891
2004-09,4000
2004-10,4078
2004-11,4219
2004-12,4272
2005-01,4325
2005-02,4409
2005-03,4435
2005-04,4422
2005-05,4482
2005-06,4637
2005-07,4913
2005-08,4990
2005-09,5061
2005-10,5138
2005-11,5241
2005-12,5469
2006-01,5697
2006-02,5916
2006-03,5993
2006-04,6121
2006-05,6162
2006-06,5778
2006-07,5729
2006-08,5886
2006-09,6031
2006-10,6304
2006-11,6497
2006-12,6629
2007-01,6805
2007-02,7040
2007-03,6965
2007-04,7436
2007-05,7895
2007-06,8131
2007-07,8151
2007-08,7659
2007-09,7882
2007-10,8063
2007-11,8038
2007-12,8117
2008-01,8100
2008-02,7079
2008-03,6720
2008-04,6966
2008-05,7231
2008-06,7102
2008-07,6577
2008-08,6626
2008-09,6553
2008-10,5876
2008-11,5302
2008-12,4850
2009-01,5111
2009-02,4688
2009-03,4272
2009-04,4837
2009-05,5060
2009-06,5177
2009-07,5396
2009-08,5575
2009-09,5760
2009-10,5888
2009-11,5843
2009-12,6026
2010-01,6094
2010-02,5743
2010-03,6203
2010-04,6341
2010-05,6276
2010-06,6330
2010-07,6253
2010-08,6386
2010-09,6339
2010-10,6668
2010-11,6907
2010-12,7087
2011-01,7180
2011-02,7441
2011-03,7356
2011-04,7514
2011-05,7600
2011-06,7378
2011-07,7523
2011-08,7282
2011-09,5794
2011-10,6430
2011-11,6193
2011-12,6170
2012-01,6574
2012-02,6971
2012-03,7194
2012-04,7081
2012-05,6875
2012-06,6427
2012-07,6835
2012-08,7105
2012-09,7478
2012-10,7447
2012-11,7442
2012-12,7682
2013-01,7871
2013-02,7860
2013-03,8074
2013-04,7965
2013-05,8557
2013-06,8395
2013-07,8415
2013-08,8457
2013-09,8770
2013-10,9070
2013-11,9424
2013-12,9594
2014-01,9794
2014-02,9720
2014-03,9634
2014-04,9721
2014-05,9970
2014-06,10050
2014-07,10032
2014-08,9600
2014-09,9891
2014-10,9520
2014-11,9992
2014-12,10093
2015-01,10810
2015-02,11401
2015-03,12219
2015-04,12390
2015-05,11920
2015-06,11635
2015-07,11802
2015-08,11669
2015-09,10512
2015-10,10886
2015-11,11430
2015-12,11430
2016-01,10485
2016-02,9827
2016-03,10112
2016-04,10474
2016-05,10365
2016-06,10340
2016-07,10381
2016-08,10802
2016-09,10780
2016-10,10827
2016-11,10802
2016-12,11481
2017-01,11893
2017-02,12031
2017-03,12313
2017-04,12486
2017-05,12841
2017-06,12951
2017-07,12676
2017-08,12336
2017-09,12828
2017-10,13255
2017-11,13525
2017-12,13338
2018-01,13596
2018-02,13301
2018-03,12459
2018-04,12647
2018-05,13204
2018-06,13170
2018-07,12886
2018-08,12833
2018-09,12458
2018-10,12373
2018-11,11689
2018-12,11566
2019-01,11321
2019-02,11556
2019-03,11823
2019-04,12376
2019-05,12435
2019-06,12438
2019-07,12656
2019-08,12254
2019-09,12494
2019-10,12986
2019-11,13374
2019-12,13425
2020-01,13640
2020-02,13795
2020-03,12272
2020-04,11235
2020-05,11813
2020-06,12913
