Date,Low
1996-02,2622
1996-03,2541
1996-04,2547
1996-05,2547
1996-06,2678
1996-07,2724
1996-08,2767
1996-09,2776
1996-10,2901
1996-11,2848
1996-12,2904
1997-01,2943
1997-02,3202
1997-03,3380
1997-04,3476
1997-05,3560
1997-06,3771
1997-07,3945
1997-08,3847
1997-09,3803
1997-10,3615
1997-11,3578
1997-12,3627
1998-01,3619
1998-02,3869
1998-03,4074
1998-04,4371
1998-05,4482
1998-06,4557
1998-07,4623
1998-08,3983
1998-09,3700
1998-10,3324
1998-11,3860
1998-12,3776
1999-01,3707
1999-02,3704
1999-03,3662
1999-04,3748
1999-05,3841
1999-06,3843
1999-07,4006
1999-08,3977
1999-09,3997
1999-10,3938
1999-11,4007
1999-12,3949
2000-01,3975
2000-02,4134
2000-03,4210
2000-04,4162
2000-05,4402
2000-06,4387
2000-07,4431
2000-08,4742
2000-09,4676
2000-10,4646
2000-11,4611
2000-12,4534
2001-01,4460
2001-02,4765
2001-03,4243
2001-04,4405
2001-05,4531
2001-06,4700
2001-07,4573
2001-08,4494
2001-09,3511
2001-10,3946
2001-11,4097
2001-12,4059
2002-01,4282
2002-02,4277
2002-03,4374
2002-04,4412
2002-05,4318
2002-06,3734
2002-07,3161
2002-08,3229
2002-09,2834
2002-10,2704
2002-11,3056
2002-12,2965
2003-01,2886
2003-02,2781
2003-03,2621
2003-04,2764
2003-05,3189
2003-06,3382
2003-07,3465
2003-08,3767
2003-09,3929
2003-10,3928
2003-11,4189
2003-12,4383
2004-01,4469
2004-02,4689
2004-03,4498
2004-04,4756
2004-05,4572
2004-06,4844
2004-07,4893
2004-08,4709
2004-09,4856
2004-10,4973
2004-11,5043
2004-12,5266
2005-01,5382
2005-02,5631
2005-03,5590
2005-04,5464
2005-05,5506
2005-06,5957
2005-07,6243
2005-08,6647
2005-09,6775
2005-10,6540
2005-11,6776
2005-12,7082
2006-01,7314
2006-02,7977
2006-03,8186
2006-04,8473
2006-05,7687
2006-06,7059
2006-07,7379
2006-08,7791
2006-09,8052
2006-10,8438
2006-11,8632
2006-12,8735
2007-01,9298
2007-02,9304
2007-03,9169
2007-04,10154
2007-05,10535
2007-06,10499
2007-07,10283
2007-08,9296
2007-09,9798
2007-10,10244
2007-11,8931
2007-12,9553
2008-01,7482
2008-02,8494
2008-03,8126
2008-04,8692
2008-05,9356
2008-06,8822
2008-07,7918
2008-08,7949
2008-09,6588
2008-10,4752
2008-11,4663
2008-12,4937
2009-01,4685
2009-02,4469
2009-03,4119
2009-04,4361
2009-05,5311
2009-06,5445
2009-07,5423
2009-08,6205
2009-09,6454
2009-10,6572
2009-11,6569
2009-12,7142
2010-01,7396
2010-02,7120
2010-03,7417
2010-04,8059
2010-05,7384
2010-06,7686
2010-07,7797
2010-08,7949
2010-09,8099
2010-10,8678
2010-11,9139
2010-12,9330
2011-01,9882
2011-02,9966
2011-03,9362
2011-04,10118
2011-05,10468
2011-06,10383
2011-07,10353
2011-08,8042
2011-09,7853
2011-10,7636
2011-11,8097
2011-12,8398
2012-01,8887
2012-02,9929
2012-03,9962
2012-04,10220
2012-05,10020
2012-06,9629
2012-07,10291
2012-08,10665
2012-09,10842
2012-10,10986
2012-11,10957
2012-12,11592
2013-01,12008
2013-02,12537
2013-03,13141
2013-04,12877
2013-05,13405
2013-06,13236
2013-07,13533
2013-08,14239
2013-09,14381
2013-10,14914
2013-11,15811
2013-12,15830
2014-01,16023
2014-02,15827
2014-03,15831
2014-04,15620
2014-05,15872
2014-06,16605
2014-07,15753
2014-08,15121
2014-09,15775
2014-10,14397
2014-11,15999
2014-12,15993
2015-01,16605
2015-02,18539
2015-03,19697
2015-04,20037
2015-05,19567
2015-06,19105
2015-07,19315
2015-08,18072
2015-09,18680
2015-10,19047
2015-11,20351
2015-12,19944
2016-01,18264
2016-02,17434
2016-03,19155
2016-04,19787
2016-05,19868
2016-06,18853
2016-07,19122
2016-08,20717
2016-09,20886
2016-10,20990
2016-11,20100
2016-12,20468
2017-01,22120
2017-02,22332
2017-03,23032
2017-04,23869
2017-05,24407
2017-06,24358
2017-07,24433
2017-08,24220
2017-09,24562
2017-10,25752
2017-11,25997
2017-12,25939
2018-01,25936
2018-02,24808
2018-03,24927
2018-04,25045
2018-05,25975
2018-06,25463
2018-07,25523
2018-08,26090
2018-09,25890
2018-10,23059
2018-11,22793
2018-12,21160
2019-01,21329
2019-02,23145
2019-03,24189
2019-04,24821
2019-05,24492
2019-06,24499
2019-07,25628
2019-08,24122
2019-09,25256
2019-10,25070
2019-11,26303
2019-12,26819
2020-01,27864
2020-02,24993
2020-03,17714
2020-04,20199
2020-05,22234
2020-06,24791
