Date,Close
1996-02,2622
1996-03,2590
1996-04,2593
1996-05,2619
1996-06,2771
1996-07,2794
1996-08,2827
1996-09,2858
1996-10,2965
1996-11,2906
1996-12,2942
1997-01,3088
1997-02,3290
1997-03,3503
1997-04,3544
1997-05,3698
1997-06,3891
1997-07,4045
1997-08,4073
1997-09,3883
1997-10,3910
1997-11,3672
1997-12,3701
1998-01,3748
1998-02,3973
1998-03,4261
1998-04,4505
1998-05,4591
1998-06,4656
1998-07,4767
1998-08,4366
1998-09,3920
1998-10,3585
1998-11,3925
1998-12,3877
1999-01,3855
1999-02,3810
1999-03,3753
1999-04,3804
1999-05,3910
1999-06,3912
1999-07,4149
1999-08,4075
1999-09,4139
1999-10,4016
1999-11,4063
1999-12,4045
2000-01,4168
2000-02,4215
2000-03,4376
2000-04,4361
2000-05,4492
2000-06,4522
2000-07,4591
2000-08,4859
2000-09,4875
2000-10,4849
2000-11,4881
2000-12,4668
2001-01,4642
2001-02,4825
2001-03,4586
2001-04,4546
2001-05,4667
2001-06,4770
2001-07,4687
2001-08,4636
2001-09,4030
2001-10,4132
2001-11,4232
2001-12,4232
2002-01,4374
2002-02,4348
2002-03,4439
2002-04,4488
2002-05,4436
2002-06,4077
2002-07,3645
2002-08,3404
2002-09,3115
2002-10,2954
2002-11,3128
2002-12,3077
2003-01,3053
2003-02,2896
2003-03,2795
2003-04,3027
2003-05,3284
2003-06,3502
2003-07,3659
2003-08,3919
2003-09,4102
2003-10,4176
2003-11,4322
2003-12,4438
2004-01,4643
2004-02,4821
2004-03,4763
2004-04,4950
2004-05,4794
2004-06,4975
2004-07,4975
2004-08,4854
2004-09,4992
2004-10,5072
2004-11,5197
2004-12,5340
2005-01,5506
2005-02,5737
2005-03,5696
2005-04,5708
2005-05,5751
2005-06,6175
2005-07,6524
2005-08,6748
2005-09,6938
2005-10,6828
2005-11,6998
2005-12,7231
2006-01,7676
2006-02,8196
2006-03,8511
2006-04,8702
2006-05,8497
2006-06,7676
2006-07,7740
2006-08,8005
2006-09,8270
2006-10,8629
2006-11,8831
2006-12,9144
2007-01,9574
2007-02,10036
2007-03,9784
2007-04,10591
2007-05,10855
2007-06,10951
2007-07,11085
2007-08,10092
2007-09,10193
2007-10,10567
2007-11,9779
2007-12,9803
2008-01,8738
2008-02,9037
2008-03,8671
2008-04,9069
2008-05,9661
2008-06,9492
2008-07,8408
2008-08,8361
2008-09,7811
2008-10,5665
2008-11,5364
2008-12,5282
2009-01,5242
2009-02,5018
2009-03,4418
2009-04,5116
2009-05,5758
2009-06,5779
2009-07,5857
2009-08,6546
2009-09,7127
2009-10,7290
2009-11,7177
2009-12,7387
2010-01,7726
2010-02,7434
2010-03,7937
2010-04,8394
2010-05,8026
2010-06,8197
2010-07,8235
2010-08,8343
2010-09,8673
2010-10,9094
2010-11,9371
2010-12,9938
2011-01,10170
2011-02,10384
2011-03,10074
2011-04,10480
2011-05,10717
2011-06,10625
2011-07,10837
2011-08,8989
2011-09,8589
2011-10,8823
2011-11,8736
2011-12,8744
2012-01,9577
2012-02,10357
2012-03,10568
2012-04,10618
2012-05,10380
2012-06,10068
2012-07,10624
2012-08,11049
2012-09,11091
2012-10,11351
2012-11,11386
2012-12,11906
2013-01,12442
2013-02,12924
2013-03,13363
2013-04,13225
2013-05,13977
2013-06,13814
2013-07,14036
2013-08,14650
2013-09,14860
2013-10,15500
2013-11,16147
2013-12,16149
2014-01,16612
2014-02,16621
2014-03,16418
2014-04,16244
2014-05,16450
2014-06,16931
2014-07,16424
2014-08,15788
2014-09,16138
2014-10,15417
2014-11,16498
2014-12,16798
2015-01,17761
2015-02,19315
2015-03,20549
2015-04,21116
2015-05,20592
2015-06,20012
2015-07,20379
2015-08,20334
2015-09,19411
2015-10,20131
2015-11,21133
2015-12,20735
2016-01,19308
2016-02,18706
2016-03,19914
2016-04,20304
2016-05,20286
2016-06,20128
2016-07,20427
2016-08,21473
2016-09,21414
2016-10,21349
2016-11,20648
2016-12,21631
2017-01,22505
2017-02,23110
2017-03,23490
2017-04,24239
2017-05,25025
2017-06,25192
2017-07,24784
2017-08,24794
2017-09,25329
2017-10,26143
2017-11,26681
2017-12,26317
2018-01,26956
2018-02,25887
2018-03,25657
2018-04,25744
2018-05,26597
2018-06,26472
2018-07,26424
2018-08,26785
2018-09,26280
2018-10,24319
2018-11,23773
2018-12,22284
2019-01,22915
2019-02,24050
2019-03,24797
2019-04,25609
2019-05,25404
2019-06,25340
2019-07,25946
2019-08,25206
2019-09,25875
2019-10,25883
2019-11,27140
2019-12,27769
2020-01,28461
2020-02,28411
2020-03,21568
2020-04,21961
2020-05,24115
2020-06,26270
