Date,High
1996-02,2622
1996-03,2643
1996-04,2668
1996-05,2687
1996-06,2876
1996-07,2881
1996-08,2859
1996-09,2921
1996-10,3005
1996-11,2935
1996-12,2968
1997-01,3184
1997-02,3366
1997-03,3563
1997-04,3593
1997-05,3823
1997-06,3954
1997-07,4136
1997-08,4199
1997-09,3936
1997-10,4003
1997-11,3758
1997-12,3786
1998-01,3863
1998-02,4089
1998-03,4394
1998-04,4613
1998-05,4709
1998-06,4764
1998-07,4882
1998-08,4624
1998-09,4115
1998-10,3844
1998-11,4001
1998-12,3967
1999-01,4029
1999-02,3875
1999-03,3824
1999-04,3893
1999-05,3961
1999-06,4008
1999-07,4288
1999-08,4176
1999-09,4272
1999-10,4104
1999-11,4122
1999-12,4156
2000-01,4283
2000-02,4286
2000-03,4519
2000-04,4475
2000-05,4572
2000-06,4607
2000-07,4742
2000-08,4924
2000-09,4995
2000-10,5004
2000-11,5079
2000-12,4803
2001-01,4802
2001-02,4872
2001-03,4858
2001-04,4631
2001-05,4777
2001-06,4825
2001-07,4826
2001-08,4722
2001-09,4531
2001-10,4231
2001-11,4322
2001-12,4327
2002-01,4441
2002-02,4445
2002-03,4476
2002-04,4546
2002-05,4518
2002-06,4335
2002-07,3935
2002-08,3478
2002-09,3412
2002-10,3122
2002-11,3200
2002-12,3203
2003-01,3148
2003-02,3004
2003-03,2910
2003-04,3214
2003-05,3418
2003-06,3583
2003-07,3838
2003-08,4063
2003-09,4202
2003-10,4364
2003-11,4434
2003-12,4489
2004-01,4783
2004-02,4922
2004-03,4990
2004-04,5117
2004-05,5033
2004-06,5111
2004-07,5135
2004-08,5004
2004-09,5083
2004-10,5172
2004-11,5287
2004-12,5378
2005-01,5636
2005-02,5814
2005-03,5799
2005-04,5858
2005-05,5998
2005-06,6335
2005-07,6730
2005-08,6868
2005-09,7106
2005-10,7167
2005-11,7132
2005-12,7342
2006-01,8068
2006-02,8462
2006-03,8731
2006-04,8879
2006-05,9161
2006-06,8331
2006-07,8013
2006-08,8197
2006-09,8560
2006-10,8788
2006-11,9019
2006-12,9404
2007-01,9792
2007-02,10285
2007-03,10234
2007-04,10792
2007-05,11073
2007-06,11249
2007-07,11493
2007-08,10746
2007-09,10477
2007-10,10803
2007-11,10694
2007-12,10128
2008-01,9892
2008-02,9535
2008-03,9108
2008-04,9419
2008-05,10076
2008-06,9946
2008-07,9019
2008-08,8703
2008-09,8777
2008-10,7079
2008-11,6093
2008-12,5637
2009-01,5912
2009-02,5482
2009-03,4603
2009-04,5625
2009-05,6037
2009-06,6071
2009-07,6221
2009-08,6928
2009-09,7482
2009-10,7676
2009-11,7445
2009-12,7532
2010-01,7987
2010-02,7749
2010-03,8252
2010-04,8684
2010-05,8549
2010-06,8614
2010-07,8664
2010-08,8733
2010-09,8872
2010-10,9402
2010-11,9543
2010-12,10152
2011-01,10411
2011-02,10635
2011-03,10446
2011-04,10759
2011-05,10920
2011-06,10966
2011-07,11258
2011-08,10690
2011-09,9220
2011-10,9462
2011-11,9233
2011-12,9097
2012-01,10035
2012-02,10616
2012-03,10903
2012-04,10967
2012-05,10977
2012-06,10492
2012-07,10970
2012-08,11273
2012-09,11272
2012-10,11580
2012-11,11720
2012-12,12103
2013-01,12814
2013-02,13305
2013-03,13532
2013-04,13586
2013-05,14325
2013-06,14166
2013-07,14424
2013-08,14904
2013-09,15188
2013-10,15993
2013-11,16351
2013-12,16643
2014-01,16996
2014-02,16993
2014-03,16938
2014-04,16772
2014-05,16966
2014-06,17203
2014-07,16944
2014-08,16294
2014-09,16404
2014-10,16166
2014-11,17100
2014-12,17187
2015-01,18938
2015-02,20109
2015-03,21168
2015-04,21656
2015-05,21072
2015-06,20713
2015-07,21213
2015-08,21523
2015-09,20014
2015-10,21304
2015-11,21593
2015-12,21679
2016-01,20634
2016-02,19572
2016-03,20554
2016-04,20709
2016-05,20843
2016-06,20922
2016-07,21353
2016-08,21947
2016-09,21858
2016-10,21778
2016-11,21247
2016-12,22197
2017-01,22944
2017-02,23710
2017-03,23917
2017-04,24714
2017-05,25342
2017-06,25765
2017-07,25218
2017-08,25198
2017-09,25994
2017-10,26772
2017-11,27154
2017-12,27078
2018-01,27525
2018-02,26990
2018-03,26363
2018-04,26171
2018-05,27053
2018-06,27330
2018-07,27045
2018-08,27366
2018-09,26979
2018-10,26253
2018-11,24824
2018-12,24065
2019-01,24005
2019-02,24473
2019-03,25430
2019-04,26215
2019-05,26032
2019-06,25810
2019-07,26404
2019-08,26242
2019-09,26291
2019-10,26481
2019-11,27636
2019-12,28643
2020-01,28885
2020-02,29438
2020-03,26399
2020-04,23624
2020-05,25662
2020-06,27242
