buisnesstype,date,Originalwerte
Gastronomie,1994-01,"152,3"
Gastronomie,1994-02,"147,6"
Gastronomie,1994-03,166
Gastronomie,1994-04,"168,1"
Gastronomie,1994-05,"182,6"
Gastronomie,1994-06,"175,8"
Gastronomie,1994-07,"180,5"
Gastronomie,1994-08,"178,8"
Gastronomie,1994-09,"178,2"
Gastronomie,1994-10,"176,7"
Gastronomie,1994-11,"164,4"
Gastronomie,1994-12,"180,8"
Gastronomie,1995-01,"146,9"
Gastronomie,1995-02,"149,1"
Gastronomie,1995-03,"161,9"
Gastronomie,1995-04,"167,7"
Gastronomie,1995-05,"181,1"
Gastronomie,1995-06,"176,7"
Gastronomie,1995-07,"177,9"
Gastronomie,1995-08,"176,1"
Gastronomie,1995-09,"174,8"
Gastronomie,1995-10,174
Gastronomie,1995-11,"159,8"
Gastronomie,1995-12,"173,9"
Gastronomie,1996-01,"143,1"
Gastronomie,1996-02,"144,1"
Gastronomie,1996-03,"161,7"
Gastronomie,1996-04,"163,6"
Gastronomie,1996-05,"174,1"
Gastronomie,1996-06,"167,1"
Gastronomie,1996-07,"171,1"
Gastronomie,1996-08,172
Gastronomie,1996-09,"165,8"
Gastronomie,1996-10,"168,1"
Gastronomie,1996-11,"153,6"
Gastronomie,1996-12,"166,1"
Gastronomie,1997-01,"138,6"
Gastronomie,1997-02,"138,3"
Gastronomie,1997-03,"156,9"
Gastronomie,1997-04,"155,9"
Gastronomie,1997-05,"172,9"
Gastronomie,1997-06,"163,7"
Gastronomie,1997-07,"168,1"
Gastronomie,1997-08,"169,3"
Gastronomie,1997-09,"165,8"
Gastronomie,1997-10,163
Gastronomie,1997-11,"151,1"
Gastronomie,1997-12,"164,6"
Gastronomie,1998-01,"140,5"
Gastronomie,1998-02,137
Gastronomie,1998-03,"150,2"
Gastronomie,1998-04,"151,6"
Gastronomie,1998-05,"166,1"
Gastronomie,1998-06,"154,2"
Gastronomie,1998-07,"160,4"
Gastronomie,1998-08,161
Gastronomie,1998-09,"155,3"
Gastronomie,1998-10,"155,1"
Gastronomie,1998-11,"144,1"
Gastronomie,1998-12,"160,2"
Gastronomie,1999-01,"135,6"
Gastronomie,1999-02,"130,2"
Gastronomie,1999-03,"144,7"
Gastronomie,1999-04,"148,5"
Gastronomie,1999-05,"161,9"
Gastronomie,1999-06,"152,7"
Gastronomie,1999-07,"161,7"
Gastronomie,1999-08,"157,2"
Gastronomie,1999-09,"157,1"
Gastronomie,1999-10,155
Gastronomie,1999-11,143
Gastronomie,1999-12,"157,6"
Gastronomie,2000-01,"131,3"
Gastronomie,2000-02,"130,9"
Gastronomie,2000-03,"142,3"
Gastronomie,2000-04,"147,4"
Gastronomie,2000-05,"156,4"
Gastronomie,2000-06,"155,7"
Gastronomie,2000-07,"154,9"
Gastronomie,2000-08,"153,2"
Gastronomie,2000-09,"153,5"
Gastronomie,2000-10,"149,7"
Gastronomie,2000-11,"136,9"
Gastronomie,2000-12,"153,6"
Gastronomie,2001-01,"128,2"
Gastronomie,2001-02,"126,7"
Gastronomie,2001-03,"140,7"
Gastronomie,2001-04,"142,9"
Gastronomie,2001-05,"155,7"
Gastronomie,2001-06,"152,6"
Gastronomie,2001-07,"155,9"
Gastronomie,2001-08,"154,7"
Gastronomie,2001-09,"147,5"
Gastronomie,2001-10,"150,2"
Gastronomie,2001-11,"138,5"
Gastronomie,2001-12,153
Gastronomie,2002-01,"121,5"
Gastronomie,2002-02,"118,1"
Gastronomie,2002-03,"134,4"
Gastronomie,2002-04,"133,6"
Gastronomie,2002-05,"142,9"
Gastronomie,2002-06,"137,4"
Gastronomie,2002-07,"138,7"
