GENESIS-Tabelle: 45212-0004
Umsatz im Einzelhandel (real/nominal) (Messzahlen und;;;;;
Veränderungsraten): Deutschland, Monate/Quartale/Halbjahre,;;;;;
Wirtschaftszweige;;;;;
Monatsstatistik im Einzelhandel;;;;;
Deutschland;;;;;
;;;;Preisarten;Preisarten
;;;;in konstanten Preisen;in konstanten Preisen
;;;;Umsatz;Veränderung zur Vorjahresperiode
;;;;2015=100;in (%)
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1994;Januar;87,1;.
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1994;Februar;85,9;.
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1994;März;104,8;.
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1994;April;93,1;.
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1994;Mai;94,3;.
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1994;Juni;92,6;.
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1994;Juli;92,7;.
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1994;August;92,4;.
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1994;September;96,7;.
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1994;Oktober;98,5;.
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1994;November;103,3;.
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1994;Dezember;125,1;.
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1995;Januar;88,7;+1,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1995;Februar;87,2;+1,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1995;März;101,5;-3,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1995;April;95,9;+3,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1995;Mai;99,4;+5,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1995;Juni;94,3;+1,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1995;Juli;93,9;+1,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1995;August;95,3;+3,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1995;September;96,7;-
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1995;Oktober;98,1;-0,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1995;November;105,3;+1,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1995;Dezember;121,6;-2,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1996;Januar;90,3;+1,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1996;Februar;88,7;+1,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1996;März;97,9;-3,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1996;April;97,5;+1,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1996;Mai;96,5;-2,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1996;Juni;90,7;-3,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1996;Juli;96,4;+2,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1996;August;94,4;-0,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1996;September;94,0;-2,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1996;Oktober;100,5;+2,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1996;November;104,1;-1,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1996;Dezember;118,5;-2,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1997;Januar;91,0;+0,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1997;Februar;83,7;-5,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1997;März;94,7;-3,3
