date,Originalwerte
1994-01,"87,1"
1994-02,"85,9"
1994-03,"104,8"
1994-04,"93,1"
1994-05,"94,3"
1994-06,"92,6"
1994-07,"92,7"
1994-08,"92,4"
1994-09,"96,7"
1994-10,"98,5"
1994-11,"103,3"
1994-12,"125,1"
1995-01,"88,7"
1995-02,"87,2"
1995-03,"101,5"
1995-04,"95,9"
1995-05,"99,4"
1995-06,"94,3"
1995-07,"93,9"
1995-08,"95,3"
1995-09,"96,7"
1995-10,"98,1"
1995-11,"105,3"
1995-12,"121,6"
1996-01,"90,3"
1996-02,"88,7"
1996-03,"97,9"
1996-04,"97,5"
1996-05,"96,5"
1996-06,"90,7"
1996-07,"96,4"
1996-08,"94,4"
1996-09,94
1996-10,"100,5"
1996-11,"104,1"
1996-12,"118,5"
1997-01,91
1997-02,"83,7"
1997-03,"94,7"
1997-04,"98,1"
1997-05,"94,2"
1997-06,"91,6"
1997-07,"95,1"
1997-08,"87,4"
1997-09,"93,6"
1997-10,"101,1"
1997-11,"98,6"
1997-12,118
1998-01,"89,4"
1998-02,"83,7"
1998-03,"97,8"
1998-04,96
1998-05,"93,9"
1998-06,"89,3"
1998-07,"96,9"
1998-08,"89,2"
1998-09,"94,1"
1998-10,"100,3"
1998-11,"102,2"
1998-12,"120,5"
1999-01,"87,4"
1999-02,"84,5"
1999-03,"102,6"
1999-04,"93,4"
1999-05,"91,7"
1999-06,"91,5"
1999-07,"95,5"
1999-08,"89,7"
1999-09,"91,9"
1999-10,"99,3"
1999-11,"102,7"
1999-12,"120,6"
2000-01,86
2000-02,"88,7"
2000-03,"98,5"
2000-04,"96,1"
2000-05,"100,6"
2000-06,"89,9"
2000-07,"92,8"
2000-08,94
2000-09,"94,6"
2000-10,98
2000-11,"103,3"
2000-12,"118,8"
2001-01,"91,3"
2001-02,"84,7"
2001-03,100
2001-04,"96,2"
2001-05,"98,7"
2001-06,"91,9"
2001-07,"93,6"
2001-08,"94,1"
2001-09,"92,4"
2001-10,"99,1"
2001-11,"104,8"
2001-12,"116,7"
2002-01,"86,8"
2002-02,"81,7"
2002-03,"95,6"
2002-04,"94,7"
2002-05,"94,1"
2002-06,"88,6"
2002-07,"94,7"
2002-08,"92,1"
2002-09,"91,8"
2002-10,"99,7"
2002-11,"100,8"
2002-12,"113,6"
2003-01,"86,3"
2003-02,"81,2"
2003-03,"92,2"
2003-04,"95,5"
2003-05,"95,1"
2003-06,87
2003-07,"93,8"
2003-08,"88,1"
2003-09,"92,7"
2003-10,"99,5"
2003-11,"96,9"
2003-12,"113,9"
2004-01,"87,3"
2004-02,83
2004-03,"97,9"
2004-04,"97,6"
2004-05,"90,7"
2004-06,"92,5"
2004-07,"95,7"
2004-08,"89,6"
2004-09,94
2004-10,"98,4"
2004-11,"101,6"
2004-12,"116,5"
2005-01,"87,7"
2005-02,"83,9"
2005-03,"98,3"
2005-04,"97,8"
2005-05,"94,3"
2005-06,"94,9"
2005-07,94
2005-08,"94,5"
2005-09,"95,5"
2005-10,"98,3"
2005-11,"102,2"
2005-12,"117,1"
2006-01,"89,4"
2006-02,"84,2"
2006-03,"98,4"
2006-04,"95,5"
2006-05,98
2006-06,"94,2"
2006-07,"93,6"
2006-08,"95,4"
2006-09,"94,4"
2006-10,"98,1"
2006-11,102
2006-12,"118,7"
2007-01,"88,1"
2007-02,"84,2"
2007-03,"100,5"
2007-04,"95,7"
2007-05,"94,1"
2007-06,"93,5"
2007-07,"92,9"
2007-08,"94,6"
2007-09,"91,9"
2007-10,"100,1"
2007-11,"100,1"
2007-12,"111,2"
2008-01,"89,6"
2008-02,"87,6"
2008-03,"93,4"
2008-04,"96,2"
2008-05,"95,8"
2008-06,"90,3"
2008-07,"94,7"
2008-08,"91,4"
2008-09,"95,3"
2008-10,"100,2"
2008-11,98
2008-12,115
2009-01,"87,1"
2009-02,"80,7"
2009-03,92
2009-04,"95,6"
2009-05,91
2009-06,"87,5"
2009-07,"93,5"
2009-08,"87,7"
2009-09,"91,2"
2009-10,"97,9"
2009-11,"94,8"
2009-12,"112,5"
2010-01,"82,8"
2010-02,"81,5"
2010-03,98
2010-04,"92,6"
2010-05,"91,5"
2010-06,"92,7"
2010-07,"96,7"
2010-08,"90,5"
2010-09,"93,1"
2010-10,"97,6"
2010-11,98
2010-12,"112,3"
2011-01,"85,5"
2011-02,"83,9"
2011-03,"95,2"
2011-04,97
2011-05,"95,6"
2011-06,"90,8"
2011-07,"94,3"
2011-08,"93,6"
2011-09,"94,2"
2011-10,"97,2"
2011-11,"98,8"
2011-12,"113,2"
2012-01,"87,2"
2012-02,86
2012-03,"99,2"
2012-04,"92,4"
2012-05,95
2012-06,95
2012-07,"93,4"
2012-08,"93,6"
2012-09,"91,3"
2012-10,"98,7"
2012-11,"99,3"
2012-12,"109,7"
2013-01,"89,1"
2013-02,"83,1"
2013-03,"96,3"
2013-04,"94,8"
2013-05,"95,2"
2013-06,"92,3"
2013-07,"96,5"
2013-08,"93,9"
2013-09,"91,5"
2013-10,"98,6"
2013-11,"100,9"
2013-12,"109,9"
2014-01,90
2014-02,"84,8"
2014-03,"95,7"
2014-04,"98,1"
2014-05,"97,2"
2014-06,"92,3"
2014-07,"97,1"
2014-08,"92,8"
2014-09,"93,8"
2014-10,"100,5"
2014-11,"98,7"
2014-12,"114,4"
2015-01,"92,3"
2015-02,"87,1"
2015-03,"99,9"
2015-04,"98,5"
2015-05,"97,6"
2015-06,"98,9"
2015-07,103
2015-08,"95,8"
2015-09,"98,4"
2015-10,"104,4"
2015-11,103
2015-12,121
2016-01,"92,6"
2016-02,"93,4"
2016-03,"102,3"
2016-04,"103,1"
2016-05,"100,4"
2016-06,"101,5"
2016-07,"101,3"
2016-08,100
2016-09,"99,5"
2016-10,"104,6"
2016-11,"107,9"
2016-12,"124,1"
2017-01,"96,1"
2017-02,92
2017-03,"108,1"
2017-04,104
2017-05,"107,3"
2017-06,"104,7"
2017-07,"104,5"
2017-08,"103,1"
2017-09,"104,6"
2017-10,104
2017-11,"113,3"
2017-12,"124,8"
