GENESIS-Tabelle: 61111-0002;;;;
Verbraucherpreisindex (inkl. Veränderungsraten):;;;;
Deutschland, Monate;;;;
Verbraucherpreisindex für Deutschland;;;;
Deutschland;;;;
;;Verbraucherpreisindex;Veränderung zum Vorjahresmonat;Veränderung zum Vormonat
;;2015=100;in (%);in (%)
1991;Januar;64;.;.
1991;Februar;64,3;.;0,5
1991;März;64,3;.;-
1991;April;64,5;.;0,3
1991;Mai;64,7;.;0,3
1991;Juni;65,1;.;0,6
1991;Juli;65,8;.;1,1
1991;August;65,8;.;-
1991;September;65,8;.;-
1991;Oktober;66,9;.;1,7
1991;November;67,1;.;0,3
1991;Dezember;67,2;.;0,1
1992;Januar;67,6;5,6;0,6
1992;Februar;68;5,8;0,6
1992;März;68,3;6,2;0,4
1992;April;68,5;6,2;0,3
1992;Mai;68,7;6,2;0,3
1992;Juni;68,9;5,8;0,3
1992;Juli;69,1;5;0,3
1992;August;69,1;5;-
1992;September;69,1;5;-
1992;Oktober;69,1;3,3;-
1992;November;69,4;3,4;0,4
1992;Dezember;69,5;3,4;0,1
1993;Januar;70,7;4,6;1,7
1993;Februar;71,2;4,7;0,7
1993;März;71,4;4,5;0,3
1993;April;71,6;4,5;0,3
1993;Mai;71,7;4,4;0,1
1993;Juni;71,9;4,4;0,3
1993;Juli;72,3;4,6;0,6
1993;August;72,3;4,6;-
1993;September;72,2;4,5;-0,1
1993;Oktober;72,2;4,5;-
1993;November;72,3;4,2;0,1
1993;Dezember;72,5;4,3;0,3
1994;Januar;72,8;3;0,4
1994;Februar;73,4;3,1;0,8
1994;März;73,5;2,9;0,1
1994;April;73,6;2,8;0,1
1994;Mai;73,8;2,9;0,3
1994;Juni;73,9;2,8;0,1
1994;Juli;74;2,4;0,1
1994;August;74,2;2,6;0,3
1994;September;74;2,5;-0,3
1994;Oktober;73,9;2,4;-0,1
1994;November;74;2,4;0,1
1994;Dezember;74,2;2,3;0,3
1995;Januar;74,5;2,3;0,4
1995;Februar;74,9;2;0,5
1995;März;74,9;1,9;-
1995;April;75;1,9;0,1
1995;Mai;75;1,6;-
1995;Juni;75,1;1,6;0,1
1995;Juli;75,3;1,8;0,3
1995;August;75,3;1,5;-
1995;September;75,3;1,8;-
1995;Oktober;75,1;1,6;-0,3
1995;November;75,1;1,5;-
1995;Dezember;75,3;1,5;0,3
1996;Januar;75,5;1,3;0,3
1996;Februar;76;1,5;0,7
1996;März;76;1,5;-
1996;April;76;1,3;-
1996;Mai;76,1;1,5;0,1
1996;Juni;76,2;1,5;0,1
1996;Juli;76,3;1,3;0,1
1996;August;76,3;1,3;-
1996;September;76,3;1,3;-
1996;Oktober;76,3;1,6;-
1996;November;76,2;1,5;-0,1
1996;Dezember;76,5;1,6;0,4
1997;Januar;77,1;2,1;0,8
1997;Februar;77,2;1,6;0,1
1997;März;77,2;1,6;-
1997;April;77,1;1,4;-0,1
1997;Mai;77,3;1,6;0,3
1997;Juni;77,4;1,6;0,1
1997;Juli;78,1;2,4;0,9
1997;August;78,1;2,4;-
1997;September;78;2,2;-0,1
1997;Oktober;77,9;2,1;-0,1
1997;November;77,9;2,2;-
1997;Dezember;78,1;2,1;0,3
1998;Januar;78,1;1,3;-
1998;Februar;78,2;1,3;0,1
1998;März;78,1;1,2;-0,1
1998;April;78,2;1,4;0,1
1998;Mai;78,3;1,3;0,1
1998;Juni;78,4;1,3;0,1
1998;Juli;78,7;0,8;0,4
1998;August;78,5;0,5;-0,3
1998;September;78,3;0,4;-0,3
1998;Oktober;78,2;0,4;-0,1
1998;November;78,2;0,4;-
1998;Dezember;78,3;0,3;0,1
1999;Januar;78,2;0,1;-0,1
1999;Februar;78,3;0,1;0,1
1999;März;78,3;0,3;-
1999;April;78,7;0,6;0,5
1999;Mai;78,7;0,5;-
1999;Juni;78,8;0,5;0,1
1999;Juli;79,2;0,6;0,5
1999;August;79,1;0,8;-0,1
1999;September;78,9;0,8;-0,3
1999;Oktober;78,8;0,8;-0,1
1999;November;79;1;0,3
1999;Dezember;79,3;1,3;0,4
2000;Januar;79,5;1,7;0,3
2000;Februar;79,5;1,5;-
2000;März;79,5;1,5;-
2000;April;79,5;1;-
2000;Mai;79,5;1;-
2000;Juni;79,8;1,3;0,4
2000;Juli;80,2;1,3;0,5
2000;August;80;1,1;-0,2
2000;September;80,2;1,6;0,3
2000;Oktober;80,1;1,6;-0,1
2000;November;80,2;1,5;0,1
2000;Dezember;80,8;1,9;0,7
2001;Januar;80,6;1,4;-0,2
2001;Februar;81;1,9;0,5
2001;März;81;1,9;-
2001;April;81,4;2,4;0,5
2001;Mai;81,7;2,8;0,4
2001;Juni;81,8;2,5;0,1
2001;Juli;81,9;2,1;0,1
2001;August;81,7;2,1;-0,2
