date,FuelSale_tons_heizoel_schwer_insg,FuelSale_tons_heizoel_schwer_chemWeiterVera,FuelSale_tons_heizoel_schwer_militaer,FuelSale_tons_heizoel_schwer_sonstige
2001-01,588541.0,363671.0,883.0,223987.0
2001-02,542207.0,313409.0,687.0,228111.0
2001-03,591409.0,306799.0,543.0,284067.0
2001-04,598900.0,331879.0,489.0,266532.0
2001-05,607824.0,359068.0,491.0,248265.0
2001-06,584099.0,327088.0,223.0,256788.0
2001-09,492805.0,261476.0,629.0,230700.0
2001-10,525738.0,251009.0,383.0,274346.0
2001-11,650817.0,335467.0,527.0,314823.0
2001-12,582316.0,339564.0,773.0,241979.0
2002-01,619122.0,354584.0,827.0,263711.0
2002-02,546603.0,333516.0,581.0,212506.0
2002-03,579050.0,339889.0,524.0,238637.0
2002-04,552143.0,315542.0,498.0,236103.0
2002-05,571926.0,317547.0,465.0,253914.0
2002-06,539780.0,293047.0,193.0,246540.0
2002-09,511150.0,271668.0,432.0,239050.0
2002-10,571888.0,324750.0,525.0,246613.0
2002-11,599070.0,344867.0,497.0,253706.0
2002-12,586014.0,357388.0,659.0,227967.0
2003-01,597855.0,364161.0,803.0,232891.0
2003-02,494844.0,276688.0,745.0,217411.0
2003-03,528613.0,347464.0,690.0,180459.0
2003-04,533775.0,345532.0,576.0,187667.0
2003-05,580671.0,371695.0,247.0,208729.0
2003-06,522036.0,334763.0,196.0,187077.0
2003-09,549464.0,333009.0,474.0,215981.0
2003-10,561412.0,336482.0,408.0,224522.0
2003-11,535609.0,301169.0,574.0,233866.0
2003-12,560769.0,309331.0,779.0,250659.0
2004-01,496797.0,338352.0,761.0,157684.0
2004-02,530500.0,304704.0,674.0,225122.0
2004-03,496206.0,237651.0,694.0,257861.0
2004-04,549200.0,303005.0,467.0,245728.0
2004-05,494248.0,300370.0,362.0,193516.0
2004-10,519323.0,291048.0,477.0,227798.0
2004-11,549554.0,306224.0,854.0,242476.0
2004-12,597607.0,334922.0,938.0,261747.0
2005-01,512927.0,321741.0,814.0,190372.0
2005-02,477149.0,305231.0,726.0,171192.0
2005-03,535810.0,318368.0,856.0,216586.0
2005-04,443246.0,237461.0,2547.0,203238.0
2005-05,494326.0,314153.0,737.0,179436.0
2005-09,485704.0,312337.0,472.0,172895.0
2005-10,514427.0,327932.0,477.0,186018.0
2005-11,526312.0,320463.0,502.0,205347.0
2005-12,564691.0,334996.0,761.0,228934.0
2006-01,493557.0,328202.0,817.0,164538.0
2006-02,505772.0,320331.0,809.0,184632.0
2006-03,524723.0,340076.0,816.0,183831.0
2006-04,556395.0,327434.0,656.0,228305.0
2006-05,574886.0,340116.0,305.0,234465.0
2006-09,443299.0,256986.0,611.0,185702.0
2006-10,517817.0,301536.0,339.0,215942.0
2006-11,554591.0,299816.0,474.0,254301.0
2006-12,612456.0,332997.0,634.0,278825.0
2007-01,590173.0,326339.0,656.0,263178.0
2007-02,509118.0,290248.0,730.0,218140.0
2007-03,533286.0,338773.0,588.0,193925.0
2007-04,431248.0,266032.0,317.0,164899.0
2007-05,520671.0,337466.0,370.0,182835.0
2007-09,445323.0,298163.0,407.0,146753.0
2007-10,474047.0,309119.0,571.0,164357.0
2007-11,482948.0,308259.0,653.0,174036.0
2007-12,528297.0,332885.0,733.0,194679.0
