,Date,Coal-PC,Gas,Biomass,Photovoltaik,Hydropower,Nuclear,Wind
0,2002-1,21665379900000,2758398160000,68176370000,1886000,40581168000,194582988000,173822000
1,2002-2,18539284060000,1997477160000,69886880000,3362000,41152728000,168619812000,246202000
2,2002-3,19911881240000,2137370200000,76393120000,6273000,49550064000,170307444000,145629000
3,2002-4,19090160060000,1864795450000,74374180000,16605000,48481416000,153447216000,115412000
4,2002-5,17291854960000,1373520470000,83257470000,8077000,53287080000,157134120000,72567000
5,2002-6,16480474800000,1342979750000,81249340000,5904000,47946888000,157903488000,78441000
6,2002-7,17439665700000,1316002310000,90609190000,5412000,46166664000,161015616000,48895000
7,2002-8,18059034660000,1281034930000,85759410000,4674000,50903640000,143312808000,47190000
8,2002-9,18307029720000,1708314930000,78686450000,4346000,47237352000,145520664000,419584000
9,2002-10,20071750900000,1981241500000,85780110000,1968000,52957176000,176614176000,171985000
10,2002-11,19607256980000,2155816740000,84032570000,7913000,53426616000,170672748000,132913000
11,2002-12,19819032640000,2497723550000,82029730000,10496000,52493544000,178972608000,150700000
12,2003-1,21492171300000,2703565690000,75717380000,4674000,51949944000,179117424000,177969000
13,2003-2,20547792880000,2698999380000,78004960000,6191000,41708712000,162562200000,75361000
14,2003-3,21041393520000,2263015020000,90085940000,9102000,46160304000,177111144000,139040000
15,2003-4,19325180260000,1839794670000,92227470000,10291000,41947272000,160995180000,214511000
16,2003-5,18924698000000,1419093900000,88779770000,9922000,49437216000,146506260000,153032000
17,2003-6,17245798840000,1619900310000,94069770000,14555000,44232168000,149922744000,124938000
18,2003-7,19041542260000,1737504720000,96384030000,12505000,40591800000,146523744000,128887000
19,2003-8,18603258820000,1493166220000,98424130000,16072000,34963608000,157877100000,115610000
20,2003-9,18982211160000,1790048400000,91719860000,11029000,33211440000,165884340000,114587000
21,2003-10,20489241600000,2500475390000,96981800000,12259000,44112168000,179034528000,178101000
22,2003-11,19809825680000,2411154760000,89642270000,4838000,32281272000,176341392000,193138000
23,2003-12,20062467680000,2658328890000,87941190000,8159000,35526552000,178842972000,290642000
24,2004-1,21017889860000,2805104470000,95703690000,4223000,45641808000,191961648000,334521000
25,2004-2,20262432880000,2466763880000,87193690000,6109000,44336568000,176071512000,331122000
26,2004-3,21489240620000,2545403980000,89936210000,10496000,45053808000,176883180000,295790000
27,2004-4,18162100460000,1902562200000,92253230000,12751000,48010512000,176241864000,204050000
28,2004-5,17709130000000,1811763240000,100691470000,12587000,51089664000,149901108000,165528000
29,2004-6,17455704900000,1605942170000,106881000000,14022000,55150224000,141652092000,208802000
30,2004-7,17419228840000,1566239430000,110160340000,13940000,53578896000,150941112000,160732000
31,2004-8,17629905700000,1580379360000,108295730000,13653000,48922248000,145696932000,218328000
32,2004-9,18680350300000,1822727970000,94299770000,11767000,44140176000,144384600000,318879000
33,2004-10,19280350040000,2087796410000,100070700000,9594000,46709352000,173501904000,333729000
34,2004-11,20358517200000,2311010030000,94947910000,5658000,44650992000,184337964000,315920000
35,2004-12,21435373180000,2518345200000,99748010000,12751000,42915264000,193201404000,353419000
36,2005-1,20159290000000,2579057180000,122575280000,7954000,45055920000,190753560000,575465000
37,2005-2,20487089920000,2680113310000,109898600000,8077000,41490408000,170633472000,309903000
38,2005-3,20121924240000,2760122470000,120314380000,12464000,50188248000,186418332000,325479000
39,2005-4,18654307920000,2236900470000,121595020000,17056000,54455328000,167643216000,211365000
40,2005-5,17147789980000,1986678050000,126840170000,18983000,58029816000,143660040000,213741000
41,2005-6,17236313900000,2027725840000,147366520000,21361000,49149840000,137225508000,159071000
42,2005-7,17499645420000,2115383410000,162702920000,18778000,50692872000,144581352000,219032000
43,2005-8,16134253580000,1807356180000,172932860000,17671000,50367048000,150129924000,217019000
44,2005-9,16951105600000,1947047830000,170009560000,16154000,43857840000,156268308000,179993000
45,2005-10,18672969480000,2170619640000,163866720000,13817000,41185920000,170612832000,324775000
46,2005-11,20537379700000,2984142140000,194054910000,10209000,34373448000,161390772000,309232000
47,2005-12,21063700800000,3152319450000,204629850000,36490000,41544672000,177338952000,390566000
48,2006-1,22372246140000,3609485530000,173753960000,27634000,41876160000,192363948000,271931000
49,2006-2,20121753680000,3238081210000,152216300000,8487000,37783392000,173396544000,279433000
50,2006-3,21441226340000,3084175640000,161340630000,12218000,48849552000,184267260000,337183000
51,2006-4,16973248880000,2298160270000,171109880000,15662000,53858712000,170285304000,284559000
52,2006-5,16790514340000,1875747440000,175438020000,15621000,57389736000,148115028000,384065000
53,2006-6,16903786680000,1779727040000,176530980000,20582000,50496096000,160000296000,168817000
54,2006-7,17547690040000,2112266030000,190931280000,23206000,46481640000,161150724000,148379000
55,2006-8,16574694440000,1848641130000,194030300000,17220000,51668448000,157485504000,238205000
56,2006-9,16669493820000,1980671140000,178629960000,18286000,46045248000,167593356000,240086000
57,2006-10,18676182240000,2215062640000,192227790000,15539000,43794840000,172966152000,387486000
