date,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen,Deutschland
1990-01,    28.3,    28.2,    33.3,    31.9,    48.2,    37.7,    46.3,    46.3,    65.2,    55.1,    73.0,    75.0,    16.4,    22.6,    26.5,    31.4,    40.2
1990-02,    52.3,    51.9,   146.2,   124.5,   121.2,    48.4,    91.5,    91.1,   125.4,   124.2,    84.2,   151.7,    53.8,    57.1,    68.8,    83.6,   100.1
1990-03,    22.4,    22.3,    34.5,    37.3,    27.9,    31.3,    43.1,    43.5,    40.3,    25.9,    55.6,    17.8,    29.5,    18.1,    23.7,    30.7,    34.1
1990-04,    29.5,    29.6,    64.9,    75.3,    48.9,    27.9,    45.3,    45.1,    48.5,    48.2,    39.9,    46.6,    62.4,    39.1,    44.1,    50.3,    52.0
1990-05,    20.1,    19.9,    45.2,    42.6,    23.3,    31.0,    30.8,    31.2,    29.2,    26.2,    43.0,    27.1,    13.9,    12.4,    13.2,    14.1,    30.8
1990-06,   124.5,   123.2,   142.8,   156.0,    91.4,    92.0,    91.0,    91.5,   102.2,   104.7,   111.9,   118.9,   105.6,    96.0,   100.4,   105.9,   116.9
1990-07,    23.4,    23.4,    55.7,    75.2,    32.3,    28.7,    35.7,    35.9,    38.6,    35.7,    67.9,    47.5,    27.3,    15.4,    20.3,    26.4,    43.7
1990-08,    66.9,    66.8,    56.3,    58.8,    62.9,    69.0,    77.6,    77.8,    77.1,    70.3,    85.3,    66.6,    66.6,    67.3,    65.5,    63.3,    67.5
1990-09,    60.9,    61.2,    96.1,   103.5,    78.2,    97.0,   108.8,   108.8,    89.8,    74.9,   145.6,    68.2,    70.3,    65.0,    67.3,    70.1,    91.2
1990-10,    20.6,    20.8,    84.2,    75.7,    53.3,    28.6,    43.5,    43.6,    47.9,    68.6,    62.0,    91.6,    32.1,    19.1,    25.2,    32.8,    52.2
1990-11,    57.4,    57.6,   118.9,   100.8,    98.0,    73.7,   104.9,   105.0,   105.9,    88.9,   122.7,    89.6,    72.5,    60.4,    68.5,    78.6,    93.5
1990-12,    59.9,    59.6,    83.6,    61.8,    82.0,    43.7,    72.0,    71.7,   100.2,    84.9,    68.3,   116.5,    45.7,    53.6,    55.3,    57.4,    69.4
1991-01,    21.3,    21.2,    50.3,    46.8,    65.5,    27.0,    49.1,    48.9,    71.2,    69.7,    60.6,   103.2,    23.9,    23.0,    31.3,    41.7,    46.9
1991-02,    21.7,    21.6,    27.3,    25.8,    27.9,    33.8,    22.7,    22.8,    26.3,    24.5,    34.3,    31.1,    21.4,    20.6,    22.8,    25.6,    25.7
1991-03,    28.3,    28.0,    48.8,    41.3,    37.8,    20.0,    22.8,    22.7,    36.3,    40.5,    30.4,    39.6,    24.3,    30.2,    28.9,    27.2,    33.7
1991-04,    36.9,    36.8,    42.2,    37.9,    36.0,    31.9,    25.7,    26.0,    34.6,    45.3,    42.8,    44.8,    43.2,    26.5,    31.6,    38.0,    36.2
1991-05,    49.4,    49.5,    61.2,    86.0,    20.5,    40.1,    36.3,    36.4,    33.6,    18.5,    33.6,    11.4,    59.3,    32.1,    30.4,    28.3,    48.3
1991-06,    74.5,    74.6,   127.0,   151.8,    79.5,   121.8,   113.1,   113.2,    96.1,    76.0,   146.9,    71.5,    98.7,    74.7,    79.2,    84.8,   110.8
1991-07,    27.3,    27.2,    73.9,   100.7,    46.8,    31.2,    46.4,    46.6,    53.4,    57.6,    51.3,    68.4,    34.4,    29.1,    31.2,    33.9,    57.0
1991-08,    38.0,    38.2,    18.7,    64.0,    14.3,    48.6,    45.8,    46.3,    46.6,    10.1,    66.8,     9.6,    58.5,    36.4,    36.0,    35.5,    42.9
1991-09,    22.2,    22.3,    82.0,    60.5,    47.3,    30.1,    58.7,    58.9,    57.0,    50.6,    80.2,    62.4,    23.9,    23.4,    26.1,    29.5,    51.0
1991-10,    20.3,    20.2,    38.7,    22.4,    40.4,    29.2,    44.2,    44.2,    48.4,    46.5,    63.1,    56.3,    22.3,    17.2,    21.2,    26.3,    34.1
1991-11,    48.4,    48.3,   102.3,    79.2,    88.0,    45.3,    88.8,    88.6,   130.1,    95.1,    84.6,   112.6,    52.1,    46.4,    52.2,    59.5,    80.6
1991-12,    45.2,    45.3,    91.1,    91.8,    79.4,    50.9,    70.1,    70.3,   101.1,    79.7,    75.7,    83.7,    84.1,    50.3,    60.3,    73.0,    77.4
1992-01,    39.3,    39.4,    27.8,    26.7,    34.6,    35.5,    46.2,    46.0,    42.6,    31.0,    34.0,    33.6,    55.9,    34.0,    34.9,    36.0,    36.0
1992-02,    35.8,    35.7,    63.5,    53.4,    31.5,    30.3,    40.1,    40.2,    43.1,    42.2,    42.1,    52.5,    47.9,    28.6,    29.0,    29.4,    43.5
1992-03,    81.6,    81.7,   113.5,   113.3,    93.6,    73.4,    95.8,    95.8,   107.1,    92.9,    86.8,    91.2,    95.7,    78.5,    85.8,    95.0,    97.8
1992-04,    36.2,    36.2,    64.8,    64.1,    42.4,    50.1,    63.9,    64.2,    63.6,    36.6,    63.3,    45.7,    36.4,    32.7,    34.2,    36.0,    53.4
1992-05,    23.7,    23.7,    35.3,    19.6,    34.0,    32.8,    34.1,    34.4,    33.7,    37.2,    37.7,    39.5,    21.1,    23.6,    26.1,    29.3,    29.2
1992-06,    17.1,    17.1,   142.0,   116.4,   122.5,     9.7,    40.5,    39.9,    90.7,   104.7,     4.7,    87.4,    56.3,    49.6,    68.7,    92.8,    77.4
1992-07,    59.3,    59.2,    91.1,   113.3,    88.9,    54.7,    56.4,    56.5,    76.1,    79.7,    72.9,    83.7,   117.9,    76.3,    93.1,   114.3,    84.4
1992-08,    79.3,    79.2,    77.8,    90.2,    94.1,    86.6,    95.6,    95.3,   116.3,    80.0,    83.0,    87.9,    60.3,    76.5,    73.0,    68.5,    87.0
1992-09,    21.8,    21.9,    48.5,    56.3,    43.8,    25.9,    39.2,    39.2,    49.7,    42.9,    46.5,    41.3,    31.8,    18.3,    23.8,    30.7,    41.1
1992-10,    41.4,    41.5,   122.0,   101.4,    79.3,    47.0,    84.5,    84.2,    94.4,    88.6,    81.9,   112.0,    55.4,    64.8,    64.2,    63.4,    82.9
1992-11,    59.2,    58.9,   143.1,   134.1,   102.2,    74.6,   115.3,   115.5,   126.8,   103.8,   153.4,   153.2,    52.6,    59.9,    68.5,    79.5,   108.1
1992-12,    45.6,    45.3,    56.6,    58.8,    62.1,    32.5,    57.4,    57.0,    72.8,    64.3,    40.9,    67.2,    39.5,    53.1,    53.3,    53.4,    55.1
1993-01,    55.9,    56.0,    67.5,    77.3,   105.4,    75.5,   104.3,   104.2,   143.4,    92.3,   111.1,   121.6,    63.1,    54.9,    71.5,    92.4,    87.3
1993-02,    35.1,    35.0,    28.9,    32.2,    24.5,    30.9,    32.8,    32.8,    37.0,    26.3,    36.0,    22.6,    46.7,    24.1,    25.9,    28.2,    32.0
1993-03,    12.7,    12.7,    22.5,    35.7,    12.3,    13.8,    15.1,    15.2,    11.8,    10.5,    15.8,    10.1,    27.4,    12.5,    15.4,    19.1,    19.7
1993-04,    19.0,    19.1,    47.8,    47.0,    46.3,    25.7,    44.7,    44.4,    66.9,    41.4,    26.0,    35.1,    31.9,    20.7,    25.0,    30.4,    40.5
1993-05,    67.8,    67.5,    87.9,    70.6,    66.5,    57.5,    68.3,    68.1,    79.2,    95.5,    43.6,   111.7,    70.6,    80.9,    77.4,    73.0,    72.7
1993-06,    98.9,    99.0,    95.3,   122.6,    36.9,    83.5,    58.9,    59.3,    39.7,    26.0,    55.4,    37.3,    84.6,    85.7,    83.0,    79.5,    78.9
1993-07,   110.4,   111.0,   139.7,   179.0,   103.7,   111.0,   156.5,   156.6,   135.4,    95.1,   129.8,   101.2,   141.1,   110.0,   112.9,   116.6,   137.2
1993-08,    48.7,    48.9,    74.2,    96.9,    33.7,    70.2,    70.6,    70.7,    43.6,    23.9,    85.7,    27.2,    68.3,    43.5,    46.6,    50.4,    64.9
1993-09,    68.9,    68.8,    84.5,    78.6,    91.8,    96.7,   109.2,   109.5,   142.9,   126.3,   114.6,   130.5,    58.4,    60.8,    60.1,    59.2,    92.4
