date,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen,Deutschland
1990-01,    39.4,    39.6,    74.1,    65.7,    20.4,    27.6,    26.2,    26.1,    30.2,    25.9,    18.1,    17.6,    51.9,    36.4,    31.9,    26.3,    41.6
1990-02,   102.4,   102.5,   105.4,   111.6,    89.5,    95.4,    90.1,    90.1,    91.5,    99.9,    81.1,    97.6,   109.9,   101.1,    96.9,    91.5,    99.3
1990-03,   120.6,   120.8,   159.5,   149.6,   132.9,   126.7,   126.9,   126.8,   124.0,   146.4,   133.0,   161.8,   127.1,   123.7,   125.7,   128.3,   135.7
1990-04,   215.1,   215.1,   123.8,   134.8,   164.3,   220.9,   197.0,   197.1,   189.9,   156.4,   204.8,   156.3,   187.3,   193.3,   174.5,   150.9,   172.7
1990-05,   304.0,   304.1,   283.7,   283.1,   291.4,   305.0,   285.6,   285.6,   289.6,   292.6,   281.1,   315.9,   309.3,   290.8,   292.0,   293.5,   290.7
1990-06,   157.9,   157.9,   165.5,   162.8,   146.0,   143.8,   121.3,   121.2,   133.0,   150.2,   120.0,   160.5,   155.7,   144.4,   144.3,   144.2,   147.1
1990-07,   250.9,   250.9,   266.0,   254.0,   255.8,   237.0,   221.4,   221.4,   237.7,   273.3,   235.3,   297.4,   252.0,   241.2,   239.7,   237.7,   247.0
1990-08,   254.2,   254.2,   246.3,   248.1,   212.0,   241.5,   222.3,   222.4,   213.4,   213.6,   238.5,   239.4,   253.3,   239.2,   232.4,   223.9,   235.4
1990-09,   117.6,   117.7,   149.7,   126.9,    94.2,   121.1,    87.4,    87.5,    82.6,   114.2,    97.2,   139.1,   114.0,   104.8,    98.5,    90.6,   111.1
1990-10,   156.1,   156.1,   139.0,   143.6,   130.6,   131.5,   135.6,   135.4,   140.6,   132.3,   120.1,   135.8,   162.2,   150.2,   144.1,   136.4,   140.5
1990-11,    40.4,    40.3,    40.7,    40.6,    28.1,    25.6,    36.5,    36.3,    37.6,    39.1,    35.3,    44.4,    41.3,    40.7,    36.5,    31.3,    37.4
1990-12,    39.7,    39.7,    35.7,    35.3,    25.1,    38.2,    28.4,    28.4,    30.7,    24.4,    26.9,    28.7,    41.2,    38.0,    32.9,    26.5,    33.0
1991-01,    71.2,    71.1,    58.5,    75.7,    59.2,    75.2,    67.3,    67.4,    70.4,    63.5,    68.1,    62.0,    72.8,    67.1,    65.7,    64.0,    68.7
1991-02,    75.7,    75.8,   100.9,   106.2,    89.3,    73.6,    83.7,    83.5,    93.4,   105.0,    80.2,   120.2,   102.7,    88.7,    91.0,    93.8,    92.8
1991-03,   117.6,   117.5,    98.4,    98.5,   103.5,   128.6,   109.8,   109.7,   112.0,   102.2,   108.2,   105.3,    99.2,   108.4,   106.3,   103.6,   106.7
1991-04,   171.5,   171.4,   183.9,   172.6,   188.8,   189.8,   196.6,   196.5,   191.6,   192.0,   190.1,   208.1,   149.9,   175.4,   174.3,   173.0,   181.8
1991-05,   182.5,   182.3,   181.5,   152.9,   155.9,   211.6,   157.5,   157.8,   152.9,   187.7,   200.5,   218.0,   152.8,   168.3,   155.8,   140.1,   167.8
1991-06,   191.6,   191.3,   183.7,   175.5,   139.7,   152.7,   122.9,   123.0,   118.3,   137.6,   137.7,   145.8,   191.3,   169.1,   164.8,   159.4,   157.3
1991-07,   308.0,   307.7,   277.3,   261.1,   263.0,   296.7,   275.1,   275.6,   242.7,   260.6,   292.3,   280.4,   277.5,   292.0,   283.4,   272.6,   274.0
1991-08,   200.3,   200.1,   274.4,   240.2,   242.4,   203.5,   207.8,   207.9,   225.1,   274.6,   217.8,   304.0,   197.9,   201.2,   203.1,   205.4,   227.6
1991-09,   190.4,   190.3,   175.8,   167.8,   167.6,   178.8,   153.0,   153.1,   152.1,   173.6,   159.3,   186.0,   191.8,   179.3,   178.0,   176.4,   170.1
1991-10,   181.5,   181.2,   113.7,   133.1,   111.6,   143.7,   134.7,   134.7,   120.2,    96.0,   128.7,    95.3,   187.5,   173.3,   168.2,   161.8,   137.6
1991-11,    43.9,    43.8,    42.5,    39.2,    40.5,    45.1,    51.4,    51.3,    55.9,    49.1,    47.7,    46.3,    50.8,    54.5,    50.8,    46.1,    46.4
