date,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen,Deutschland
1990-01,     3.57,     3.56,     1.12,    -0.31,     2.45,     3.90,     4.44,     4.45,     4.33,     2.60,     4.40,     2.51,     2.22,     3.63,     2.81,     1.78,     2.53
1990-02,     6.29,     6.28,     5.47,     4.15,     5.48,     6.04,     6.67,     6.68,     6.87,     5.92,     6.27,     6.33,     5.85,     6.52,     5.86,     5.02,     5.74
1990-03,     7.56,     7.55,     6.54,     6.06,     6.88,     7.00,     7.40,     7.40,     7.62,     7.11,     6.83,     7.50,     6.97,     7.45,     6.96,     6.34,     6.92
1990-04,     8.54,     8.52,     6.64,     6.36,     7.34,     7.92,     8.01,     8.02,     7.91,     7.47,     7.67,     7.73,     7.26,     7.95,     7.40,     6.70,     7.39
1990-05,    14.57,    14.55,    14.10,    13.66,    13.84,    13.40,    13.81,    13.82,    14.11,    14.27,    13.09,    14.61,    13.88,    14.38,    13.90,    13.30,    13.89
1990-06,    16.37,    16.36,    14.70,    14.68,    14.94,    15.54,    15.30,    15.30,    15.19,    14.90,    14.69,    15.01,    15.75,    16.04,    15.47,    14.76,    15.18
1990-07,    17.28,    17.26,    17.22,    16.37,    16.66,    16.51,    16.41,    16.42,    16.74,    17.30,    15.91,    17.87,    16.56,    17.12,    16.55,    15.84,    16.67
1990-08,    18.81,    18.80,    18.14,    17.87,    18.46,    17.95,    18.22,    18.22,    18.70,    18.75,    17.39,    19.11,    18.68,    18.99,    18.58,    18.08,    18.30
1990-09,    12.31,    12.30,    11.91,    11.24,    11.54,    12.08,    12.10,    12.11,    11.88,    11.85,    12.23,    12.07,    11.57,    12.21,    11.70,    11.05,    11.80
1990-10,    10.26,    10.25,    10.16,     9.13,     9.93,    10.35,    10.84,    10.84,    11.42,    10.48,    10.65,    10.86,     9.91,    10.30,     9.86,     9.30,    10.18
1990-11,     5.01,     5.00,     3.79,     3.35,     4.42,     4.87,     5.23,     5.24,     5.25,     4.67,     4.98,     5.02,     4.36,     5.05,     4.55,     3.94,     4.47
1990-12,     0.91,     0.91,    -0.23,    -1.17,     0.66,     1.52,     2.49,     2.50,     2.35,     1.02,     2.65,     1.26,     0.00,     1.24,     0.64,    -0.11,     0.77
1991-01,     2.03,     2.02,     0.74,     0.08,     1.30,     2.09,     2.58,     2.59,     2.49,     1.46,     2.54,     1.63,     1.34,     2.02,     1.49,     0.82,     1.49
1991-02,    -2.65,    -2.66,    -2.22,    -3.66,    -2.61,    -2.01,    -1.79,    -1.78,    -1.24,    -1.81,    -1.36,    -1.16,    -2.95,    -2.57,    -2.94,    -3.40,    -2.44
1991-03,     6.27,     6.26,     6.47,     5.44,     6.49,     5.40,     7.26,     7.26,     7.92,     7.06,     5.98,     7.60,     6.11,     6.74,     6.32,     5.79,     6.41
1991-04,     7.87,     7.85,     6.77,     6.34,     6.83,     7.10,     7.56,     7.57,     7.71,     7.34,     7.01,     7.64,     6.66,     7.43,     6.83,     6.07,     7.05
1991-05,    10.27,    10.26,     9.34,     8.73,     9.62,     9.57,     9.87,     9.87,    10.05,    10.13,     9.47,    10.80,     9.14,    10.08,     9.52,     8.83,     9.54
1991-06,    14.57,    14.55,    13.93,    13.71,    13.14,    13.16,    13.03,    13.03,    12.97,    13.31,    12.49,    13.58,    13.97,    14.08,    13.61,    13.02,    13.50
1991-07,    20.25,    20.23,    19.29,    18.78,    19.20,    18.47,    19.06,    19.06,    19.18,    19.53,    18.20,    19.98,    19.39,    19.87,    19.38,    18.76,    19.16
1991-08,    18.43,    18.42,    18.73,    17.58,    18.26,    17.48,    17.52,    17.53,    17.91,    18.98,    17.04,    19.61,    17.61,    18.10,    17.71,    17.22,    17.91
1991-09,    15.31,    15.30,    15.08,    14.34,    14.95,    14.48,    14.52,    14.52,    14.90,    15.34,    13.87,    15.75,    14.86,    15.18,    14.86,    14.47,    14.75
1991-10,     8.89,     8.88,     7.57,     6.95,     7.92,     8.77,     8.87,     8.88,     9.10,     8.27,     8.85,     8.64,     8.03,     8.66,     8.06,     7.32,     8.16
1991-11,     4.53,     4.52,     3.53,     2.73,     3.78,     4.54,     4.66,     4.66,     4.84,     3.92,     4.75,     4.20,     3.74,     4.44,     3.96,     3.36,     3.95
1991-12,     1.50,     1.49,    -0.64,    -1.71,     0.37,     1.98,     2.43,     2.44,     2.34,     0.77,     2.64,     1.07,     0.05,     1.54,     0.78,    -0.17,     0.68
1992-01,     1.30,     1.29,    -0.12,    -0.48,     1.03,     1.64,     2.09,     2.10,     1.99,     1.17,     2.48,     1.36,     0.68,     1.49,     0.99,     0.35,     0.97
1992-02,     3.55,     3.54,     1.69,     1.09,     2.57,     3.44,     4.16,     4.17,     4.17,     2.91,     4.11,     3.06,     2.75,     3.63,     3.02,     2.26,     2.84
1992-03,     4.97,     4.95,     4.79,     3.92,     4.87,     4.74,     5.43,     5.44,     5.89,     5.39,     5.11,     5.92,     4.34,     5.11,     4.63,     4.04,     4.84
1992-04,     8.66,     8.65,     7.62,     7.01,     7.76,     7.64,     8.08,     8.08,     8.31,     8.19,     7.37,     8.58,     7.92,     8.52,     7.94,     7.19,     7.80
1992-05,    14.97,    14.95,    14.44,    14.22,    14.62,    13.46,    14.83,    14.83,    15.19,    14.84,    13.66,    15.11,    14.23,    14.99,    14.49,    13.86,    14.50
1992-06,    19.66,    19.64,    15.85,    16.11,    16.62,    18.06,    18.17,    18.18,    16.97,    16.48,    18.02,    16.60,    17.95,    18.83,    17.85,    16.61,    17.29
1992-07,    20.08,    20.07,    18.32,    18.09,    18.29,    19.00,    18.70,    18.71,    18.59,    18.54,    18.15,    18.75,    19.01,    19.50,    18.82,    17.96,    18.64
1992-08,    20.16,    20.15,    19.74,    19.61,    18.69,    18.19,    18.22,    18.22,    18.43,    18.97,    17.15,    19.10,    20.19,    19.87,    19.38,    18.77,    19.09
1992-09,    13.73,    13.72,    13.51,    12.88,    12.99,    13.45,    13.65,    13.66,    13.81,    13.35,    13.44,    13.49,    13.34,    13.66,    13.16,    12.53,    13.36
1992-10,     6.03,     6.03,     6.88,     6.41,     6.30,     6.18,     6.71,     6.71,     6.89,     6.63,     6.66,     6.92,     6.26,     6.33,     6.05,     5.70,     6.47
1992-11,     4.94,     4.93,     5.78,     4.67,     5.50,     4.79,     6.19,     6.19,     6.64,     6.01,     5.50,     6.31,     4.60,     5.47,     5.11,     4.67,     5.42
1992-12,     0.87,     0.87,     0.94,    -0.33,     1.34,     1.54,     2.44,     2.45,     2.76,     1.97,     2.76,     2.60,     0.37,     1.50,     1.02,     0.41,     1.25
1993-01,     2.15,     2.14,     3.09,     1.58,     2.39,     1.93,     2.93,     2.94,     3.79,     3.45,     2.62,     3.80,     1.76,     2.50,     1.99,     1.35,     2.46
1993-02,     0.09,     0.08,    -1.15,    -2.49,    -1.28,     0.63,     0.50,     0.52,     0.42,    -0.74,     1.18,    -0.45,    -1.03,    -0.29,    -1.03,    -1.96,    -0.68
1993-03,     3.76,     3.74,     3.53,     2.38,     3.98,     3.52,     4.23,     4.23,     5.00,     4.63,     3.70,     5.18,     3.02,     4.02,     3.56,     2.99,     3.64
1993-04,    10.84,    10.82,    10.28,     9.93,    10.77,     8.90,    10.73,    10.73,    11.14,    10.85,     9.04,    11.16,    10.34,    11.04,    10.63,    10.12,    10.36
1993-05,    16.11,    16.10,    14.19,    14.64,    14.59,    14.11,    14.44,    14.45,    14.58,    14.36,    13.38,    14.39,    15.13,    15.43,    14.88,    14.18,    14.63
1993-06,    15.85,    15.84,    16.13,    15.50,    16.15,    14.61,    15.32,    15.32,    16.16,    16.58,    14.56,    16.96,    15.42,    15.88,    15.59,    15.23,    15.65
1993-07,    16.56,    16.55,    16.40,    15.88,    16.45,    15.65,    15.72,    15.72,    16.24,    16.71,    15.25,    16.99,    16.14,    16.46,    16.13,    15.71,    16.09
1993-08,    16.21,    16.20,    16.58,    16.22,    15.96,    15.08,    14.94,    14.94,    15.31,    16.42,    14.51,    17.01,    15.99,    15.99,    15.77,    15.50,    15.79
1993-09,    12.60,    12.59,    12.40,    12.23,    12.17,    11.94,    12.08,    12.09,    12.44,    12.46,    11.73,    12.68,    12.23,    12.36,    12.03,    11.61,    12.23
1993-10,     8.47,     8.46,     7.43,     7.38,     7.67,     8.00,     8.21,     8.21,     8.36,     7.89,     7.72,     8.23,     7.88,     8.16,     7.70,     7.12,     7.85
1993-11,     0.01,     0.01,     0.42,    -0.11,     0.21,     0.59,     0.85,     0.86,     1.39,     0.79,     1.26,     1.30,    -0.60,    -0.01,    -0.38,    -0.84,     0.36
1993-12,     3.29,     3.28,     3.53,     2.44,     3.28,     2.84,     3.71,     3.71,     4.10,     3.81,     3.13,     4.16,     2.89,     3.41,     2.99,     2.46,     3.23
1994-01,     3.26,     3.25,     2.33,     1.83,     2.86,     3.16,     3.89,     3.90,     3.96,     3.17,     3.58,     3.37,     2.81,     3.44,     2.89,     2.20,     2.96
1994-02,    -1.01,    -1.03,     1.12,    -0.05,     0.13,    -1.45,    -0.58,    -0.58,     0.94,     1.01,    -1.10,     1.59,    -1.00,    -0.86,    -0.98,    -1.12,    -0.19
1994-03,     5.72,     5.71,     7.66,     6.67,     6.53,     4.63,     6.05,     6.04,     6.91,     7.07,     4.76,     7.55,     6.00,     6.30,     6.08,     5.79,     6.34
1994-04,     9.11,     9.09,     7.01,     6.85,     8.00,     8.29,     8.62,     8.63,     8.41,     8.00,     8.24,     8.22,     7.89,     8.84,     8.20,     7.39,     7.94
1994-05,    13.18,    13.16,    12.63,    12.53,    12.42,    11.86,    12.57,    12.58,    12.65,    12.52,    11.89,    12.83,    12.43,    13.16,    12.70,    12.12,    12.55
