date,heating_oil_price_in_usd
19.06.2020,32
18.06.2020,31.66
17.06.2020,31.23
16.06.2020,31.23
15.06.2020,30.04
12.06.2020,29.1
11.06.2020,28.74
10.06.2020,30.99
09.06.2020,30.5
08.06.2020,29.62
05.06.2020,30.4
04.06.2020,28.37
03.06.2020,28.12
02.06.2020,28.85
01.06.2020,27.18
29.05.2020,25.48
28.05.2020,24.45
27.05.2020,25.68
26.05.2020,26.17
22.05.2020,25.94
21.05.2020,26.13
20.05.2020,26.17
19.05.2020,25.72
18.05.2020,26.59
15.05.2020,24.31
14.05.2020,23.64
13.05.2020,21.96
12.05.2020,22.15
11.05.2020,22.95
08.05.2020,23.76
07.05.2020,22.11
06.05.2020,21.77
05.05.2020,23.67
04.05.2020,21.22
01.05.2020,21.03
30.04.2020,19.33
29.04.2020,18.35
28.04.2020,16.66
27.04.2020,16.13
24.04.2020,17.08
23.04.2020,19.4
22.04.2020,19.31
21.04.2020,19.2
20.04.2020,23.45
17.04.2020,25.26
16.04.2020,25
15.04.2020,24.14
14.04.2020,24.94
13.04.2020,26.27
09.04.2020,25.69
08.04.2020,26.7
07.04.2020,27.14
06.04.2020,27.62
03.04.2020,28.28
02.04.2020,26.29
01.04.2020,24.63
31.03.2020,26.74
30.03.2020,26.93
27.03.2020,28.23
26.03.2020,27.75
25.03.2020,29
24.03.2020,28.54
23.03.2020,26.84
20.03.2020,26.58
19.03.2020,27.52
18.03.2020,25.21
17.03.2020,27.36
16.03.2020,27.65
13.03.2020,30.05
12.03.2020,30.64
11.03.2020,32.7
10.03.2020,33.02
09.03.2020,30.72
06.03.2020,36.59
05.03.2020,39.32
04.03.2020,40.5
03.03.2020,40.5
02.03.2020,40.38
28.02.2020,39.38
27.02.2020,39.34
26.02.2020,39.61
25.02.2020,41.44
24.02.2020,42.62
21.02.2020,44.56
20.02.2020,44.85
19.02.2020,45.09
18.02.2020,44.18
14.02.2020,44.86
13.02.2020,44.39
12.02.2020,44.27
11.02.2020,42.97
10.02.2020,42.6
07.02.2020,43.41
06.02.2020,44
05.02.2020,43.47
04.02.2020,41.84
03.02.2020,41.68
31.01.2020,42.91
30.01.2020,43.31
29.01.2020,45
28.01.2020,45.33
27.01.2020,44.37
24.01.2020,45.81
23.01.2020,47.33
22.01.2020,47.56
21.01.2020,48.32
17.01.2020,49.11
16.01.2020,49.14
15.01.2020,49.61
14.01.2020,50.46
13.01.2020,50.14
10.01.2020,50.94
09.01.2020,51.52
