date,inflation_rate_germany
2019,1.4
2018,1.8
2017,1.5
2016,0.5
2015,0.5
2014,1
2013,1.4
2012,2
2011,2.1
2010,1.1
2009,0.3
2008,2.6
2007,2.3
2006,1.6
2005,1.5
2004,1.7
2003,1.1
2002,1.3
2001,2
2000,1.4
1999,0.6
1998,0.9
1997,2
1996,1.3
1995,1.8
1994,2.6
1993,4.5
1992,5
1991,3.7
1990,2.6
1989,2.8
1988,1.2
1987,0.2
1986,-0.1
1985,2
1984,2.5
1983,3.2
1982,5.2
1981,6.3
1980,5.4
1979,4.1
1978,2.7
1977,3.7
1976,4.2
1975,6
1974,6.9
1973,7.1
1972,5.4
1971,5.2
1970,3.6
1969,1.8
1968,1.6
1967,1.9
1966,3.3
1965,3.2
1964,2.4
1963,3
1962,2.8
1961,2.5
1960,1.6
1959,0.6
1958,2.3
1957,2
1956,2.8
1955,1.4
1954,0.4
1953,-1.7
1952,2.1
1951,7.6
1950,-6.4
