GENESIS-Tabelle: 43311-0002
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;;
Brennstoffeinsatz: Deutschland, Monate, Energieträger;;;;;;
Monatserhebung über die Elektrizitätsversorgung;;;;;;
Deutschland;;;;;;
;;;Elektrizitätserzeugung (brutto);Elektrizitätserzeugung (netto);Nettowärmeerzeugung;Brennstoffeinsatz
;;;MWh;MWh;MWh;GJ
2002;Januar;Steinkohlen;12803296;11794798;-;110990869
2002;Januar;Steinkohlenkoks;-;-;-;-
2002;Januar;Steinkohlenbriketts;-;-;-;-
2002;Januar;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2002;Januar;Sonstige Steinkohlen;-;-;-;-
2002;Januar;Rohbraunkohlen;13361162;12338412;-;131233316
2002;Januar;Hartbraunkohlen;197149;180472;-;1890683
2002;Januar;Braunkohlenbriketts;5632;4840;-;77755
2002;Januar;Braunkohlenkoks;-;-;-;-
2002;Januar;Wirbelschichtkohle;-;-;-;-
2002;Januar;Staub- und Trockenkohle;44747;39653;-;297606
2002;Januar;Sonstige Braunkohlen;9209;8383;-;82381
2002;Januar;Dieselkraftstoff;1320;1286;-;12547
2002;Januar;Heizöl, leicht;109227;97351;-;833945
2002;Januar;Heizöl, schwer;152893;138135;-;1357347
2002;Januar;Flüssiggas;-;-;-;-
2002;Januar;Raffineriegas;-;-;-;-
2002;Januar;Petrolkoks;37443;33903;-;431959
2002;Januar;Sonstige Mineralölprodukte;30249;27237;-;273714
2002;Januar;Erdgas, Erdölgas;5436154;5118606;-;40230244
2002;Januar;Grubengas;3256;2968;-;26910
2002;Januar;Kokereigas;1847;1665;-;16921
2002;Januar;Hochofengas;152094;146162;-;2017224
2002;Januar;Sonstige hergestellte Gase;22376;20641;-;111672
2002;Januar;Wasserstoff;-;-;-;-
2002;Januar;Laufwasser;1188995;1168552;-;-
2002;Januar;Speicherwasser;149702;144945;-;-
2002;Januar;Pumpspeicherwasser;352185;344708;-;-
2002;Januar;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2002;Januar;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2002;Januar;Windkraft;15802;15705;-;-
2002;Januar;Photovoltaik;46;29;-;-
2002;Januar;Geothermie;-;-;-;-
2002;Januar;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2002;Januar;Solarthermie;-;-;-;-
2002;Januar;Feste biogene Stoffe;11838;10798;-;173985
2002;Januar;Flüssige biogene Stoffe;-;-;-;-
2002;Januar;Biogas;3303;3146;-;15806
2002;Januar;Biomethan (Bioerdgas);-;-;-;-
2002;Januar;Klärgas;1100;1097;-;5984
2002;Januar;Deponiegas;9254;8804;-;58129
2002;Januar;Sonstige erneuerbare Energien;36879;33864;-;344899
2002;Januar;Klärschlamm;4846;4324;-;49294
2002;Januar;Abfall (Hausmüll, Industrie);279735;204157;-;3575232
2002;Januar;Abfall (Industrie);-;-;-;-
2002;Januar;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2002;Januar;Kernenergie;16215249;15371568;-;-
2002;Januar;Wärme;-;-;-;-
2002;Januar;Strom (Elektrokessel);-;-;-;-
2002;Januar;Sonstige Energieträger;755;755;-;2913
2002;Januar;Andere Speicher;-;-;-;-
2002;Januar;Insgesamt;50637742;47266964;-;43355378
2002;Februar;Steinkohlen;10341956;9510999;-;91669081
2002;Februar;Steinkohlenkoks;-;-;-;-
2002;Februar;Steinkohlenbriketts;-;-;-;-
2002;Februar;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2002;Februar;Sonstige Steinkohlen;-;-;-;-
2002;Februar;Rohbraunkohlen;11998514;11086776;-;116790859
2002;Februar;Hartbraunkohlen;218815;200035;-;2017065
2002;Februar;Braunkohlenbriketts;4945;4255;-;65690
2002;Februar;Braunkohlenkoks;-;-;-;-
2002;Februar;Wirbelschichtkohle;-;-;-;-
2002;Februar;Staub- und Trockenkohle;36223;32417;-;230086
2002;Februar;Sonstige Braunkohlen;8430;7685;-;74914
2002;Februar;Dieselkraftstoff;464;423;-;3826
2002;Februar;Heizöl, leicht;43906;39977;-;435070
2002;Februar;Heizöl, schwer;57672;53181;-;534953
2002;Februar;Flüssiggas;-;-;-;-
2002;Februar;Raffineriegas;-;-;-;-
2002;Februar;Petrolkoks;18777;17035;-;334259
2002;Februar;Sonstige Mineralölprodukte;16508;15017;-;161912
2002;Februar;Erdgas, Erdölgas;3793096;3649874;-;24227754
2002;Februar;Grubengas;2228;2035;-;20633
2002;Februar;Kokereigas;1535;1389;-;16922
2002;Februar;Hochofengas;246424;233423;-;1937273
2002;Februar;Sonstige hergestellte Gase;19473;17939;-;95133
