Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
01.01.20;00:00;1216;344;120;1477;0;50;2024;2320;496;1269;266;335
01.01.20;00:15;1218;340;121;1475;0;49;2021;2326;487;1238;127;335
01.01.20;00:30;1215;339;131;1529;0;49;2021;2334;486;1214;102;336
01.01.20;00:45;1213;338;160;1561;0;49;2020;2337;493;1196;53;335
01.01.20;01:00;1213;344;220;1516;0;49;2023;2352;484;1147;23;335
01.01.20;01:15;1208;339;287;1431;0;49;2022;2356;460;1145;20;335
01.01.20;01:30;1211;338;311;1438;0;49;2023;2355;440;1134;17;334
01.01.20;01:45;1212;338;343;1444;0;49;2022;2356;441;1117;14;329
01.01.20;02:00;1212;355;382;1438;0;49;2024;2364;449;1091;86;329
01.01.20;02:15;1210;342;414;1425;0;49;2023;2351;448;1090;75;332
01.01.20;02:30;1211;344;420;1435;0;49;2020;2350;448;1090;45;332
01.01.20;02:45;1209;344;444;1415;0;49;2017;2361;454;1098;12;332
01.01.20;03:00;1212;358;474;1368;0;50;2021;2373;474;1097;19;330
01.01.20;03:15;1210;342;517;1334;0;50;2019;2374;476;1098;12;332
01.01.20;03:30;1213;342;529;1334;0;50;2018;2373;476;1099;12;332
01.01.20;03:45;1209;339;538;1355;0;50;2016;2378;474;1095;11;335
01.01.20;04:00;1209;339;562;1349;0;50;2019;2387;477;1074;15;334
01.01.20;04:15;1208;332;583;1330;0;50;2019;2383;480;1072;28;336
01.01.20;04:30;1207;331;579;1357;0;50;2018;2393;480;1072;19;336
01.01.20;04:45;1208;331;568;1372;0;50;2018;2388;486;1076;19;336
01.01.20;05:00;1207;331;563;1372;0;50;2018;2372;491;1085;27;336
01.01.20;05:15;1209;331;551;1371;0;50;2017;2365;497;1085;21;336
01.01.20;05:30;1206;331;533;1401;0;50;2018;2370;499;1093;29;336
01.01.20;05:45;1205;332;513;1402;0;50;2018;2361;498;1094;43;335
01.01.20;06:00;1207;335;484;1412;0;50;2019;2363;498;1098;73;335
01.01.20;06:15;1202;334;471;1374;0;50;2018;2350;501;1105;62;337
01.01.20;06:30;1204;335;486;1357;0;50;2018;2326;502;1100;81;336
01.01.20;06:45;1203;335;501;1335;0;50;2021;2300;507;1111;122;337
01.01.20;07:00;1211;335;521;1326;0;50;2024;2302;504;1146;66;336
01.01.20;07:15;1209;337;533;1316;0;50;2025;2309;504;1141;135;334
01.01.20;07:30;1210;333;541;1279;0;50;2021;2320;502;1152;123;336
01.01.20;07:45;1209;329;557;1253;0;50;2023;2392;503;1158;107;337
01.01.20;08:00;1212;329;560;1236;2;50;2024;2440;510;1157;54;337
01.01.20;08:15;1211;328;565;1253;26;50;2025;2453;512;1171;34;336
01.01.20;08:30;1212;331;576;1249;105;50;2025;2452;514;1180;81;336
01.01.20;08:45;1213;334;578;1241;243;50;2024;2457;515;1187;46;336
01.01.20;09:00;1209;340;580;1253;431;50;2024;2472;517;1191;78;330
01.01.20;09:15;1209;333;575;1241;660;50;2026;2485;517;1187;49;332
01.01.20;09:30;1208;332;581;1229;886;50;2025;2501;516;1190;43;335
01.01.20;09:45;1217;334;600;1247;1132;50;2024;2504;517;1193;60;335
01.01.20;10:00;1217;333;626;1213;1366;50;2021;2518;512;1193;27;335
01.01.20;10:15;1213;333;630;1205;1589;50;2020;2533;510;1196;21;332
01.01.20;10:30;1213;350;642;1165;1798;50;2014;2553;513;1188;19;335
01.01.20;10:45;1215;355;642;1139;2018;50;1996;2577;511;1190;34;335
01.01.20;11:00;1218;344;650;1134;2203;50;1985;2563;512;1199;12;335
01.01.20;11:15;1214;351;663;1108;2367;50;1949;2555;510;1200;52;336
01.01.20;11:30;1213;334;694;1105;2517;50;1950;2519;508;1195;38;339
01.01.20;11:45;1208;333;737;1081;2623;50;1933;2534;508;1175;51;337
01.01.20;12:00;1205;350;780;950;2722;50;1912;2586;506;1166;72;336
01.01.20;12:15;1205;337;826;988;2761;50;1921;2579;510;1168;16;336
01.01.20;12:30;1206;341;854;982;2810;50;1931;2581;510;1166;44;336
01.01.20;12:45;1208;341;894;973;2773;50;1919;2577;509;1163;12;335
01.01.20;13:00;1214;360;908;1022;2725;50;1940;2517;504;1149;37;336
01.01.20;13:15;1220;344;909;1038;2618;50;1969;2484;503;1154;40;338
01.01.20;13:30;1218;343;915;1057;2503;50;1997;2510;502;1167;49;336
01.01.20;13:45;1217;344;884;1038;2331;50;2012;2533;500;1177;84;335
01.01.20;14:00;1221;344;856;1016;2138;50;2013;2646;498;1173;161;335
01.01.20;14:15;1224;345;829;1014;1903;50;2019;2680;497;1198;228;336
01.01.20;14:30;1225;350;819;994;1639;50;2022;2704;510;1184;174;337
01.01.20;14:45;1228;348;819;986;1346;50;2022;2723;526;1201;378;335
01.01.20;15:00;1223;342;799;1001;1055;50;2021;2752;543;1177;204;332
01.01.20;15:15;1217;345;750;1030;751;50;2023;2771;549;1214;313;335
01.01.20;15:30;1217;348;715;1073;480;50;2024;2777;560;1214;414;335
01.01.20;15:45;1212;346;704;1102;250;50;2022;2782;555;1244;604;335
01.01.20;16:00;1213;342;697;1189;98;50;2022;2773;523;1307;230;338
01.01.20;16:15;1212;340;719;1305;23;50;2023;2791;532;1312;276;339
01.01.20;16:30;1215;342;766;1393;1;50;2022;2804;544;1309;269;336
01.01.20;16:45;1217;345;796;1475;1;50;2023;2816;547;1319;505;336
01.01.20;17:00;1215;343;839;1561;0;50;2019;2788;544;1323;784;337
01.01.20;17:15;1215;345;900;1621;0;50;2022;2781;547;1324;911;336
01.01.20;17:30;1214;344;985;1689;0;50;2022;2797;551;1326;847;336
