GENESIS-Tabelle: 43411-0001
Nettowärmeerzeugung, Brennstoffeinsatz, -bezug, -bestand:;;;;;
Deutschland, Jahre, Energieträger;;;;;
Erhebung über Erzeugung und Verwendung von Wärme;;;;;
Deutschland;;;;;
;;Nettowärmeerzeugung;Brennstoffeinsatz;Brennstoffbezug;Brennstoffbestand
;;MWh;GJ;GJ;GJ
2002;Steinkohlen;2385392;9910862;45226039;5591479
2002;Steinkohlenkoks;.;.;.;.
2002;Steinkohlenbriketts;0;0;0;0
2002;Kohlenwertstoffe aus Steinkohle;0;0;0;0
2002;Sonstige Steinkohlen;104849;433640;435180;10813
2002;Rohbraunkohlen;.;.;.;.
2002;Hartbraunkohlen;0;0;0;0
2002;Braunkohlenbriketts;.;.;0;0
2002;Braunkohlenkoks;0;0;0;0
2002;Wirbelschichtkohle;.;.;0;0
2002;Staub- und Trockenkohle;191398;757940;758002;3597
2002;Sonstige Braunkohlen;.;.;.;.
2002;Dieselkraftstoff;0;0;.;.
2002;Heizöl, leicht;2009893;9067858;10229947;6135292
2002;Heizöl, schwer;106559;460638;951347;494192
2002;Flüssiggas;6666;25822;0;0
2002;Raffineriegas;0;0;0;0
2002;Petrolkoks;0;0;0;0
2002;Sonstige Mineralölprodukte;0;0;.;.
2002;Erdgas, Erdölgas;21983984;107996696;0;0
2002;Grubengas;236430;2685380;0;0
2002;Kokereigas;.;.;0;0
2002;Hochofengas;0;0;0;0
2002;Sonstige hergestellte Gase;.;.;0;0
2002;Geothermie;.;x;x;x
2002;Solarthermie;0;x;x;x
2002;Feste biogene Stoffe;429412;2507035;0;0
2002;Flüssige biogene Stoffe;867;3768;0;0
2002;Biogas;22804;89824;0;0
2002;Klärgas;.;.;0;0
2002;Deponiegas;5558;26762;0;0
2002;Sonstige erneuerbare Energien;0;0;0;0
2002;Klärschlamm;0;0;0;0
2002;Abfall (Hausmüll, Industrie);662881;3881795;0;0
2002;Abfall (Industrie);0;0;0;0
2002;Abfall (Hausmüll, Siedlungsabfälle);0;0;0;0
2002;Kernenergie;x;x;x;x
2002;Wärme;0;0;0;0
2002;Sonstige Energieträger;587022;2527236;0;0
2003;Steinkohlen;1633616;6686262;2452960;339188
2003;Steinkohlenkoks;.;.;.;.
2003;Steinkohlenbriketts;0;0;0;0
2003;Kohlenwertstoffe aus Steinkohle;0;0;0;0
2003;Sonstige Steinkohlen;94808;394240;394515;10882
2003;Rohbraunkohlen;.;.;.;.
2003;Hartbraunkohlen;0;0;0;0
2003;Braunkohlenbriketts;.;.;0;0
2003;Braunkohlenkoks;0;0;0;0
2003;Wirbelschichtkohle;.;.;0;0
2003;Staub- und Trockenkohle;194351;802212;802447;5980
2003;Sonstige Braunkohlen;0;0;.;.
2003;Dieselkraftstoff;0;0;.;.
2003;Heizöl, leicht;1797158;7814408;8730880;3793208
2003;Heizöl, schwer;57373;276131;203272;84666
2003;Flüssiggas;4867;20774;0;0
2003;Raffineriegas;0;0;0;0
2003;Petrolkoks;0;0;0;0
2003;Sonstige Mineralölprodukte;.;.;.;.
2003;Erdgas, Erdölgas;18686981;111726172;0;0
2003;Grubengas;233573;1116684;0;0
2003;Kokereigas;.;.;0;0
2003;Hochofengas;0;0;0;0
2003;Sonstige hergestellte Gase;.;.;0;0
2003;Geothermie;.;x;x;x
2003;Solarthermie;0;x;x;x
2003;Feste biogene Stoffe;424871;2377670;0;0
2003;Flüssige biogene Stoffe;.;.;0;0
2003;Biogas;.;.;0;0
2003;Klärgas;4217;38389;0;0
2003;Deponiegas;7707;34823;0;0
2003;Sonstige erneuerbare Energien;0;0;0;0
2003;Klärschlamm;.;.;0;0
2003;Abfall (Hausmüll, Industrie);.;.;0;0
2003;Abfall (Industrie);0;0;0;0
2003;Abfall (Hausmüll, Siedlungsabfälle);0;0;0;0
2003;Kernenergie;x;x;x;x
2003;Wärme;0;0;0;0
2003;Sonstige Energieträger;597354;2814561;0;0
2004;Steinkohlen;981003;4951315;4683185;823692
2004;Steinkohlenkoks;.;.;.;.
2004;Steinkohlenbriketts;0;0;0;0
2004;Kohlenwertstoffe aus Steinkohle;0;0;0;0
2004;Sonstige Steinkohlen;406443;1720023;166126;3488
2004;Rohbraunkohlen;.;.;.;.
2004;Hartbraunkohlen;0;0;0;0
2004;Braunkohlenbriketts;0;0;0;0
2004;Braunkohlenkoks;0;0;0;0
2004;Wirbelschichtkohle;.;.;0;0
2004;Staub- und Trockenkohle;193042;796838;812234;6620
2004;Sonstige Braunkohlen;0;0;.;.
2004;Dieselkraftstoff;0;0;.;.
2004;Heizöl, leicht;1572346;6707928;6087773;3447330
2004;Heizöl, schwer;50580;230504;189697;55551
2004;Flüssiggas;4496;18330;0;0
2004;Raffineriegas;0;0;0;0
2004;Petrolkoks;0;0;0;0
2004;Sonstige Mineralölprodukte;0;0;18387;11448
2004;Erdgas, Erdölgas;19036777;87298948;0;0
2004;Grubengas;230027;1110967;0;0
2004;Kokereigas;.;.;0;0
2004;Hochofengas;0;0;0;0
2004;Sonstige hergestellte Gase;.;.;0;0
2004;Geothermie;.;x;x;x
2004;Solarthermie;0;x;x;x
2004;Feste biogene Stoffe;764035;5290061;0;0
2004;Flüssige biogene Stoffe;.;.;0;0
2004;Biogas;.;.;0;0
2004;Klärgas;.;.;0;0
2004;Deponiegas;9697;235639;0;0
2004;Sonstige erneuerbare Energien;0;0;0;0
2004;Klärschlamm;.;.;0;0
2004;Abfall (Hausmüll, Industrie);408491;2329537;0;0
2004;Abfall (Industrie);0;0;0;0
2004;Abfall (Hausmüll, Siedlungsabfälle);0;0;0;0
2004;Kernenergie;x;x;x;x
2004;Wärme;0;0;0;0
2004;Sonstige Energieträger;992811;4215110;0;0
2005;Steinkohlen;706776;3923690;3895836;142747
