Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
01.06.2019;00:00;1.169,5;585,5;898,75;394;0;26,75;1.867;2.429,75;539;990;144,25;242
01.06.2019;00:15;1.170,5;578,25;877,75;415;0;26,75;1.865,25;2.428,5;509;969;142,5;243
01.06.2019;00:30;1.169;560,75;836,75;422,25;0;26,75;1.865,5;2.367;484;978;114,25;242
01.06.2019;00:45;1.174;586,25;816,25;428,75;0;26,75;1.862;2.308,5;468;940;68,5;243
01.06.2019;01:00;1.170;602;798;444,5;0;26,75;1.862,5;2.266,25;473;882;43;242
01.06.2019;01:15;1.163,25;566,25;803,75;466,75;0;26,75;1.862;2.250;468;839;33,75;242
01.06.2019;01:30;1.164,5;559,25;809,75;480,25;0;26,75;1.862,5;2.242;457;833;23,75;242
01.06.2019;01:45;1.167;563,25;796,75;515,5;0;26,75;1.860,5;2.179,5;449;828;25,5;243
01.06.2019;02:00;1.171,75;599,5;805,5;544,25;0;26,75;1.865,25;2.108,75;448;815;25,75;242
01.06.2019;02:15;1.172,25;572,75;809,5;578,5;0;26,75;1.862,75;2.091,25;446;813;25,75;244
01.06.2019;02:30;1.174,75;557,5;816,25;604,75;0;26,75;1.867,25;2.064,5;442;819;25,5;241
01.06.2019;02:45;1.179;558;819,75;647,25;0;26,75;1.869;2.058,75;443;813;25,5;240
01.06.2019;03:00;1.179;565,25;852,25;686,75;0;26,75;1.871,5;2.062,5;444;834;25,75;240
01.06.2019;03:15;1.180;568;880;703,25;0;26,75;1.870,75;2.038,5;442;830;21,25;241
01.06.2019;03:30;1.176;567;906,25;726;0;26,75;1.871,75;2.008;443;833;0,5;244
01.06.2019;03:45;1.177,25;567,25;921,75;775;0;26,75;1.865,25;1.961;445;803;0,5;244
01.06.2019;04:00;1.183,75;579,5;906,5;854;0;26,75;1.863;1.854,25;433;741;0,5;244
01.06.2019;04:15;1.166,25;578,75;913,75;903,75;0;26,75;1.860,75;1.790,25;431;737;0,5;243
01.06.2019;04:30;1.166,75;566;942;946,25;0;26,75;1.861;1.768,25;432;742;0,5;244
01.06.2019;04:45;1.171,5;570,5;973,25;980;1,75;26,75;1.865,5;1.721,25;432;732;0,5;244
01.06.2019;05:00;1.183;579,75;941,25;1.046,75;9,75;26,75;1.865,25;1.713;430;709;0,5;244
01.06.2019;05:15;1.188,5;572,5;920;1.158,5;25;26,75;1.864,5;1.697,25;428;706;0,5;244
01.06.2019;05:30;1.191;571;928;1.211,75;68;26,75;1.862,5;1.663,25;429;706;0,5;242
01.06.2019;05:45;1.199,25;570;977,25;1.278,25;147;26,75;1.858,5;1.673,5;428;697;0,5;244
01.06.2019;06:00;1.192,25;603,75;992,5;1.318,5;254,25;26,75;1.860,75;1.838,75;427;695;0,5;242
01.06.2019;06:15;1.193,5;618,5;972;1.301,25;397;26,75;1.861,25;1.894;431;697;0,5;242
01.06.2019;06:30;1.196,25;607,25;1.010;1.289,75;569,75;26,75;1.861;1.870,75;431;696;0,5;242
