STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       5705;20181101;20181130;    3;  6.37;   5.85;    9.16;    2.85;    2.33;  17.0;  14.9;  -2.7;  72.45;    9;    11.5;    3.2;eor
       5705;20181201;20181231;    3;  7.28;   4.19;    6.65;    1.79;    2.81;  12.4;  21.0;  -4.2;  38.17;    9;    86.1;   23.4;eor
       5705;20190101;20190131;    3;  6.70;   1.05;    3.19;   -1.29;    2.90;   8.2;  19.1;  -8.9;  44.83;    9;    38.5;    7.3;eor
       5705;20190201;20190228;    3;  5.20;   3.99;    9.80;   -0.83;    2.04;  18.4;  20.3;  -4.6; 142.53;    9;     9.8;    3.7;eor
       5705;20190301;20190331;    3;  5.78;   7.65;   12.26;    3.05;-999;  19.8;  30.7;  -2.4; 140.67;    9;    44.3;    9.5;eor
       5705;20190401;20190430;    3;  4.95;  11.20;   17.25;    5.45;    2.63;  26.4;  29.1;  -0.4; 216.23;    9;    27.8;    8.6;eor
       5705;20190501;20190531;    3;  6.03;  11.93;   17.07;    7.00;    2.19;  24.2;  16.5;   0.9; 179.10;    3;    72.0;   23.6;eor
       5705;20190601;20190630;    3;  4.11;  20.73;   27.24;   13.90;    2.20;  36.0;  23.4;   8.0; 296.80;    3;    44.6;   14.6;eor
       5705;20190701;20190731;    3;  5.00;  20.90;   27.21;   14.43;    2.06;  38.6;  14.3;   7.5; 277.05;    3;    25.3;    7.3;eor
       5705;20190801;20190831;    3;  4.93;  20.40;   27.28;   14.35;    2.06;  33.4;  15.1;   9.6; 223.01;    3;    39.2;   16.0;eor
       5705;20190901;20190930;    3;  -999;  15.37;   21.19;    9.75;-999;  28.2;  22.2;   3.5; 195.07;    3;    31.9;   12.6;eor
       5705;20191001;20191031;    3;  6.37;  11.53;   15.92;    7.68;    2.55;  26.9;  19.8;  -1.3; 111.55;    3;    65.9;   11.4;eor
       5705;20191101;20191130;    3;  7.35;   5.65;    8.42;    2.92;    2.33;  16.0;  16.8;  -1.5;  35.28;    3;    37.2;    9.1;eor
       5705;20191201;20191231;    3;  6.21;   3.67;    6.79;    0.80;    2.35;  13.5;  23.3;  -5.0;  80.78;    3;    54.2;   12.2;eor
       5705;20200101;20200131;    1;  6.85;   3.23;    6.10;    0.28;    2.35;  13.6;  29.7;  -5.7;  53.18;    3;    23.2;    7.8;eor
       5705;20200201;20200229;    1;  6.38;   5.72;    9.59;    2.36;    3.62;  16.6;  32.1;  -3.5;  83.43;    3;   106.5;   17.9;eor
       5705;20200301;20200331;    1;  4.84;   6.61;   11.40;    1.79;    3.13;  18.3;  22.3;  -3.3; 182.97;    3;    27.0;    9.4;eor
       5705;20200401;20200430;    1;  2.85;  12.23;   19.55;    4.61;    2.30;  24.9;  18.1;  -4.3; 303.60;    1;    11.0;    3.9;eor
       5705;20200501;20200531;    1;  4.85;  13.54;   19.48;    7.15;    2.35;  25.7;  18.1;   0.0; 268.52;    1;    41.1;   23.6;eor
