date,E_Mio.tonnes_CO2,M_Mio.tonnes_CO2,ECO_Mio.tonnes_CO2
1990,598.31181264324,163.16435597408,349.2589504231608
1991,585.07530819879,166.06991854201,324.29122149087993
1992,551.6570836532201,172.05502378233,306.67965802563367
1993,552.3416054392,176.43051304449003,294.6130335770597
1994,540.81609477855,172.51144981713,294.16164647408715
1995,530.62558958175,176.3446287095,297.76120704045854
1996,550.2284014732,176.10742357151,297.3889013021916
1997,524.63082969622,176.60061530378002,292.6785665251719
1998,518.1233674349301,179.99947657217,272.7532312229653
1999,495.38640292068,185.12736795396998,258.16273125702514
2000,504.67116316084,181.12006905253003,253.81609956545847
2001,529.12323007875,177.23866978386002,250.4416048158305
2002,519.218654632,174.84731483512002,245.24100307748216
2003,532.28436660209,168.43426639145,238.0152544655914
2004,518.07943798899,167.91367570251,238.2847392671639
2005,509.36913371716,159.6720450792,231.42777694678296
2006,512.12815661658,155.44813464084004,242.51634113248744
2007,492.54866603888,152.55013194609,240.89604637306445
2008,490.83637498175,152.34340604504,243.08869332795075
2009,456.67668751917,151.74624134853002,212.4887590394382
2010,475.73187675815996,152.80460409295995,228.42496348202062
2011,457.31824376244003,154.90415993397002,221.85680474597024
2012,471.78608510511,153.40367324612,214.4462895096235
2013,480.89435590794005,157.54784778393997,218.21658849378215
2014,443.29014867464,158.72338637837,214.9790179390159
2015,435.59028426523,161.39846681118,223.61805847628938
2016,433.38953323707,164.73080665064,228.09691330469664
2017,417.50573744974,166.68534105073,238.27820482882748
2018,401.13065620073473,169.101891776726,240.61009501925187
2019,387.46287096533695,171.53013245731108,245.93420782282917
2020,373.79508572993905,173.95837313789616,251.2583206264065
