Hauptitel:;Entwicklung und Zielerreichung der Treibhausgas-Emissionen in Deutschland ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Untertitel:;in der Abgrenzung der Sektoren des Klimaschutzplans 2050*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quelle:;Umweltbundesamt 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quelle: Umweltbundesamt 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quelle: Umweltbundesamt 2020
Fußnote:;* Die Aufteilung der Emissionen weicht von der UN-Berichterstattung ab, die Gesamtemissionen sind identisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Achsenbezeichnung 1:;Millionen Tonnen Kohlendioxid-Äquivalente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Achsenbezeichnung 2:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sektor des Klimaschutzplanes 2050;;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 - Energiewirtschaft;Inventar;466,2;451,0;426,2;416,4;410,6;399,9;406,1;384,6;384,6;374,0;385,3;396,3;396,5;408,9;403,7;396,9;397,2;402,9;382,6;356,4;368,1;365,8;376,7;379,5;359,3;347,3;343,6;322,5;305,1;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2 - Industrie;Inventar;283,5;258,4;248,1;238,4;242,5;244,2;233,0;237,3;219,1;208,5;207,9;197,3;195,0;195,7;197,4;191,0;196,0;205,0;201,5;175,9;188,2;185,1;179,4;179,9;179,6;187,2;191,5;197,7;194,9;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3 - Gebäude;Inventar;209,7;208,3;190,3;197,1;186,4;187,9;211,1;197,8;189,7;173,0;167,0;187,3;174,3;166,9;156,3;153,9;162,3;126,0;151,7;139,0;148,6;128,3;130,6;140,0;119,2;124,5;125,2;123,4;116,6;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4 - Verkehr;Inventar;163,9;166,8;172,7;177,0;173,0;176,7;176,4;176,8;180,2;185,3;181,2;177,4;174,9;168,5;168,1;160,0;156,0;153,1;152,8;152,1;153,2;155,3;153,8;158,0;159,2;161,8;165,2;167,9;162,3;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5 - Landwirtschaft;Inventar;89,9;80,2;76,6;76,2;74,3;76,0;77,4;75,2;75,0;75,6;74,7;74,7;72,2;70,9;70,6;70,1;69,6;68,5;71,1;70,1;69,6;71,1;70,5;72,0;73,4;74,3;72,9;72,6;69,8;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6 - Abfallwirtschaft und Sonstiges;Inventar;38,3;39,7;40,3;40,1;39,3;38,3;36,8;33,9;31,7;30,1;28,5;26,9;25,5;24,0;22,7;21,3;19,5;18,2;16,9;15,7;14,6;13,8;13,0;12,3;11,7;11,2;10,7;10,2;9,7;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MEMO: LULUCF;Inventar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 - Energiewirtschaft;Zielpfad;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;280,0;#NV;257,0;#NV;#NV;#NV;#NV;#NV;#NV;#NV;175,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2 - Industrie;Zielpfad;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;186,0;182,0;177,0;172,0;168,0;163,0;158,0;154,0;149,0;145,0;140,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3 - Gebäude;Zielpfad;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV;118,0;113,0;108,0;103,0;99,0;94,0;89,0;84,0;80,0;75,0;70,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
