date,M_AviationTotalStartsAndLandings
2011-01,157923.0
2011-02,156000.0
2011-03,181547.0
2011-04,178565.0
2011-05,198289.0
2011-06,188197.0
2011-07,194974.0
2011-08,191109.0
2011-09,200929.0
2011-10,196301.0
2011-11,172280.0
2011-12,155344.0
2012-01,154114.0
2012-02,151588.0
2012-03,178499.0
2012-04,174834.0
2012-05,192539.0
2012-06,191354.0
2012-07,193152.0
2012-08,189608.0
2012-09,191492.0
2012-10,192807.0
2012-11,163413.0
2012-12,141709.0
2013-01,140899.0
2013-02,138224.0
2013-03,160415.0
2013-04,172362.0
2013-05,184830.0
2013-06,188604.0
2013-07,193017.0
2013-08,182618.0
2013-09,186989.0
2013-10,185718.0
2013-11,156338.0
2013-12,139019.0
2014-01,141744.0
2014-02,141023.0
2014-03,161396.0
2014-04,162717.0
2014-05,182752.0
2014-06,183070.0
2014-07,187965.0
2014-08,182412.0
2014-09,187918.0
2014-10,184115.0
2014-11,157908.0
2014-12,140415.0
2015-01,140729.0
2015-02,138481.0
2015-03,162505.0
2015-04,168758.0
2015-05,182052.0
2015-06,185531.0
2015-07,188627.0
2015-08,184084.0
2015-09,188266.0
2015-10,187890.0
2015-11,154428.0
2015-12,146616.0
2016-01,143005.0
2016-02,146542.0
2016-03,164522.0
2016-04,173407.0
2016-05,186306.0
2016-06,188990.0
2016-07,194900.0
2016-08,191483.0
2016-09,196081.0
2016-10,190583.0
2016-11,157896.0
2016-12,152787.0
2017-01,150281.0
2017-02,145887.0
2017-03,171326.0
2017-04,173167.0
2017-05,192561.0
2017-06,192110.0
2017-07,198325.0
2017-08,196290.0
2017-09,197592.0
2017-10,193176.0
2017-11,157422.0
2017-12,143532.0
2018-01,150982.0
2018-02,149813.0
2018-03,171381.0
2018-04,179309.0
2018-05,193796.0
2018-06,195370.0
2018-07,205461.0
2018-08,202672.0
2018-09,204327.0
2018-10,207089.0
2018-11,175364.0
2018-12,162194.0
2019-01,160648.0
2019-02,157244.0
2019-03,175767.0
2019-04,183427.0
2019-05,198221.0
2019-06,197447.0
2019-07,204639.0
2019-08,200836.0
2019-09,203352.0
2019-10,202578.0
2019-11,162937.0
2019-12,156619.0
2020-01,155349.0
2020-02,150192.0
2020-03,98359.0
2020-04,20700.0
2020-05,26695.0
2020-06,29596.185167976317
2020-07,
2020-08,
2020-09,
2020-10,
2020-11,
2020-12,
