date,M_AviationTotalStarts,M_AviationTotalPassengernumberStarts,M_AviationTotalWeightFreightsStarts,M_AviationTotalLandings,M_AviationTotalPassengernumberLandings,M_AviationTotalWeightFreightsLandings
2011-01,79066.0,6317075.0,176163.0,78857.0,6523942.0,159196.0
2011-02,78053.0,6303610.0,180418.0,77947.0,6224288.0,153864.0
2011-03,90877.0,7635646.0,215025.0,90670.0,7660859.0,190811.0
2011-04,89391.0,8152304.0,196314.0,89174.0,8034473.0,179021.0
2011-05,99138.0,9116089.0,205834.0,99151.0,9045227.0,182429.0
2011-06,94175.0,9163992.0,192474.0,94022.0,9078427.0,172077.0
2011-07,97495.0,10152834.0,203045.0,97479.0,9590249.0,175025.0
2011-08,95543.0,9456974.0,185530.0,95566.0,9568940.0,163835.0
2011-09,100383.0,9615704.0,193433.0,100546.0,9981577.0,173576.0
2011-10,98088.0,9322018.0,202033.0,98213.0,9648513.0,178389.0
2011-11,86033.0,7339992.0,196797.0,86247.0,7753619.0,175923.0
2011-12,77580.0,7000250.0,194253.0,77764.0,6938514.0,168234.0
2012-01,77119.0,6457080.0,163985.0,76995.0,6647581.0,148354.0
2012-02,75792.0,6437701.0,181556.0,75796.0,6330295.0,153594.0
2012-03,89279.0,7977530.0,201841.0,89220.0,7817671.0,183558.0
2012-04,87443.0,8152073.0,184190.0,87391.0,8317014.0,166776.0
2012-05,96320.0,9242185.0,192929.0,96219.0,8946079.0,168999.0
2012-06,95755.0,9386589.0,198840.0,95599.0,9413731.0,167010.0
2012-07,96613.0,10359035.0,201932.0,96539.0,9780851.0,166583.0
2012-08,94801.0,9666757.0,189590.0,94807.0,9914958.0,163399.0
2012-09,95776.0,9725655.0,195415.0,95716.0,10020889.0,172108.0
2012-10,96304.0,9423748.0,201864.0,96503.0,9811052.0,174387.0
2012-11,81629.0,7216753.0,203397.0,81784.0,7610018.0,183495.0
2012-12,70817.0,6730211.0,186853.0,70892.0,6636541.0,166781.0
2013-01,70449.0,6165292.0,169570.0,70450.0,6370831.0,155131.0
2013-02,69075.0,6259454.0,171032.0,69149.0,6135567.0,149963.0
2013-03,80177.0,7925486.0,209008.0,80238.0,7686461.0,181580.0
2013-04,86461.0,8143413.0,190423.0,85901.0,8373285.0,167119.0
2013-05,92480.0,9353927.0,190047.0,92350.0,9104166.0,166600.0
2013-06,94321.0,9587850.0,200802.0,94283.0,9624806.0,169729.0
2013-07,96506.0,10365657.0,196852.0,96511.0,9844554.0,170123.0
2013-08,91299.0,9933620.0,183126.0,91319.0,10069437.0,162725.0
2013-09,93415.0,9927733.0,190747.0,93574.0,10242123.0,169715.0
2013-10,92606.0,9624282.0,204897.0,93112.0,10018934.0,176699.0
2013-11,78080.0,7271698.0,207427.0,78258.0,7677198.0,183819.0
2013-12,69523.0,6886254.0,190721.0,69496.0,6742126.0,170390.0
2014-01,70970.0,6355387.0,173465.0,70774.0,6596543.0,163828.0
2014-02,70556.0,6482731.0,177088.0,70467.0,6309925.0,148269.0
2014-03,80741.0,7695050.0,212208.0,80655.0,7805395.0,190029.0
2014-04,81439.0,8453487.0,185171.0,81278.0,8318464.0,172241.0
2014-05,91398.0,9503657.0,199191.0,91354.0,9369997.0,178101.0
2014-06,91543.0,9727182.0,189315.0,91527.0,9991936.0,173513.0
2014-07,94103.0,10654880.0,200743.0,93862.0,9785455.0,178585.0
2014-08,91145.0,10565014.0,188859.0,91267.0,10599774.0,169835.0
2014-09,93896.0,10256334.0,192443.0,94022.0,10799403.0,176994.0
2014-10,91912.0,9876109.0,206744.0,92203.0,10247083.0,184733.0
2014-11,78858.0,7606464.0,210992.0,79050.0,8031022.0,195535.0
2014-12,70162.0,7139522.0,195009.0,70253.0,6961045.0,176304.0
2015-01,70425.0,6499627.0,175615.0,70304.0,6789766.0,164153.0
2015-02,69259.0,6682322.0,179236.0,69222.0,6532735.0,159963.0
2015-03,81361.0,8265004.0,212119.0,81144.0,8050776.0,178031.0
2015-04,84351.0,8656891.0,193670.0,84407.0,8934307.0,171193.0
2015-05,91094.0,10136272.0,193864.0,90958.0,9801196.0,175306.0
2015-06,92830.0,10091739.0,196100.0,92701.0,10305047.0,171852.0
2015-07,94408.0,11183474.0,198126.0,94219.0,10428304.0,175932.0
2015-08,92010.0,10943521.0,184229.0,92074.0,11098531.0,164837.0
2015-09,94047.0,10430586.0,189968.0,94219.0,10975429.0,174176.0
2015-10,93775.0,10395950.0,205836.0,94115.0,10748918.0,184916.0
2015-11,77189.0,7495717.0,208144.0,77239.0,7884409.0,190755.0
2015-12,73288.0,7421781.0,203358.0,73328.0,7196953.0,180484.0
2016-01,71576.0,6770970.0,177628.0,71429.0,7095432.0,165047.0
2016-02,73318.0,7164738.0,182192.0,73224.0,7007052.0,157642.0
2016-03,82287.0,8637408.0,206779.0,82235.0,8428331.0,185736.0
2016-04,86724.0,8800205.0,199953.0,86683.0,9032629.0,181818.0
2016-05,93267.0,10073732.0,191825.0,93039.0,10020954.0,179969.0
2016-06,94523.0,10394582.0,202694.0,94467.0,10305417.0,180297.0
2016-07,97574.0,11615314.0,199569.0,97326.0,10853729.0,179094.0
2016-08,95717.0,10913008.0,194219.0,95766.0,11171411.0,169731.0
2016-09,97995.0,11103824.0,202887.0,98086.0,11423666.0,182791.0
2016-10,94977.0,10632353.0,217008.0,95606.0,11179713.0,193350.0
2016-11,78868.0,7784740.0,218659.0,79028.0,8165841.0,197308.0
2016-12,76410.0,8010747.0,219354.0,76377.0,7800523.0,194303.0
2017-01,75194.0,7265288.0,190100.0,75087.0,7585493.0,179504.0
2017-02,72952.0,7392116.0,190027.0,72935.0,7207239.0,162993.0
2017-03,85649.0,8807684.0,230827.0,85677.0,8876928.0,205928.0
2017-04,86595.0,9952170.0,202020.0,86572.0,9918900.0,186852.0
2017-05,96318.0,10695230.0,214511.0,96243.0,10652368.0,194061.0
2017-06,96070.0,11044250.0,213713.0,96040.0,10984479.0,194687.0
2017-07,99269.0,12286687.0,218799.0,99056.0,11575492.0,193455.0
2017-08,98062.0,11553510.0,212622.0,98228.0,11863042.0,186462.0
2017-09,98768.0,11591282.0,217214.0,98824.0,11900515.0,195219.0
2017-10,96527.0,11006645.0,224874.0,96649.0,11297744.0,202981.0
2017-11,78624.0,8081086.0,235102.0,78798.0,8824099.0,215386.0
2017-12,71735.0,7946930.0,222573.0,71797.0,7730014.0,201649.0
2018-01,75537.0,7303471.0,205380.0,75445.0,7661023.0,186623.0
2018-02,74951.0,7552810.0,195460.0,74862.0,7378983.0,177707.0
