date,M_BAST_Bavaria_AverTotalVehicPerCountingStation
2003-01,1175457.5526315789
2003-02,1161299.0394736843
2003-03,1350964.8684210526
2003-04,1359518.5723684211
2003-05,1385194.5131578948
2003-06,1423644.2631578948
2003-07,1568292.9078947369
2003-08,1596508.9276315789
2003-09,1470879.8815789474
2003-10,1452011.230263158
2003-11,1261458.3486842106
2003-12,1223552.2236842106
2004-01,1009552.2614678899
2004-02,1068870.4816513762
2004-03,1178230.7431192661
2004-04,1189810.7844036696
2004-05,1208470.6513761468
2004-06,1189454.389908257
2004-07,1352770.1972477064
2004-08,1332332.5366972478
2004-09,1262453.4816513762
2004-10,1242188.6467889908
2004-11,1087820.619266055
2004-12,1083786.3211009174
2005-01,1028929.7268518518
2005-02,976702.1157407408
2005-03,1168831.287037037
2005-04,1147230.9490740742
2005-05,1199647.5740740742
2005-06,1197152.7037037036
2005-07,1343456.0416666667
2005-08,1308559.7777777778
2005-09,1234053.351851852
2005-10,1213012.861111111
2005-11,1060459.0972222222
2005-12,1037593.949074074
2006-01,1089691.193832599
2006-02,1067299.9030837005
2006-03,1206815.4052863435
2006-04,1199563.8237885463
2006-05,1278204.7136563878
2006-06,1269452.4889867841
2006-07,1414989.140969163
2006-08,1382764.563876652
2006-09,1351835.9427312776
2006-10,1326249.3259911893
2006-11,1176976.6123348018
2006-12,1162057.4008810574
2007-01,1140346.6396396395
2007-02,1142078.936936937
2007-03,1311778.9009009008
2007-04,1283108.2387387387
2007-05,1310117.3153153153
2007-06,1320159.063063063
2007-07,1480415.4414414414
2007-08,1445188.6531531531
2007-09,1364128.0045045046
2007-10,1371373.5495495496
2007-11,1184064.5045045046
2007-12,1144770.4054054054
2008-01,1184075.650793651
2008-02,1214231.1706349207
2008-03,1283999.6904761905
2008-04,1241249.007936508
2008-05,1286785.369047619
2008-06,1280850.6785714286
2008-07,1439101.3373015872
2008-08,1395603.2142857143
2008-09,1329525.119047619
2008-10,1345979.5317460317
2008-11,1161728.9206349207
2008-12,1144506.7261904762
2009-01,1119393.0470588235
2009-02,1087346.0392156863
2009-03,1245121.6274509805
2009-04,1263332.517647059
2009-05,1291460.8274509804
2009-06,1270155.8509803922
2009-07,1476044.1490196078
2009-08,1428849.843137255
2009-09,1355215.388235294
2009-10,1345748.5294117648
2009-11,1189714.0705882353
2009-12,1163119.780392157
2010-01,1055651.8973384032
2010-02,1085793.2623574145
2010-03,1266928.6539923954
2010-04,1261404.4486692015
2010-05,1270580.9505703421
2010-06,1275703.3992395438
2010-07,1457622.9163498098
2010-08,1425434.19391635
2010-09,1367472.6159695818
2010-10,1355962.19391635
2010-11,1200190.5095057033
2010-12,1084757.7756653992
2011-01,1138780.4656488548
2011-02,1149259.8740458016
2011-03,1300160.4923664122
2011-04,1265393.2671755725
2011-05,1325063.6183206106
2011-06,1308855.141221374
2011-07,1489684.9541984734
2011-08,1443708.4503816795
2011-09,1402423.0229007634
2011-10,1362013.3396946564
2011-11,1228478.8396946564
2011-12,1188624.0992366413
2012-01,1174194.8769230768
2012-02,1167271.1923076923
2012-03,1333100.75
2012-04,1263510.1076923078
2012-05,1346457.35
2012-06,1318765.8076923077
2012-07,1505872.6538461538
2012-08,1457258.1923076923
2012-09,1390514.7923076923
2012-10,1371240.8307692308
2012-11,1219710.8153846154
2012-12,1135797.8807692307
2013-01,1159600.9179104478
2013-02,1114068.8917910447
2013-03,1285671.6828358208
2013-04,1279515.115671642
2013-05,1306805.473880597
2013-06,1323729.2164179105
2013-07,1514025.276119403
2013-08,1470822.369402985
2013-09,1383009.9888059702
2013-10,1385605.958955224
2013-11,1209109.1753731344
2013-12,1179156.8208955224
2014-01,1280198.3151862465
2014-02,1267192.0716332379
2014-03,1425919.699140401
2014-04,1411213.7363896847
2014-05,1422661.340974212
2014-06,1436761.753581662
2014-07,1599519.977077364
2014-08,1604001.2378223496
2014-09,1494074.9512893984
2014-10,1524036.5100286533
2014-11,1338681.687679083
2014-12,1288855.9140401145
2015-01,1270896.365625
2015-02,1273757.303125
2015-03,1449682.978125
2015-04,1429909.1
2015-05,1476973.1375
2015-06,1480850.05
2015-07,1664866.23125
2015-08,1645000.625
2015-09,1530644.828125
2015-10,1526887.83125
2015-11,1369459.490625
2015-12,1352475.075
2016-01,1297967.9630872484
2016-02,1380041.1946308725
2016-03,1527548.768456376
2016-04,1469893.3926174496
2016-05,1524091.6073825504
2016-06,1511422.5369127516
2016-07,1708195.9597315437
2016-08,1670453.9530201342
2016-09,1589964.956375839
2016-10,1553978.4161073826
2016-11,1399478.7919463087
2016-12,1401818.6510067114
2017-01,1353240.9964028776
2017-02,1386153.9388489209
2017-03,1593010.9712230216
2017-04,1526630.2769784173
2017-05,1587502.417266187
2017-06,1591320.5683453237
2017-07,1786858.597122302
2017-08,1735435.2877697842
2017-09,1640095.571942446
2017-10,1589860.856115108
2017-11,1448073.309352518
2017-12,1417097.4424460432
2018-01,1416338.913580247
2018-02,1359230.5473251028
2018-03,1567746.962962963
2018-04,1515250.534979424
2018-05,1569978.1893004116
2018-06,1581653.0411522633
2018-07,1771435.8683127572
2018-08,1706155.9218106996
2018-09,1621461.4773662551
2018-10,1616024.7242798354
2018-11,1440352.5637860082
2018-12,1385320.502057613
