date,M_BAST_Bavaria_AverTotalVehicPerCountingStation_SV
2003-01,219084.5855263158
2003-02,219039.27631578947
2003-03,242614.81578947368
2003-04,243873.0197368421
2003-05,246839.86184210525
2003-06,239489.2105263158
2003-07,269021.44736842107
2003-08,225326.36184210525
2003-09,266624.38157894736
2003-10,272135.8947368421
2003-11,244871.1447368421
2003-12,214986.88815789475
2004-01,172865.04587155965
2004-02,182149.00917431194
2004-03,218061.39449541285
2004-04,203289.6880733945
2004-05,201835.5366972477
2004-06,216215.29357798165
2004-07,219886.28899082568
2004-08,196884.2247706422
2004-09,225318.28440366974
2004-10,212835.4633027523
2004-11,206828.93119266056
2004-12,183837.20183486238
2005-01,183009.34722222222
2005-02,191349.78703703705
2005-03,213420.4537037037
2005-04,223056.99537037036
2005-05,212887.6712962963
2005-06,234826.64814814815
2005-07,225054.8287037037
2005-08,217457.24537037036
2005-09,239910.07407407407
2005-10,227987.33333333334
2005-11,226228.3148148148
2005-12,199035.4537037037
2006-01,222321.84581497798
2006-02,226434.16740088107
2006-03,268307.7004405286
2006-04,238018.5550660793
2006-05,274466.12334801763
2006-06,263508.85022026434
2006-07,268681.5022026432
2006-08,255411.22907488988
2006-09,276332.5286343612
2006-10,277691.6431718062
2006-11,273608.50660792954
2006-12,228702.49779735683
2007-01,249180.76018099548
2007-02,245971.4253393665
2007-03,289296.00904977374
2007-04,261434.28054298644
2007-05,280232.8461538461
2007-06,280544.036199095
2007-07,289927.7511312217
2007-08,266311.7194570136
2007-09,279843.07692307694
2007-10,304004.07239819004
2007-11,285981.01809954754
2007-12,226131.35746606335
2008-01,274695.99206349207
2008-02,277708.4365079365
2008-03,277161.4880952381
2008-04,305547.5595238095
2008-05,280469.7619047619
2008-06,293940.44444444444
2008-07,307198.47222222225
2008-08,251806.79761904763
2008-09,301775.79761904763
2008-10,300722.4365079365
2008-11,262453.9166666667
2008-12,222250.0873015873
2009-01,224259.72549019608
2009-02,225563.7568627451
2009-03,257720.56470588237
2009-04,247600.72156862746
2009-05,246895.3843137255
2009-06,252710.82352941178
2009-07,274214.9254901961
2009-08,232906.32941176472
2009-09,275150.8784313726
2009-10,277198.50980392157
2009-11,256313.7725490196
2009-12,223545.46666666667
2010-01,212489.34600760456
2010-02,227718.20532319392
2010-03,279374.9163498099
2010-04,259517.5019011407
2010-05,256796.608365019
2010-06,275669.70342205325
2010-07,280682.2053231939
2010-08,253198.3536121673
2010-09,286661.9315589354
2010-10,280855.01901140687
2010-11,273790.51711026614
2010-12,236918.94676806085
2011-01,234168.25190839695
2011-02,247953.30916030533
2011-03,290902.35496183205
2011-04,261947.23282442748
2011-05,293772.1145038168
2011-06,264779.19847328245
2011-07,278931.62213740457
2011-08,268367.9694656489
2011-09,289616.0572519084
2011-10,279188.2251908397
2011-11,279803.41221374046
2011-12,237005.90076335878
2012-01,246835.8576923077
2012-02,254057.52692307692
2012-03,291678.51153846155
2012-04,261396.3576923077
2012-05,283155.5153846154
2012-06,278730.7730769231
2012-07,290846.0307692308
2012-08,270395.01923076925
2012-09,278595.65769230766
2012-10,298401.9192307692
2012-11,275720.1307692308
2012-12,215486.11538461538
2013-01,250801.08208955225
2013-02,240960.44776119402
2013-03,264899.33208955225
2013-04,282510.0186567164
2013-05,267663.62313432834
2013-06,278383.85447761195
2013-07,303709.25373134325
2013-08,263671.25
2013-09,288505.2798507463
2013-10,303804.4029850746
2013-11,278564.05970149254
2013-12,227166.80970149254
2014-01,259429.2005730659
2014-02,260387.65042979943
2014-03,288566.1203438395
2014-04,286015.5071633238
2014-05,287807.90257879655
2014-06,279683.7736389685
2014-07,313749.9226361032
2014-08,259803.38395415473
2014-09,303719.61604584527
2014-10,307966.58166189113
2014-11,278543.63323782233
2014-12,240799.83667621776
2015-01,252296.721875
2015-02,259339.290625
2015-03,302803.553125
2015-04,287535.34375
2015-05,280125.421875
2015-06,306785.340625
2015-07,321249.571875
2015-08,276484.159375
2015-09,314598.0125
2015-10,316093.859375
2015-11,299574.359375
2015-12,254531.3875
2016-01,248689.3456375839
2016-02,278177.5268456376
2016-03,299282.5134228188
2016-04,305976.0100671141
2016-05,286858.85906040267
2016-06,313727.0302013423
2016-07,295676.74496644293
2016-08,288768.1510067114
2016-09,311596.44295302016
2016-10,300253.677852349
2016-11,305925.1476510067
2016-12,258487.21476510068
2017-01,256250.57194244605
2017-02,265049.0
2017-03,316403.87769784173
2017-04,271564.5323741007
2017-05,308018.8345323741
2017-06,295675.8201438849
2017-07,297513.86330935254
2017-08,289108.1330935252
2017-09,306908.654676259
2017-10,298427.3669064748
2017-11,311908.20503597124
2017-12,249401.6330935252
2018-01,277341.6913580247
2018-02,268067.1646090535
2018-03,301186.0905349794
2018-04,288809.7242798354
2018-05,291614.11522633745
2018-06,306925.037037037
2018-07,304789.7037037037
2018-08,284034.6172839506
2018-09,293519.8765432099
2018-10,319920.8559670782
2018-11,301824.5267489712
2018-12,234750.19753086418
