date,M_BAST_AverTotalVehicPerCountingStation
2003-01,924984.4327233585
2003-02,905758.2755651238
2003-03,1043930.9149623251
2003-04,1059928.011840689
2003-05,1088547.045209903
2003-06,1083153.0086114102
2003-07,1164428.81270183
2003-08,1142248.8719052745
2003-09,1108261.256189451
2003-10,1115797.2303552206
2003-11,1015765.5199138859
2003-12,963621.5941872982
2004-01,843340.4628469114
2004-02,863389.1074306177
2004-03,980886.9722470904
2004-04,978931.7045658013
2004-05,999637.5908683975
2004-06,988768.2649955237
2004-07,1064972.0716204117
2004-08,1042089.3133393017
2004-09,1019462.3133393017
2004-10,1024612.4109221128
2004-11,931178.4198746643
2004-12,913039.3706356311
2005-01,829815.4289383561
2005-02,778770.2739726028
2005-03,921169.1772260274
2005-04,933991.9674657534
2005-05,960178.3527397261
2005-06,957771.363869863
2005-07,1008935.8261986302
2005-08,999050.8047945206
2005-09,957990.9032534247
2005-10,955882.7953767123
2005-11,874275.2123287672
2005-12,845910.381849315
2006-01,870110.5275720165
2006-02,832546.4995884773
2006-03,961280.0609053498
2006-04,953317.0765432098
2006-05,1015657.4115226337
2006-06,998379.2156378601
2006-07,1050665.9761316872
2006-08,1064704.301234568
2006-09,1039275.7596707819
2006-10,1032540.633744856
2006-11,953676.4411522633
2006-12,925106.6839506173
2007-01,895788.4133114215
2007-02,864418.0566967954
2007-03,1012914.7945768283
2007-04,990394.6031224323
2007-05,1023108.4872637633
2007-06,1017943.7436318817
2007-07,1084310.7181594083
2007-08,1098691.7962202136
2007-09,1034631.0698438784
2007-10,1058787.0221857026
2007-11,952964.905505341
2007-12,895391.4281018899
2008-01,929244.1562986003
2008-02,937268.8623639192
2008-03,994666.867807154
2008-04,1011066.2877138414
2008-05,1034205.399688958
2008-06,1017368.5489891135
2008-07,1081130.5139968896
2008-08,1080532.2884914463
2008-09,1042052.0567651633
2008-10,1060044.430015552
2008-11,942784.7247278383
2008-12,916635.5653188181
2009-01,880029.2230710466
2009-02,862689.2765469825
2009-03,1006339.9770817418
2009-04,1023362.192513369
2009-05,1045473.0878533232
2009-06,1029309.2841864019
2009-07,1123685.8731856379
2009-08,1109549.6012223072
2009-09,1070446.8808250574
2009-10,1076983.5828877005
2009-11,974809.1237585944
2009-12,932978.1970970206
2010-01,836439.3458083832
2010-02,850836.6893712574
2010-03,1030297.752245509
2010-04,1032143.7717065868
2010-05,1048980.4633233533
2010-06,1046050.6631736527
2010-07,1126612.7342814372
2010-08,1119509.7208083833
2010-09,1083731.995508982
2010-10,1092735.8263473054
2010-11,991814.4543413174
2010-12,858661.7020958083
2011-01,898487.8166189112
2011-02,895101.4484240687
2011-03,1029912.3889684813
2011-04,1019625.1160458453
2011-05,1071879.706303725
2011-06,1038524.9140401146
2011-07,1121471.4276504298
2011-08,1113455.3904011461
2011-09,1088771.2872492836
2011-10,1072131.2342406877
2011-11,995970.0458452723
2011-12,952015.9233524356
2012-01,921943.5164220824
2012-02,896885.8280922432
2012-03,1039779.8259958071
2012-04,995617.391334731
2012-05,1058131.9916142558
2012-06,1033943.6631726066
2012-07,1109958.8008385745
2012-08,1114907.178197065
2012-09,1062450.0230607965
2012-10,1067910.1900768692
2012-11,983452.8015373865
2012-12,891878.7009084556
2013-01,887739.1247280638
2013-02,849111.8448150834
2013-03,979490.215373459
2013-04,1008478.8121827411
2013-05,1036076.2762871647
2013-06,1038729.2828136331
2013-07,1125826.8042059464
2013-08,1110911.475707034
2013-09,1057848.187817259
2013-10,1072050.7947788252
2013-11,974453.0340826686
2013-12,923450.2189992749
2014-01,994042.0446144041
2014-02,971450.9560229445
2014-03,1103411.5200764819
2014-04,1104784.0114722752
2014-05,1122739.6188655195
2014-06,1117978.2192479286
2014-07,1199078.7061822817
2014-08,1200726.326959847
2014-09,1152780.7112810707
2014-10,1181911.572976418
2014-11,1064862.319949012
2014-12,1009783.6800509879
2015-01,971085.0872093023
2015-02,954865.2764857882
2015-03,1106498.1724806202
2015-04,1104127.0762273902
2015-05,1139469.1188630492
2015-06,1134088.8908268735
2015-07,1212007.3565891474
2015-08,1202270.1130490955
2015-09,1153202.0012919896
2015-10,1170008.9198966408
2015-11,1068766.8947028425
2015-12,1043793.3559431524
2016-01,983398.4329758713
2016-02,1026772.2882037533
2016-03,1138260.0656836461
2016-04,1130517.1253351206
2016-05,1164919.7285522788
2016-06,1152717.2352546917
2016-07,1236437.2131367293
2016-08,1233394.3585790885
2016-09,1193690.376005362
2016-10,1171945.3404825737
2016-11,1086485.5040214476
2016-12,1069950.2808310993
2017-01,987832.5824561403
2017-02,982337.0940350877
2017-03,1156914.3403508773
2017-04,1119563.352982456
2017-05,1169998.550877193
2017-06,1157309.4308771929
2017-07,1229691.867368421
2017-08,1235179.4028070176
2017-09,1179233.769122807
2017-10,1154212.9929824562
2017-11,1084470.7557894737
2017-12,1035021.8084210526
2018-01,1133155.3739782015
2018-02,1070296.1307901908
2018-03,1234301.848773842
2018-04,1235798.9155313352
2018-05,1269189.4747956402
2018-06,1260469.4979564033
2018-07,1325251.5272479565
2018-08,1337184.2111716622
2018-09,1271488.8623978202
2018-10,1290018.96866485
2018-11,1191060.2207084468
2018-12,1119677.4489100818
