date,M_BAST_AverTotalVehicPerCountingStation
2003-01,147258.0698924731
2003-02,145590.65161290322
2003-03,162096.79139784948
2003-04,163423.13225806452
2003-05,163692.50322580646
2003-06,159913.71612903225
2003-07,178377.98602150538
2003-08,153679.4440860215
2003-09,175340.17956989247
2003-10,178697.01720430108
2003-11,161517.73440860215
2003-12,141736.2752688172
2004-01,136110.8952551477
2004-02,140332.2533572068
2004-03,168723.3097582811
2004-04,157356.96508504925
2004-05,154692.2139659803
2004-06,168267.31423455686
2004-07,166769.97314234558
2004-08,155443.40555058193
2004-09,171159.49776186212
2004-10,165774.5138764548
2004-11,162629.52014324084
2004-12,144642.4503133393
2005-01,133395.42857142858
2005-02,135855.99059024808
2005-03,152824.35757057313
2005-04,160231.7117194183
2005-05,153640.2249786142
2005-06,167650.35072711718
2005-07,158136.02737382377
2005-08,158314.09409751924
2005-09,168465.8477331052
2005-10,160883.67750213857
2005-11,162986.94525235245
2005-12,143133.0367835757
2006-01,152452.07160493828
2006-02,150929.75226337448
2006-03,180502.41975308643
2006-04,160736.56790123458
2006-05,185332.0732510288
2006-06,178088.08477366256
2006-07,178034.4534979424
2006-08,178748.3366255144
2006-09,184383.70781893004
2006-10,185204.73251028807
2006-11,184358.96872427984
2006-12,153182.80164609055
2007-01,171560.19325657896
2007-02,165953.4884868421
2007-03,195424.49013157896
2007-04,176867.48519736843
2007-05,190234.29194078947
2007-06,190889.25328947368
2007-07,194383.55674342104
2007-08,188905.4728618421
2007-09,188284.28042763157
2007-10,204054.99013157896
2007-11,193802.30345394736
2007-12,151754.73766447368
2008-01,189382.9463452566
2008-02,189306.4525660964
2008-03,187943.53265940901
2008-04,210220.67807153965
2008-05,194646.74105754276
2008-06,201758.85458786937
2008-07,207824.10964230172
2008-08,181148.10497667186
2008-09,206547.8367029549
2008-10,205642.62130637636
2008-11,180861.2395023328
2008-12,154198.70062208397
2009-01,160369.12987012987
2009-02,160623.36058059588
2009-03,184527.54392666157
2009-04,178066.88617265088
2009-05,175495.77769289535
2009-06,182563.3269671505
2009-07,193097.35064935064
2009-08,172248.65622612683
2009-09,195324.86096256683
2009-10,196042.0
2009-11,183439.0741023682
2009-12,160358.1306340718
2010-01,157227.03745318353
2010-02,165561.0501872659
2010-03,206094.8359550562
2010-04,190439.01198501873
2010-05,188485.2576779026
2010-06,203829.68389513108
2010-07,201942.13333333333
2010-08,190144.42172284645
2010-09,207658.8426966292
2010-10,203589.5265917603
2010-11,201281.9767790262
2010-12,171789.31385767792
2011-01,174084.8446671439
2011-02,180251.33858267716
2011-03,212232.6320687187
2011-04,190949.06156048676
2011-05,215053.47530422334
2011-06,193858.42877594847
2011-07,199291.32140300644
2011-08,200947.67716535434
2011-09,210815.13958482462
2011-10,200748.2068718683
2011-11,206104.7659269864
2011-12,174372.58911954187
2012-01,180797.53738644306
2012-02,182346.6107617051
2012-03,209861.14185883998
2012-04,187934.8825995807
2012-05,202431.50524109014
2012-06,200606.14116002794
2012-07,204465.72536687632
2012-08,200173.45911949687
2012-09,198297.60097833682
2012-10,212525.3759608665
2012-11,201185.93011879805
2012-12,155834.5534591195
2013-01,180228.55620014505
2013-02,172550.2994923858
2013-03,186507.02248005802
2013-04,200546.43654822334
2013-05,192580.36040609138
2013-06,197037.65409717185
2013-07,210878.16533720086
2013-08,192113.96954314722
2013-09,201777.85496736766
2013-10,212327.390137781
2013-11,198213.65192168238
2013-12,162261.70485859318
2014-01,200247.0433397068
2014-02,197335.74569789675
2014-03,218727.3843212237
2014-04,217316.44550669217
2014-05,217256.1440407903
2014-06,213208.3256851498
2014-07,234956.46271510515
2014-08,202425.15296367113
2014-09,230333.74506054813
2014-10,232890.76736775017
2014-11,212632.63862332696
2014-12,185798.44741873804
2015-01,194664.45478036176
2015-02,196624.89405684755
2015-03,230563.96511627908
2015-04,217461.3791989664
2015-05,209298.62144702842
2015-06,230836.3223514212
2015-07,236065.75387596898
2015-08,208501.30361757107
2015-09,233595.44896640826
2015-10,235013.0865633075
2015-11,224250.10465116278
2015-12,192985.27131782947
2016-01,192882.45174262734
2016-02,211941.96045576409
2016-03,228079.49664879357
2016-04,232237.78284182306
2016-05,219596.658847185
2016-06,238563.59919571044
2016-07,222033.19168900803
2016-08,225693.79155495978
2016-09,237210.81970509383
2016-10,227132.07238605898
2016-11,235525.28753351208
2016-12,200950.9383378016
2017-01,202195.1396491228
2017-02,204386.44771929824
2017-03,245092.75649122806
2017-04,209834.19298245615
2017-05,237381.11298245614
2017-06,228926.4294736842
2017-07,225060.71578947367
2017-08,229953.94947368422
2017-09,234157.48561403507
2017-10,228336.60631578948
2017-11,242151.60631578948
2017-12,193465.4842105263
2018-01,226021.11103542233
2018-02,216595.9720708447
2018-03,242176.3985013624
2018-04,234945.42166212533
2018-05,238233.4782016349
2018-06,248291.19209809264
2018-07,243057.1423705722
2018-08,238697.0871934605
2018-09,235423.00204359673
2018-10,256600.5265667575
2018-11,248703.37397820165
2018-12,192407.88896457767
