date,M_BaysisCount_AverTotalVehicPerCountingStation
2017-02,1363593.52
2017-03,1564506.582857143
2017-04,1494850.5428571429
2017-05,1556904.94
2017-06,1563458.9142857143
2017-07,1758847.7085714287
2017-08,1709707.5714285714
2017-09,1611737.2285714287
2017-10,1553985.7142857143
2017-11,1409319.6
2017-12,1381341.0457142857
2018-01,1399888.3457142857
2018-02,1341920.08
2018-03,1549869.782234957
2018-04,1494452.5787965616
2018-05,1548621.5214899713
2018-06,1561346.3793103448
2018-07,1752892.5948275863
2018-08,1691296.396551724
2018-09,1599219.6829971182
2018-10,1589610.4956772334
2018-11,1413665.9654178675
2018-12,1366110.5014409223
2019-01,1370679.5087209302
2019-02,1376860.441860465
2019-03,1559071.3864306784
2019-04,1550076.9026548672
2019-05,1552708.8879056047
2019-06,1569637.8529411764
2019-07,1767406.9321533924
2019-08,1710258.6941176471
2019-09,1621040.0294117648
2019-10,1628323.688235294
2019-11,1443496.0588235294
2019-12,1422598.2300884956
2020-01,1419594.8265895953
2020-02,1421450.8410404625
2020-03,1070209.4956521739
2020-04,687791.4450867051
