date,M_BaysisCount_AverTotalVehicPerCountingStation
2017-02,202113.78796561604
2017-03,241259.76504297994
2017-04,207163.49570200572
2017-05,235345.07163323782
2017-06,226381.3753581662
2017-07,229189.75071633238
2017-08,223076.1776504298
2017-09,235605.30085959885
2017-10,227952.85959885386
2017-11,236808.30945558738
2017-12,188449.44285714286
2018-01,211174.2142857143
2018-02,204373.12
2018-03,231462.52148997135
2018-04,222679.25501432666
2018-05,225737.1146131805
2018-06,237145.8620689655
2018-07,237313.81896551725
2018-08,221507.64942528735
2018-09,226284.03458213256
2018-10,245620.2363112392
2018-11,231232.1325648415
2018-12,180582.77233429396
2019-01,216795.1656976744
2019-02,212290.05813953487
2019-03,235284.97050147492
2019-04,230150.0
2019-05,237064.95575221238
2019-06,212668.23529411765
2019-07,243788.7551622419
2019-08,209847.02352941176
2019-09,228974.29411764705
2019-10,241428.0911764706
2019-11,224414.4705882353
2019-12,180626.7581120944
2020-01,204396.0809248555
2020-02,208587.61271676302
2020-03,214515.95652173914
2020-04,168405.86705202312
