GENESIS-Tabelle: 46131-0004
Beförderte Güter, Beförderungsleistung;;;;;;;;;;;
(Eisenbahngüterverkehr): Deutschland, Monate,;;;;;;;;;;;
Hauptverkehrsbeziehungen;;;;;;;;;;;
Güterverkehrsstatistik der Eisenbahn;;;;;;;;;;;
Deutschland;;;;;;;;;;;
;;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen
;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang;Durchgangsverkehr;Durchgangsverkehr;Insgesamt;Insgesamt
;;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung
;;t;tkm;t;tkm;t;tkm;t;tkm;t;tkm
2005;Januar;16675616;3483226274;3819313;1653775891;4205259;1458169641;1103981;745612451;25804169;7340784257
2005;Februar;15925470;3412583136;3756116;1604085516;4032717;1474767333;1129695;783545641;24843998;7274981626
2005;März;16892663;3652959340;3813142;1679901047;3825223;1460334955;1278859;877436578;25809887;7670631920
2005;April;17014750;3720604752;4246871;1874587592;4716102;1801159864;1509587;1023784157;27487310;8420136365
2005;Mai;16109163;3535030096;3989283;1758567171;3900531;1559282945;1516120;1023067919;25515097;7875948131
2005;Juni;16578976;3688132401;4222036;1828370811;4291899;1635306982;1453107;946484023;26546018;8098294217
2005;Juli;16273343;3733828290;3897184;1650657471;4377506;1681845479;1386444;938112595;25934477;8004443835
2005;August;16217289;3730877398;3511887;1493823024;4031055;1476893464;1292798;860445962;25053029;7562039848
2005;September;17262004;3884270151;4137317;1787226936;4019201;1530153562;1459263;983268059;26877785;8184918708
2005;Oktober;17605194;3855958833;4248989;1842668143;4683476;1729882975;1357637;907751285;27895296;8336261236
2005;November;18385218;4063767523;4694008;2001434681;4824965;1842632891;1561482;1045064976;29465673;8952900071
2005;Dezember;16785562;3651093014;3883914;1690022992;4215663;1572753666;1175950;785283259;26061089;7699152931
2006;Januar;17656337;3799454925;4152392;1883805132;4251165;1613332695;1255225;841099147;27315119;8137691899
2006;Februar;16782861;3818370342;4358181;1898093508;4610817;1736171001;1265930;846189429;27017789;8298824280
2006;März;19019434;4183615511;4888254;2170317909;5002630;1895006583;1694924;1108619879;30605242;9357559882
2006;April;16447608;3717018739;4061831;1775844490;3958533;1497605963;1257939;846666490;25725911;7837135682
2006;Mai;19140699;4530962486;4942632;2164335061;5160559;1979927448;1771064;1113112789;31014954;9788337784
2006;Juni;17416193;4037592023;4480737;1955646729;4664810;1727835319;1503851;980382578;28065591;8701456649
2006;Juli;18291660;4390417388;4769763;2040858938;4764509;1786204961;1461872;959017691;29287804;9176498978
2006;August;18757149;4285177874;4245685;1866638928;4621765;1700911438;1241826;832357844;28866425;8685086084
2006;September;18422074;4432731589;4593122;1964203498;4195739;1600583521;1443249;954937916;28654184;8952456524
2006;Oktober;19215766;4557727097;5002693;2160035839;5211947;1979449396;1642368;1068456283;31072774;9765668615
2006;November;19412563;4641413082;5253494;2262387251;5406943;2038449339;1664965;1076844214;31737965;10019093886
2006;Dezember;17327185;4129187944;3878935;1688868709;4297766;1646123811;1250446;823364869;26754332;8287545333
2007;Januar;18249400;4257375126;4255195;1855921235;4964128;1873082102;1596029;1090676503;29064752;9077054966
2007;Februar;17381547;4120954798;5007549;2254088077;4393520;1703053518;1673157;1133429872;28455773;9211526265
2007;März;19949961;4703066268;5134045;2257954672;5938821;2264502012;1756807;1188462627;32779634;10413985579
2007;April;17779064;4208274377;4327722;1895186025;4679383;1819185529;1879477;1156096345;28665646;9078742276
2007;Mai;18643313;4492480801;4943976;2170258971;4771602;1860631351;1694192;1182230337;30053083;9705601460
2007;Juni;19185222;4568085099;4994754;2231278522;5064460;2010620366;1860647;1288084075;31105083;10098068062
2007;Juli;19013317;4661913676;4944505;2181563069;5431381;2157688019;1745885;1162386556;31135088;10163551320
2007;August;19850417;4622159100;4387440;1926408260;4755055;1846822220;1155487;776288035;30148399;9171677615
2007;September;18597265;4559933411;4740070;2081376574;4763423;1864060231;1487815;982613401;29588573;9487983617
2007;Oktober;21303754;5001119511;5056596;2244370429;5245911;2031800945;1710144;1131890836;33316405;10409181721
2007;November;19326407;4550440518;4836348;2187038494;4977180;1879704979;1536462;1028239794;30676397;9645423785
2007;Dezember;17026963;4038350484;3796591;1697690367;4116502;1622857112;1186848;793184718;26126904;8152082681
