year,month,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020.0,1,,,,,,
2020.0,2,0.8412698412698412,1.476190476190476,8.761904761904763,0.17460317460317476,-5.825396825396825,1.4444444444444444
2020.0,3,-22.46082949308756,-0.8709677419354842,11.092165898617509,-24.433179723502306,-15.76036866359447,6.7695852534562215
2020.0,4,-53.990476190476194,-13.70952380952381,36.409523809523805,-49.92857142857142,-39.87619047619048,14.399999999999999
2020.0,5,-34.092165898617516,-5.580645161290323,45.44700460829493,-35.2073732718894,-26.341013824884797,9.585253456221196
2020.0,6,-20.228571428571428,-4.942857142857143,116.0,-25.05714285714286,-23.8,6.742857142857143
2020.0,7,,,,,,
2020.0,8,,,,,,
2020.0,9,,,,,,
2020.0,10,,,,,,
2020.0,11,,,,,,
2020.0,12,,,,,,
