GENESIS-Tabelle: 46321-0002
Beförderte Güter, Beförderungsleistung (Binnenschifffahrt):;;;;;;;;;
Deutschland, Monate, Hauptverkehrsbeziehungen;;;;;;;;;
Güterverkehrsstatistik der Binnenschifffahrt;;;;;;;;;
Deutschland;;;;;;;;;
;;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen
;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang;Durchgangsverkehr;Durchgangsverkehr
;;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung
;;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm
1991;Januar;-;1356;-;814;-;1978;-;667
1991;Februar;-;736;-;566;-;1448;-;585
1991;März;-;1484;-;1023;-;2092;-;771
1991;April;-;1419;-;910;-;2133;-;721
1991;Mai;-;1449;-;968;-;2089;-;800
1991;Juni;-;1357;-;1007;-;2015;-;919
1991;Juli;-;1397;-;902;-;2055;-;850
1991;August;-;1333;-;1008;-;1742;-;679
1991;September;-;1083;-;693;-;1302;-;418
1991;Oktober;-;1340;-;760;-;1816;-;635
1991;November;-;1422;-;832;-;1819;-;711
1991;Dezember;-;1201;-;775;-;1395;-;500
1992;Januar;-;1308;-;763;-;1893;-;729
1992;Februar;-;1401;-;880;-;1811;-;687
1992;März;-;1567;-;983;-;2038;-;829
1992;April;-;1356;-;874;-;1971;-;752
1992;Mai;-;1323;-;857;-;1884;-;728
1992;Juni;-;1334;-;842;-;1863;-;743
1992;Juli;-;1328;-;1064;-;1920;-;829
1992;August;-;1210;-;844;-;1660;-;672
1992;September;-;1266;-;826;-;1800;-;637
1992;Oktober;-;1211;-;878;-;1577;-;557
1992;November;-;1427;-;1057;-;1838;-;745
1992;Dezember;-;1256;-;921;-;1672;-;631
1993;Januar;4579777;1063;3138120;768;6767019;1610;1324438;740
1993;Februar;5265124;1282;3408539;828;6504169;1633;1231477;703
1993;März;6156301;1427;3737508;888;7503818;1794;1375267;791
1993;April;6045931;1353;3690572;867;7889762;1908;1542407;900
1993;Mai;5695997;1233;3706466;890;7342026;1747;1304456;776
1993;Juni;5860721;1319;4049691;965;7844299;1942;1455789;884
1993;Juli;5623218;1275;3777536;927;8119827;1942;1600266;967
1993;August;5487868;1249;3648941;951;8013976;1973;1411672;882
1993;September;5549099;1262;4392976;1089;8153725;1979;1557330;955
1993;Oktober;5629702;1322;4246381;1091;8082676;1929;1406002;910
1993;November;5650570;1314;4024458;1042;7601275;1829;1466905;935
1993;Dezember;5176477;1212;3377149;886;6652420;1524;1138374;712
1994;Januar;4981536;1230;3678985;910;7337052;1664;1409851;890
1994;Februar;5159143;1270;3570923;883;7387146;1725;1376678;860
1994;März;6422562;1517;4313645;1091;8388254;1982;1558564;960
1994;April;5945103;1381;3816202;943;7690853;1796;1490365;930
1994;Mai;6460607;1511;4039499;1007;8408854;1968;1471090;931
1994;Juni;5871780;1307;4441812;1110;8658984;1977;1596162;1007
1994;Juli;5904537;1364;3725436;964;8631685;2031;1704964;1077
1994;August;6128842;1428;3830266;1005;8446647;1995;1457684;913
1994;September;6290596;1498;4536633;1154;8468708;1950;1557946;1017
1994;Oktober;5974977;1409;4196864;973;8091150;1877;1626664;1033
1994;November;6444098;1545;4124082;1004;8855348;2024;1460236;947
1994;Dezember;6189886;1523;3614630;868;8117498;1815;1468392;922
1995;Januar;4924614;1177;3144300;785;7094527;1591;1342155;810
1995;Februar;5740149;1380;3458195;859;7579925;1744;1224151;734
1995;März;6636160;1582;4089782;988;9782361;2269;1745014;1055
1995;April;6023863;1407;3493034;883;9004528;2174;1890391;1144
1995;Mai;6497617;1569;3988611;981;9136220;2144;1514654;964
1995;Juni;6033353;1417;3958674;986;8562751;2004;1819023;1116
1995;Juli;6206449;1488;3487003;904;8685210;2045;2043578;1298
1995;August;6268308;1477;3866602;1033;8300137;1968;1777013;1110
1995;September;6344207;1487;4362252;1100;8403534;1946;1623592;1014
1995;Oktober;6011800;1412;3944243;987;8916277;2105;1606490;1001
1995;November;6267706;1484;4028116;1033;8458140;1937;1456524;884
1995;Dezember;5385124;1275;3133009;834;7553972;1729;1179705;741
1996;Januar;3675566;810;2995743;764;7858495;1862;1750404;1053
1996;Februar;3099028;563;2385324;575;6243077;1410;1091089;607
1996;März;5559410;1127;3945142;970;8031216;1915;1257628;736
1996;April;6070163;1447;3954089;998;8126305;1959;1528773;980
1996;Mai;6142533;1490;3942280;1026;8364825;1988;1701375;1060
1996;Juni;5968831;1444;3883990;1001;8314948;1975;1711229;1113
1996;Juli;6372349;1542;3693492;977;9186145;2328;1582525;1000
1996;August;5898044;1392;3681648;955;8144749;2044;1699903;1057
1996;September;5966070;1394;3798252;921;7887019;1904;1294593;809
1996;Oktober;6074227;1414;4182203;1034;8972980;2020;1409362;902
1996;November;6311509;1498;4031069;1072;8995151;2053;1814555;1157
1996;Dezember;5547846;1298;3268153;841;8145669;1897;1480442;917
1997;Januar;2490651;447;2254414;528;6739037;1492;939631;567
1997;Februar;4805311;1072;3397455;854;7941953;1770;1572691;897
1997;März;5852932;1373;3881851;1019;8976649;2170;1634916;1006
1997;April;6551449;1454;4324869;1123;9003924;2202;1775711;1097
1997;Mai;5523012;1335;3913503;1045;9588826;2310;1987826;1238
1997;Juni;5922078;1335;4175058;1064;9484933;2302;1717924;1116
1997;Juli;5532031;1301;3801565;1006;10198482;2501;2087261;1309
1997;August;5534827;1311;3921698;1053;8624042;2035;2057670;1287
1997;September;5936204;1371;4144829;1006;8709152;2035;1722732;1069
1997;Oktober;5965062;1226;3977764;964;8503691;1905;1324399;797
1997;November;5651685;1173;3570625;888;8178419;1773;1242979;764
1997;Dezember;5259046;1150;3337424;853;8485481;1814;1258817;758
1998;Januar;4981183;1188;3686209;992;9459034;2185;1943588;1191
1998;Februar;4832795;1161;3320503;852;8060621;1816;1573776;950
1998;März;5810335;1367;3815048;1033;9723513;2342;2003862;1231
1998;April;5318404;1166;3766752;1028;9725262;2321;1756444;1109
1998;Mai;5039312;1132;3660782;933;9093104;2162;2093738;1330
1998;Juni;5253034;1149;3773216;942;9419114;2207;1628550;1050
1998;Juli;5587530;1247;3647715;963;9651760;2356;1945135;1211
1998;August;5178231;1182;3206297;858;8382168;1938;1468358;901
1998;September;5660497;1273;3864313;993;9022781;2101;1612335;1007
