date,M_KFZ,M_SV,M_LV
2003-01,939192.956964696,157679.9970501443,780560.550858003
2003-02,930362.5784361855,157644.59020417146,772486.8519275623
2003-03,1048653.3230116596,176067.67648564655,867501.6336511936
2003-04,1053988.0953026304,177050.89894415846,871675.1488052786
2003-05,1070001.6606903388,179369.3353112154,884666.2758691069
2003-06,1093981.9927379368,173625.1747770741,910867.1762809515
2003-07,1184196.4292693716,196703.11740631392,976721.4800068772
2003-08,1201794.1905643358,162557.62811109266,1017859.4537664244
2003-09,1123441.8933669524,194829.93228106404,922365.9798853637
2003-10,1111673.8968561045,199136.89978705568,908418.8911471004
2003-11,992829.915480678,177830.88291929604,815007.1316204153
2003-12,969188.631359513,154477.85475100155,810418.0850274006
2004-01,835721.1796304168,121561.77511506993,712092.2762160238
2004-02,872716.754802493,128816.72074002898,740715.225885699
2004-03,940922.5398287193,156880.4252454016,782732.335629235
2004-04,948144.7775578304,145337.08719194005,797807.3021687965
2004-05,959782.559493058,144200.74177346163,809313.8692838021
2004-06,947922.5015133847,155437.7911744354,790209.1076274283
2004-07,1049779.2701171222,158306.48757500842,881536.6440329804
2004-08,1037032.7142545719,140331.5430672275,883003.6548720987
2004-09,993450.5598017501,162551.31600335074,826761.961505275
2004-10,980811.7918282329,152796.62553549864,822310.1278594957
2004-11,884535.5726712093,148102.82586910322,737437.4050319735
2004-12,882019.4624343674,130135.95753118664,748282.3267460561
2005-01,847806.5131930081,129489.0312127365,717374.2651150886
2005-02,815233.2076059167,136006.6611700615,682725.2789739424
2005-03,935060.2890229621,153253.76581186824,780010.1458306019
2005-04,921588.5947546719,160784.23351455646,762140.556289024
2005-05,954279.7844844994,152837.42342988902,797943.9154684397
2005-06,952723.7842531012,169981.61917226488,783966.1165986517
2005-07,1043970.2195101271,162345.43875938622,873251.5712783841
2005-08,1022206.1249379602,156408.31339956415,857634.8956584632
2005-09,975737.9727813541,173954.05825656917,802167.7010144326
2005-10,962615.4439116635,164637.04213384117,796951.7366807807
2005-11,867470.744318911,163262.45853317526,710687.031731209
2005-12,853210.2134985515,142012.6191795785,713162.7737137263
2006-01,885702.2122260964,160209.7514882215,729644.5131593305
2006-02,871737.216689509,163423.3218703047,714482.6698700037
2006-03,958750.2159575612,196145.3604459534,770340.4230022692
2006-04,954227.5511239175,172475.93225541292,783519.4541793517
2006-05,1003274.2848881013,200957.8550533039,807656.8631355492
2006-06,997815.6992345593,192395.30281700756,808918.2986993322
2006-07,1088583.9679393799,196437.4675310656,889215.9179287147
2006-08,1068486.1504302456,186067.42331280984,878372.7851986693
2006-09,1049196.5944554878,202416.35595695834,848711.15408363
2006-10,1033238.7386722394,203478.43491458753,833296.3891155424
2006-11,940140.3638030607,200287.67114439624,750238.2162403788
2006-12,930835.5531203094,165195.90682666644,767392.6749054727
2007-01,917294.9900847806,181198.62842756917,743257.7246710521
2007-02,918375.3889012709,178690.6963075227,746084.669584728
2007-03,1024213.8269748939,212546.65725792933,818379.8603998123
2007-04,1006332.5143870837,190774.13201817664,817917.0961109553
2007-05,1023177.5296239919,205464.25593255914,822614.0588877628
2007-06,1029440.3647615211,205707.43514209354,828180.5903152284
2007-07,1129389.0293499522,213040.33159726512,914489.869628513
2007-08,1107418.7933894172,194585.6027183932,907847.7383586544
2007-09,1056862.9049743228,205159.67108196265,853734.7685861874
2007-10,1061381.804994375,224040.26148292446,844057.9967805457
2007-11,944560.9389107544,209956.16025715036,747215.0596611747
2007-12,920054.0033934201,163186.69129129872,758974.2190833499
2008-01,944567.8906260406,201137.48577536334,753677.2276253147
2008-02,963375.2789409603,203491.5580535438,769204.8866613118
2008-03,1006888.4948204677,203064.14565817078,809430.0490661511
2008-04,980225.758065013,225246.41825067834,768735.0561665678
2008-05,1008625.86624995,205649.39355477283,809131.0895506083
2008-06,1004924.5197335548,216176.04754612473,798029.9150797133
2008-07,1103622.2575107922,226536.5226455318,880975.4215577322
2008-08,1076493.3572352924,183250.74326267705,887779.3305133203
2008-09,1035281.7846013393,222298.97795637787,821392.6112255796
2008-10,1045544.0692756517,221475.82976682263,831408.2317188062
2008-11,930630.6866290205,191570.92584354125,747896.6875971323
2008-12,919889.5519957374,160153.67585588642,761043.7236614067
2009-01,904226.6578413185,161724.10599533728,745527.3675699583
2009-02,884239.5866845384,162743.14025824514,726448.336993419
2009-03,982641.0325947839,187872.0517765678,798310.701958715
2009-04,993998.7967879013,179963.90853001556,814517.7809653634
2009-05,1011541.8551702248,179412.72330182165,831012.5603427236
2009-06,998254.3718957959,183957.1935802156,815497.8641804666
2009-07,1126662.7426054946,200761.55669018335,920977.9870654063
2009-08,1097228.607771985,168480.98764661877,917610.966428135
2009-09,1051304.2863214447,201492.95636016518,851320.4066437584
2009-10,1045399.9977880741,203093.07624252178,844733.3462195388
2009-11,948084.4591056245,186772.71518175027,767418.6438637017
2009-12,931498.1377518541,161165.94901454472,770950.5947962254
2010-01,864472.5908996259,152526.15245473897,715796.6024192438
2010-02,883271.1511379564,164426.73226767275,724327.5555463231
2010-03,996241.6343525044,204793.82738008213,798398.0422367374
2010-04,992796.2991305771,189276.2668965479,806597.5988801254
2010-05,998519.4979192498,187150.0268402119,813403.7067756164
2010-06,1001714.2656351449,201898.39173011563,805537.4150782576
2010-07,1115173.7920623096,205815.40729253157,906740.0891703959
2010-08,1095098.3363794421,184338.1735696426,904048.5876615089
2010-09,1058948.871554151,210488.2595300651,851747.2685488724
2010-10,1051770.0539325932,205950.45240961667,848484.4786984825
2010-11,954618.402341075,200429.9031044506,763413.9996737855
2010-12,882625.3390142001,171616.64423899943,718471.7467258245
2011-01,916318.1990173919,169467.11596244972,750949.9294400248
2011-02,922853.9942571833,180239.43781877306,749058.8766553951
2011-03,1016967.6603672649,213801.93497357948,810814.4141532611
2011-04,995284.0446233406,191174.97816423478,807489.501512508
2011-05,1032499.2367599551,216044.506249969,823418.9770505097
2011-06,1022390.337148759,193388.01543336138,830732.5332997377
2011-07,1135170.2371297968,204447.41547581417,926083.1754957493
2011-08,1106495.6208341285,196192.45762695884,905824.6502537281
2011-09,1080746.7340476238,212796.75866700805,870051.286727479
2011-10,1055544.0312674837,204647.9377246816,852899.6576271661
2011-11,972261.262203706,205128.675126886,776157.0420825413
2011-12,947404.6660007646,171684.59436839863,777840.5043992631
2012-01,938405.4516425987,179366.20627159,763962.6273251367
2012-02,934087.2894680782,185009.5738595616,755870.5364969803
2012-03,1037511.8333667477,214408.4619035418,829214.4365202998
2012-04,994109.5561102222,190744.49723714124,806727.3455356658
2012-05,1045842.0748644675,207748.1734425181,841731.0325196601
2012-06,1028571.4195429485,204290.46213971204,828420.8629100294
2012-07,1145266.178264347,213757.92047876015,928527.7844755974
2012-08,1114946.3210479151,197776.4940288126,912416.4027517529
2012-09,1073319.811279044,204184.87633152714,869543.3878483814
2012-10,1061299.0309731916,219662.463414692,847186.8799686539
2012-11,966792.8226337166,201937.79813984103,773477.0550573497
2012-12,914458.0211027493,154867.97546413308,759931.1256156438
2013-01,929303.4943343748,182464.8276743956,753345.5300448204
2013-02,900906.0897961607,174774.8719260592,732927.6608774839
2013-03,1007931.2826660319,193481.8937507723,817401.316198207
2013-04,1004091.5561432237,207243.75054582182,803804.853499456
2013-05,1021112.001049852,195642.04675519728,827909.9018500418
2013-06,1031666.9972600442,204019.36288046106,831458.7261906379
2013-07,1150350.8040205913,223809.87567382047,925833.0050417256
2013-08,1123406.0241850629,192522.2099937236,924022.4683315045
2013-09,1068639.216998892,211928.7425639634,859581.1687554661
2013-10,1070258.2711192635,223884.22998130377,852314.1135175982
2013-11,960180.7940061075,204160.18410712396,765785.2881130687
2013-12,941500.1158227513,163995.844604416,778053.2062051051
2014-01,1004517.6538737672,189207.26389503837,817399.4649131019
2014-02,996405.9226117154,189956.2437615131,809410.7239676277
2014-03,1095401.136176153,211976.2863181547,884093.595267457
2014-04,1086229.3243999574,209983.11170818403,877139.9203124258
2014-05,1093368.9640357564,211383.77765801875,882663.347326737
2014-06,1102163.1064251033,205035.18365925373,895377.2752192944
2014-07,1203672.1212536553,231656.1482803327,968997.7704739557
2014-08,1206466.9930189238,189499.66919598976,1002422.3892565116
2014-09,1137908.1895983662,223817.97329611922,914414.1536561392
2014-10,1156594.6082937007,227136.76114681535,929124.6250536907
2014-11,1040992.5514125441,204144.22186358587,839921.1381325859
2014-12,1009917.2233183191,174649.36252341827,833009.4371629903
2015-01,998716.2159146466,183633.5941768151,816158.3821190742
2015-02,1000500.5248169783,189137.00383873595,813766.2086709666
2015-03,1110221.8130489648,223102.11666646152,889543.0179918119
2015-04,1097889.2448708564,211170.78678138152,886965.4733673981
2015-05,1127242.1339468737,205380.30931661362,918128.230540253
2015-06,1129660.0859249616,226213.6812925386,905094.8233933839
2015-07,1244427.2594047892,237516.74312115158,1002089.9070380453
2015-08,1232037.4822488432,202534.84767676945,1016334.265713688
2015-09,1160716.08274351,232318.88741953485,929111.4030157228
2015-10,1158372.919717371,233487.8157519177,926106.4241941663
2015-11,1060188.0451241713,220578.66581850717,845497.1195964065
2015-12,1049595.2083353256,185379.8718246957,861548.4950622574
2016-01,1015600.2241644696,180814.61292949968,833708.8120618223
2016-02,1066787.6400679671,203858.1283190904,863790.9866151517
2016-03,1158785.1328961696,220350.60303487774,936101.7416554368
2016-04,1122826.6401375295,225581.23058171562,899289.8720841948
2016-05,1156628.9713998693,210642.1483670428,941231.1770085904
2016-06,1148727.528175916,231638.25900567736,918613.2238850036
2016-07,1271451.1354122972,217532.8781867577,1041506.788550725
2016-08,1247912.208551075,212134.16301649058,1023868.0091152812
2016-09,1197712.847938634,229973.3133211952,964763.5927474053
2016-10,1175268.7700218246,221109.5186939958,950665.7010173509
2016-11,1078910.4767010184,225541.48418772634,859037.0960023034
2016-12,1080369.7995109987,188471.14984617688,887513.3305338365
2017-01,1050072.8980358664,186723.32711878588,861003.1646885382
2017-02,1071598.4369419566,193243.69657709613,874803.2544185967
2017-03,1198490.3441009838,232675.19798035183,964876.0175690745
2017-04,1156161.2579213358,198287.61382624265,948691.9744875896
2017-05,1194412.16667367,226472.90023440964,965223.3244578425
2017-06,1197637.8968678191,217215.75503488188,974219.603575591
2017-07,1319284.7432861282,219323.25373552804,1083902.9421503479
2017-08,1287990.3713558177,213014.4853908357,1059471.4670330023
2017-09,1227838.8162922778,226167.86353424835,995965.3731764798
2017-10,1194241.171526635,219068.28024789208,969902.1062175984
2017-11,1105105.79861977,228716.450635436,882220.2032536401
2017-12,1086758.650384626,180370.00384353628,896983.2179329786
2018-01,1092281.243713215,202529.03260506748,887597.0426709807
2018-02,1056472.8169042168,195540.68079275294,859493.5314486462
2018-03,1186067.1369453012,221882.44457518036,960638.4359519414
2018-04,1152489.0283135264,212701.52832059457,936019.0125638925
2018-05,1186375.3241646932,215310.02509686394,965276.4276523546
2018-06,1193967.2117360788,226936.39482285676,964607.3344826135
2018-07,1312626.1953191971,226185.15744423735,1073442.1833434207
2018-08,1273143.032333613,210256.1721286177,1047800.694869377
2018-09,1218141.1318425324,216325.2194334626,993564.1678656971
2018-10,1213461.980994518,236206.5345450169,976299.2724756227
2018-11,1104047.7545780055,222017.9217123854,885692.7424579572
2018-12,1072120.0874684965,170753.6107968468,890009.2470463461
2019-01,1076997.3877222175,207414.57621421752,870526.7154903682
2019-02,1080835.877997368,202957.13701372652,876550.4208667608
2019-03,1193992.7303640689,225708.74115440444,966300.263334569
2019-04,1188406.9656058932,220628.10356445718,964124.6613956827
2019-05,1190041.4841423705,227469.89245446568,961710.3572425757
2019-06,1200554.729665408,203331.31269140192,985005.5851884584
2019-07,1323373.5128724268,234122.5476196802,1078945.1322376798
2019-08,1287883.2477312125,200539.9520522611,1065863.6588144174
2019-09,1232476.5689815315,219464.83777765493,1004789.2149295564
2019-10,1236999.8752413592,231786.8617223806,1001874.8156337152
2019-11,1122218.0062160597,214953.2615533317,907278.3064322975
2019-12,1109240.012350035,171628.86506065767,920181.3001282054
2020-01,1107374.8352218205,195146.6856470502,905089.5538035503
2020-02,1108527.459471163,199293.86701358538,903773.0261239446
2020-03,890399.151322975,205159.48325676366,702436.9992504788
2020-04,603821.4279237041,148180.85170892466,461455.87451504933
2020-05,876147.258707949,170876.03782831487,698917.8068691838
2020-06,994174.1004941378,204853.11698817485,800076.9631265657
