date,FuelSale_tons_dieselkraftstoff_insg,FuelSale_tons_dieselkraftstoff_schifffahrt,FuelSale_tons_dieselkraftstoff_militaer,FuelSale_tons_dieselkraftstoff_sonstige
2001-01,1939816.0,22879.0,1800.0,1915137.0
2001-02,1968383.0,17448.0,1668.0,1949267.0
2001-03,2448775.0,20318.0,1933.0,2426524.0
2001-04,2260151.0,21465.0,1750.0,2236936.0
2001-05,2513651.0,20117.0,1819.0,2491715.0
2001-06,2320281.0,21616.0,1857.0,2296808.0
2001-07,2585777.0,25061.0,2192.0,2558524.0
2001-08,2598500.0,25276.0,1547.0,2571677.0
2001-09,2413003.0,23783.0,6247.0,2382973.0
2001-10,2649002.0,25377.0,6085.0,2617540.0
2001-11,2664940.0,22847.0,9092.0,2633001.0
2001-12,2182957.0,19977.0,9319.0,2153661.0
2002-01,1998995.0,19775.0,6890.0,1972330.0
2002-02,2098681.0,16442.0,2404.0,2079835.0
2002-03,2345385.0,20456.0,8710.0,2316219.0
2002-04,2466517.0,22551.0,2987.0,2440979.0
2002-05,2362845.0,15206.0,1996.0,2345643.0
2002-06,2356679.0,20398.0,2203.0,2334078.0
2002-07,2561962.0,24228.0,2649.0,2535085.0
2002-08,2498698.0,19523.0,2564.0,2476611.0
2002-09,2537411.0,21933.0,2447.0,2513031.0
2002-10,2570422.0,22796.0,3301.0,2544325.0
2002-11,2555889.0,12744.0,3117.0,2540028.0
2002-12,2277730.0,16175.0,2271.0,2259284.0
2003-01,1858127.0,25188.0,2611.0,1830328.0
2003-02,2090408.0,19545.0,2052.0,2068811.0
2003-03,2321682.0,22391.0,1656.0,2297635.0
2003-04,2359080.0,25157.0,2445.0,2331478.0
2003-05,2377636.0,23615.0,1656.0,2352365.0
2003-06,2305278.0,17090.0,2178.0,2286010.0
2003-07,2583463.0,16678.0,2267.0,2564518.0
2003-08,2321374.0,15396.0,2258.0,2303720.0
2003-09,2544934.0,19883.0,1971.0,2523080.0
2003-10,2540580.0,20201.0,2222.0,2518157.0
2003-11,2436113.0,17796.0,1517.0,2416800.0
2003-12,2205482.0,19287.0,2113.0,2184082.0
2004-01,1980376.0,19080.0,807.0,1960489.0
2004-02,2088011.0,18474.0,1519.0,2068018.0
2004-03,2585002.0,20425.0,2260.0,2562317.0
2004-04,2441504.0,19473.0,729.0,2421302.0
2004-05,2278536.0,18445.0,1285.0,2258806.0
2004-06,2461764.0,22742.0,4660.0,2434362.0
2004-07,2528392.0,21526.0,2248.0,2504618.0
2004-08,2493949.0,21514.0,1211.0,2471224.0
2004-09,2576297.0,23748.0,2764.0,2549785.0
2004-10,2473464.0,30870.0,2498.0,2440096.0
2004-11,2661719.0,29270.0,1527.0,2630922.0
2004-12,2351283.0,27768.0,1284.0,2322231.0
2005-01,1987247.0,25866.0,1359.0,1960022.0
2005-02,2032770.0,23285.0,2536.0,2006949.0
2005-03,2269697.0,27190.0,2738.0,2239769.0
2005-04,2517111.0,29421.0,1854.0,2485836.0
2005-05,2418098.0,27300.0,2661.0,2388137.0
2005-06,2494210.0,24731.0,9727.0,2459752.0
2005-07,2500045.0,27165.0,3728.0,2469152.0
2005-08,2542776.0,27724.0,2425.0,2512627.0
2005-09,2537624.0,29036.0,12316.0,2496272.0
2005-10,2472291.0,25558.0,32456.0,2414277.0
2005-11,2555917.0,22590.0,6168.0,2527159.0
2005-12,2203526.0,24064.0,2317.0,2177145.0
2006-01,2058606.0,19284.0,5663.0,2033659.0
2006-02,2028173.0,16505.0,3042.0,2008626.0
2006-03,2397536.0,23574.0,3030.0,2370932.0
2006-04,2266992.0,21712.0,2172.0,2243108.0
2006-05,2548256.0,24033.0,4405.0,2519818.0
2006-06,2418612.0,25575.0,2609.0,2390428.0
2006-07,2551157.0,23223.0,2396.0,2525538.0
2006-08,2552461.0,25398.0,5511.0,2521552.0
2006-09,2619194.0,24757.0,2647.0,2591790.0
2006-10,2542746.0,23154.0,6132.0,2513460.0
2006-11,2657514.0,22866.0,5359.0,2629289.0
2006-12,2492778.0,19092.0,2054.0,2471632.0
2007-01,2001563.0,17592.0,6609.0,1977362.0
2007-02,2084092.0,16872.0,6196.0,2061024.0
2007-03,2484397.0,21782.0,2759.0,2459856.0
2007-04,2312512.0,12763.0,2378.0,2297371.0
2007-05,2453368.0,11911.0,4988.0,2436469.0
2007-06,2505567.0,12496.0,2776.0,2490295.0
2007-07,2644414.0,13344.0,2641.0,2628429.0
2007-08,2608975.0,13064.0,3245.0,2592666.0
2007-09,2448095.0,11654.0,1550.0,2434891.0
2007-10,2679871.0,12398.0,6907.0,2660566.0
2007-11,2623138.0,12047.0,2016.0,2609075.0
2007-12,2212813.0,11145.0,2564.0,2199104.0
2008-01,2264660.0,9464.0,5135.0,2250061.0
2008-02,2314997.0,7867.0,1671.0,2305459.0
2008-03,2337877.0,11580.0,2497.0,2323800.0
2008-04,2634407.0,12354.0,2605.0,2619448.0
2008-05,2452093.0,12348.0,2218.0,2437527.0
2008-06,2474797.0,11556.0,2530.0,2460711.0
2008-07,2685420.0,11983.0,2428.0,2671009.0
2008-08,2471317.0,11678.0,1183.0,2458456.0
2008-09,2654079.0,11058.0,2117.0,2640904.0
2008-10,2705990.0,11270.0,2709.0,2692011.0
2008-11,2560155.0,11813.0,2435.0,2545907.0
2008-12,2349797.0,10527.0,1993.0,2337277.0
2009-01,2206307.0,7805.0,1732.0,2196770.0
2009-02,2248482.0,8940.0,2410.0,2237132.0
2009-03,2598369.0,9023.0,2029.0,2587317.0
2009-04,2651028.0,10157.0,1899.0,2638972.0
2009-05,2529998.0,9152.0,2005.0,2518841.0
2009-06,2549334.0,10144.0,2206.0,2536984.0
2009-07,2771601.0,12966.0,2450.0,2756185.0
2009-08,2643423.0,9820.0,1617.0,2631986.0
