date,FuelSale_tons_flugkraftstoff_schwer_insg,FuelSale_tons_flugkraftstoff_schwer_luftfahrt,FuelSale_tons_flugkraftstoff_schwer_militaer,FuelSale_tons_flugkraftstoff_schwer_sonstige
2001-01,527959.0,491936.0,7792.0,28231.0
2001-02,506565.0,473197.0,7118.0,26250.0
2001-03,559968.0,531945.0,3880.0,24143.0
2001-04,565836.0,545991.0,2751.0,17094.0
2001-05,580793.0,553414.0,6823.0,20556.0
2001-06,628367.0,600860.0,6457.0,21050.0
2001-07,634270.0,593321.0,7098.0,33851.0
2001-08,626980.0,596480.0,10520.0,19980.0
2001-09,614096.0,582314.0,9382.0,22400.0
2001-10,607337.0,576024.0,1598.0,29715.0
2001-11,504232.0,475655.0,3421.0,25156.0
2001-12,456728.0,427186.0,7498.0,22044.0
2002-01,527566.0,496717.0,17638.0,13211.0
2002-02,487698.0,453135.0,17084.0,17479.0
2002-03,551900.0,516549.0,20684.0,14667.0
2002-04,523301.0,492674.0,16472.0,14155.0
2002-05,570634.0,541694.0,13632.0,15308.0
2002-06,605379.0,567171.0,7765.0,30443.0
2002-07,634473.0,596746.0,3031.0,34696.0
2002-08,623162.0,590682.0,1672.0,30808.0
2002-09,609296.0,593622.0,1467.0,14207.0
2002-10,609362.0,598659.0,254.0,10449.0
2002-11,535259.0,515938.0,4614.0,14707.0
2002-12,510233.0,493971.0,362.0,15900.0
2003-01,510422.0,499769.0,1522.0,9131.0
2003-02,537937.0,497828.0,25847.0,14262.0
2003-03,543202.0,508713.0,16450.0,18039.0
2003-04,556772.0,539054.0,18361.0,-643.0
2003-05,574732.0,552246.0,19981.0,2505.0
2003-06,581573.0,564847.0,11512.0,5214.0
2003-07,615715.0,606104.0,7101.0,2510.0
2003-08,664928.0,650566.0,12792.0,1570.0
2003-09,605098.0,589382.0,10656.0,5060.0
2003-10,645566.0,545698.0,8806.0,91062.0
2003-11,602332.0,501488.0,17225.0,83619.0
2003-12,511863.0,453926.0,13208.0,44729.0
2004-01,559665.0,547132.0,10279.0,2254.0
2004-02,552356.0,503300.0,40180.0,8876.0
2004-03,561096.0,550759.0,13240.0,-2903.0
2004-04,602369.0,597096.0,7761.0,-2488.0
2004-05,623771.0,612149.0,8684.0,2938.0
2004-06,622447.0,608785.0,6659.0,7003.0
2004-07,678187.0,587545.0,6581.0,84061.0
2004-08,704964.0,676991.0,6175.0,21798.0
2004-09,663741.0,630987.0,6024.0,26730.0
2004-10,725928.0,633751.0,5425.0,86752.0
2004-11,614455.0,533842.0,5820.0,74793.0
2004-12,602522.0,527402.0,6545.0,68575.0
2005-01,588066.0,571739.0,6023.0,10304.0
2005-02,562932.0,517264.0,5260.0,40408.0
2005-03,636704.0,613427.0,5630.0,17647.0
2005-04,634018.0,577919.0,6881.0,49218.0
2005-05,739256.0,698669.0,6429.0,34158.0
2005-06,683644.0,665807.0,2834.0,15003.0
2005-07,739551.0,724747.0,2850.0,11954.0
2005-08,759244.0,731569.0,4589.0,23086.0
2005-09,744141.0,722650.0,5612.0,15879.0
2005-10,741312.0,727098.0,744.0,13470.0
2005-11,634083.0,548158.0,2458.0,83467.0
2005-12,621807.0,514625.0,2083.0,105099.0
2006-01,629227.0,615573.0,3383.0,10271.0
2006-02,588621.0,563683.0,3349.0,21589.0
2006-03,679327.0,594121.0,3593.0,81613.0
2006-04,688517.0,669440.0,6073.0,13004.0
2006-05,742764.0,664051.0,7500.0,71213.0
2006-06,748665.0,714808.0,5035.0,28822.0
2006-07,781248.0,755838.0,4969.0,20441.0
2006-08,771041.0,678889.0,6176.0,85976.0
2006-09,758013.0,725129.0,2848.0,30036.0
2006-10,755266.0,670209.0,2474.0,82583.0
2006-11,690476.0,654217.0,5422.0,30837.0
2006-12,663877.0,577220.0,6203.0,80454.0
2007-01,675585.0,603427.0,4661.0,67497.0
2007-02,613824.0,579144.0,5695.0,28985.0
2007-03,704723.0,672083.0,6620.0,26020.0
2007-04,714111.0,686861.0,3074.0,24176.0
2007-05,761830.0,747281.0,5453.0,9096.0
2007-06,752963.0,741968.0,3371.0,7624.0
2007-07,804150.0,789880.0,5485.0,8785.0
2007-08,818160.0,802295.0,7707.0,8158.0
2007-09,793117.0,731236.0,3233.0,58648.0
2007-10,793474.0,755929.0,3295.0,34250.0
2007-11,706687.0,668352.0,4625.0,33710.0
2007-12,669367.0,629336.0,6459.0,33572.0
2008-01,702503.0,650555.0,6873.0,45075.0
2008-02,668742.0,597312.0,7570.0,63860.0
2008-03,730200.0,675799.0,6995.0,47406.0
