date,FuelSale_tons_ottokraftstoff_insg,FuelSale_tons_ottokraftstoff_militaer,FuelSale_tons_ottokraftstoff_sonstige
2001-01,1956538.0,15582.0,1940956.0
2001-02,2037325.0,13592.0,2023733.0
2001-03,2364375.0,15658.0,2348717.0
2001-04,2309688.0,15273.0,2294415.0
2001-05,2447365.0,16315.0,2431050.0
2001-06,2387401.0,15375.0,2372026.0
2001-07,2479447.0,15524.0,2463923.0
2001-08,2464713.0,15956.0,2448757.0
2001-09,2320340.0,13542.0,2306798.0
2001-10,2480601.0,15021.0,2465580.0
2001-11,2356021.0,14769.0,2341252.0
2001-12,2344663.0,14364.0,2330299.0
2002-01,2002381.0,14747.0,1987634.0
2002-02,2059838.0,13765.0,2046073.0
2002-03,2366991.0,15038.0,2351953.0
2002-04,2317439.0,16757.0,2300682.0
2002-05,2364770.0,15653.0,2349117.0
2002-06,2273898.0,14630.0,2259268.0
2002-07,2403606.0,16273.0,2387333.0
2002-08,2359134.0,15501.0,2343633.0
2002-09,2272248.0,14787.0,2257461.0
2002-10,2369961.0,15630.0,2354331.0
2002-11,2187106.0,14681.0,2172425.0
2002-12,2217254.0,15286.0,2201968.0
2003-01,1888061.0,15681.0,1872380.0
2003-02,1949057.0,14259.0,1934798.0
2003-03,2195780.0,14256.0,2181524.0
2003-04,2221583.0,14406.0,2207177.0
2003-05,2293084.0,13689.0,2279395.0
2003-06,2218264.0,13781.0,2204483.0
2003-07,2282633.0,14854.0,2267779.0
2003-08,2180986.0,14107.0,2166879.0
2003-09,2207806.0,14260.0,2193546.0
2003-10,2238889.0,14326.0,2224563.0
2003-11,2056924.0,1439.0,2055485.0
2003-12,2116869.0,11030.0,2105839.0
2004-01,1890100.0,13324.0,1876776.0
2004-02,1937684.0,11890.0,1925794.0
2004-03,2193314.0,10413.0,2182901.0
2004-04,2225893.0,1349.0,2224544.0
2004-05,2097539.0,9414.0,2088125.0
2004-06,2093925.0,13636.0,2080289.0
2004-07,2165856.0,13604.0,2152252.0
2004-08,2135102.0,10237.0,2124865.0
2004-09,2061803.0,14022.0,2047781.0
2004-10,2149762.0,13776.0,2135986.0
2004-11,2042310.0,10403.0,2031907.0
2004-12,2044081.0,10878.0,2033203.0
2005-01,1848882.0,12765.0,1836117.0
2005-02,1725215.0,12567.0,1712648.0
2005-03,2013351.0,14369.0,1998982.0
2005-04,2055795.0,13248.0,2042547.0
2005-05,2118936.0,14469.0,2104467.0
2005-06,2027169.0,14025.0,2013144.0
2005-07,2030572.0,13291.0,2017281.0
2005-08,2016106.0,13563.0,2002543.0
2005-09,1911800.0,13060.0,1898740.0
2005-10,1974428.0,12536.0,1961892.0
2005-11,1857482.0,12202.0,1845280.0
2005-12,1850986.0,12454.0,1838532.0
2006-01,1735747.0,11951.0,1723796.0
2006-02,1663171.0,10958.0,1652213.0
2006-03,1849874.0,12754.0,1837120.0
2006-04,1867563.0,12316.0,1855247.0
2006-05,1984535.0,12960.0,1971575.0
2006-06,1864447.0,11919.0,1852528.0
2006-07,1949136.0,11858.0,1937278.0
2006-08,1951517.0,11494.0,1940023.0
2006-09,1900589.0,11127.0,1889462.0
2006-10,1941570.0,11735.0,1929835.0
2006-11,1851098.0,11765.0,1839333.0
2006-12,2044352.0,11935.0,2032417.0
2007-01,1551523.0,11706.0,1539817.0
2007-02,1550323.0,11434.0,1538889.0
2007-03,1870851.0,12275.0,1858576.0
2007-04,1840414.0,12051.0,1828363.0
2007-05,1886113.0,9266.0,1876847.0
2007-06,1831304.0,12278.0,1819026.0
2007-07,1879661.0,10622.0,1869039.0
2007-08,1874338.0,10926.0,1863412.0
2007-09,1749772.0,635.0,1749137.0
2007-10,1892024.0,1658.0,1890366.0
2007-11,1713953.0,8171.0,1705782.0
2007-12,1651752.0,10445.0,1641307.0
2008-01,1645128.0,7887.0,1637241.0
