date,BenzinFuelSale_InTsdTonnes,BenzinFuelSale_CO2inTonnes,DieselFuelSale_InTsdTonnes,DieselFuelSale_CO2inTonnes
2000-01,2015.0,6233051084.0,1531.301362284766,4830866081.811735
2000-02,2231.0,6901209413.599999,1872.8787774012862,5908455895.05221
2000-03,2477.0,7662167511.2,2232.2931332549615,7042316716.81699
2000-04,2443.0,7556994440.799999,2031.6275499619667,6409267870.91854
2000-05,2638.0,8160192932.799999,2407.0951524790817,7593772600.355197
2000-06,2423.0,7495127928.799999,2139.541041421755,6749707472.490595
2000-07,2491.0,7705474069.599999,2206.4295691860866,6960723754.456746
2000-08,2498.0,7727127348.799999,2311.667519535302,7292722704.750155
2000-09,2452.0,7584834371.2,2267.967014729272,7154858733.865603
2000-10,2393.0,7402328160.799999,2261.7240854712677,7135163880.882097
2000-11,2348.0,7263128508.799999,2335.747389530461,7368688566.25797
2000-12,2398.0,7417794788.799999,2194.835557706936,6924147598.915947
2001-01,1957.0,6053638199.2,1736.1114030478193,5476989636.263795
2001-02,2037.0,6301104247.2,1761.1686810299527,5556038971.22018
2001-03,2364.0,7312621718.4,2191.616920651603,6913993618.149502
2001-04,2310.0,7145582135.999999,2022.4802942722017,6380410607.193904
2001-05,2447.0,7569367743.2,2249.7856016815554,7097501002.8696785
2001-06,2387.0,7383768207.2,2076.1744613767737,6549802039.2433
2001-07,2479.0,7668354162.4,2314.2186022070414,7300770721.328954
2001-08,2465.0,7625047603.999999,2325.852338413032,7337472198.27299
2001-09,2320.0,7176515391.999999,2159.40042038886,6812358758.919863
2001-10,2481.0,7674540813.599999,2370.5974776668418,7478631724.98082
2001-11,2356.0,7287875113.599999,2384.915922228061,7523802773.527327
2001-12,2345.0,7253848531.999999,1953.5727798213347,6163024936.063847
2002-01,2002.0,6192837851.2,1797.1520380007685,5669557304.698753
2002-02,2060.0,6372250736.0,1887.0545911773952,5953176979.771227
2002-03,2367.0,7321901695.2,2108.214871991897,6650881380.4495125
2002-04,2317.0,7167235415.2,2217.8959868673815,6996897384.0379305
2002-05,2365.0,7315715043.999999,2124.3973315636895,6701932921.962557
2002-06,2274.0,7034222414.4,2119.003178373092,6684915741.458209
2002-07,2404.0,7436354742.4,2303.3034123851767,7266336075.356781
2002-08,2359.0,7297155090.4,2246.664803883902,7087655680.061123
2002-09,2272.0,7028035763.2,2280.8277740910203,7195431156.588663
2002-10,2370.0,7331181671.999999,2310.495616639307,7289025649.36258
2002-11,2187.0,6765103087.2,2297.909259194579,7249318894.852432
2002-12,2217.0,6857902855.2,2047.980161363557,6460856198.150956
2003-01,1888.0,5840198732.799999,1669.0350701402806,5265380876.867234
2003-02,1949.0,6028891594.4,1877.439879759519,5922845012.191884
2003-03,2196.0,6792943017.599999,2085.8446893787577,6580309147.516534
2003-04,2222.0,6873369483.2,2119.0816633266536,6685163341.512276
2003-05,2293.0,7092995600.799999,2136.1492985971945,6739007387.077656
2003-06,2218.0,6860996180.799999,2070.573647294589,6532132896.221192
2003-07,2283.0,7062062344.799999,2320.3001002004007,7319956299.756763
2003-08,2181.0,6746543133.599999,2084.9463927855713,6577475250.381514
2003-09,2208.0,6830062924.799999,2286.164829659319,7212268208.626003
2003-10,2239.0,6925956018.4,2282.5716432865734,7200932620.085921
2003-11,2057.0,6362970759.2,2188.250501002004,6903373420.908817
2003-12,2117.0,6548570295.2,1980.743987975952,6248743182.719189
