GENESIS-Tabelle: 46100-0005
Unternehmen, Beförderte Personen, Personenkilometer;;;;;;;;;;;;;
(Personenverkehr mit Bussen und Bahnen): Deutschland,;;;;;;;;;;;;;
Quartale, Verkehrsart;;;;;;;;;;;;;
Personenverkehr mit Bussen und Bahnen;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;
;;1. Quartal;1. Quartal;1. Quartal;2. Quartal;2. Quartal;2. Quartal;3. Quartal;3. Quartal;3. Quartal;4. Quartal;4. Quartal;4. Quartal
;;Unternehmen;Beförderte Personen;Personenkilometer;Unternehmen;Beförderte Personen;Personenkilometer;Unternehmen;Beförderte Personen;Personenkilometer;Unternehmen;Beförderte Personen;Personenkilometer
;;Anzahl;1000;1000;Anzahl;1000;1000;Anzahl;1000;1000;Anzahl;1000;1000
2004;Liniennahverkehr insgesamt;890;2556583;22904938;892;2439116;22026966;890;2313780;21219374;890;2644904;23794149
2004;Liniennahverkehr mit Eisenbahnen;57;492926;9935898;57;476818;9708999;57;477795;10006444;57;507831;10519350
2004;Liniennahverkehr mit Straßenbahnen;61;854768;3765169;62;817100;3598708;62;802316;3534542;62;888961;3931232
2004;Liniennahverkehr mit Omnibussen;839;1368902;9203872;841;1294038;8719259;839;1181289;7678388;839;1413637;9343567
2004;Linienfernverkehr mit Omnibussen;30;1207;304079;33;1343;349339;31;1609;602668;31;1339;395245
2004;Linienfernverkehr mit Eisenbahnen;3;26727;7224784;3;29728;8169597;3;30037;8727010;3;28996;8273060
2005;Liniennahverkehr insgesamt;926;2538197;22671196;927;2512421;22666945;920;2392223;22042425;918;2617811;24186939
2005;Liniennahverkehr mit Eisenbahnen;53;483214;9783137;53;493064;9956376;52;520319;10601016;52;515404;10910501
2005;Liniennahverkehr mit Straßenbahnen;61;866241;3848238;61;847951;3768300;61;821818;3691056;60;895248;3980039
2005;Liniennahverkehr mit Omnibussen;877;1344282;9039821;878;1323271;8942269;872;1193732;7750353;871;1363901;9296398
2005;Linienfernverkehr mit Omnibussen;32;1204;290862;32;1242;321438;29;1496;565326;30;1399;377247
2005;Linienfernverkehr mit Eisenbahnen;3;27421;7511049;3;29086;8356074;3;30414;9206755;3;31964;8621552
