date,M_TotalRailFreights
2005-01,7340784257
2005-02,7274981626
2005-03,7670631920
2005-04,8420136365
2005-05,7875948131
2005-06,8098294217
2005-07,8004443835
2005-08,7562039848
2005-09,8184918708
2005-10,8336261236
2005-11,8952900071
2005-12,7699152931
2006-01,8137691899
2006-02,8298824280
2006-03,9357559882
2006-04,7837135682
2006-05,9788337784
2006-06,8701456649
2006-07,9176498978
2006-08,8685086084
2006-09,8952456524
2006-10,9765668615
2006-11,10019093886
2006-12,8287545333
2007-01,9077054966
2007-02,9211526265
2007-03,10413985579
2007-04,9078742276
2007-05,9705601460
2007-06,10098068062
2007-07,10163551320
2007-08,9171677615
2007-09,9487983617
2007-10,10409181721
2007-11,9645423785
2007-12,8152082681
2008-01,9957122043
2008-02,9869917682
2008-03,9704923303
2008-04,10713957390
2008-05,9539911122
2008-06,9942950620
2008-07,10169034237
2008-08,8998819801
2008-09,10105117321
2008-10,10394117677
2008-11,9229513433
2008-12,7343335810
2009-01,7072244105
2009-02,7682416599
2009-03,8368530525
2009-04,7357438154
2009-05,7489107637
2009-06,8159382320
2009-07,8025063688
2009-08,7003424664
2009-09,8664516671
2009-10,9225449697
2009-11,9001463346
2009-12,7603435565
2010-01,7404892067
2010-02,8060115884
2010-03,9634293797
2010-04,8699700640
2010-05,8897638452
2010-06,9798726636
2010-07,8892779962
2010-08,8754373707
2010-09,9594137367
2010-10,9743206446
2010-11,9790369290
2010-12,8046724145
2011-01,8076598488
2011-02,8921846067
2011-03,10551559425
2011-04,9301455105
2011-05,10658822441
2011-06,9432814149
2011-07,9872723127
2011-08,9167998601
2011-09,9653100792
2011-10,9265064089
2011-11,9743933189
2011-12,8513863977
2012-01,8284272731
2012-02,8844538135
2012-03,9767338950
2012-04,9128654624
2012-05,9438041588
2012-06,9377388484
2012-07,9609667766
2012-08,8660856055
2012-09,8924376360
2012-10,10313446376
2012-11,9813285799
2012-12,7902932701
2013-01,8381660119
2013-02,8586666710
2013-03,9007931123
2013-04,9231903232
2013-05,9309269603
2013-06,9300327763
2013-07,9968907929
2013-08,9014455881
2013-09,9412166012
2013-10,10318403711
2013-11,9882511220
2013-12,8240306513
2014-01,8924806714
2014-02,9031204948
2014-03,9957705934
2014-04,9744090710
2014-05,9890051835
2014-06,8926313875
2014-07,10194396680
2014-08,8805530970
2014-09,9933706160
2014-10,9868652820
2014-11,9022625709
2014-12,8329721325
2015-01,8624809860
2015-02,8891923838
2015-03,10089019302
2015-04,9096513709
2015-05,8937549618
2015-06,10214605634
2015-07,10865358075
2015-08,8842968318
2015-09,10025820362
2015-10,9987372827
2015-11,10186053042
2015-12,8578921791
2016-01,8217909275
2016-02,9180206687
2016-03,9756845303
2016-04,9601503948
2016-05,9267277545
2016-06,9747624684
2016-07,9172785652
2016-08,8760052325
2016-09,9361368959
2016-10,9236630816
2016-11,9395593400
2016-12,8384058214
2017-01,8574405597
2017-02,9007442239
2017-03,10066477689
2017-04,8607372835
2017-05,9378016216
2017-06,8863110338
2017-07,9213931847
2017-08,8409404454
2017-09,8592116868
2017-10,8484816273
2017-11,9255817898
2017-12,7638482494
2018-01,9169387541
2018-02,8796418486
2018-03,9512950732
2018-04,9331611249
2018-05,9227275443
2018-06,9622198540
2018-07,9392713105
2018-08,8945210616
2018-09,8991563108
2018-10,9937670179
2018-11,9764610927
2018-12,8003187551
2019-01,9783693412
2019-02,9656423127
2019-03,10290236773
2019-04,9402575718
2019-05,9906029824
2019-06,8988951630
2019-07,9790689965
2019-08,8879258739
2019-09,9313776458
2019-10,9975715519
2019-11,9252244560
2019-12,7874593111
2020-01,9344580956
2020-02,9273826128
2020-03,10121773429
