date,M_InlandShippingTotalTransportPerformance
1991-01,4815
1991-02,3335
1991-03,5370
1991-04,5183
1991-05,5306
1991-06,5298
1991-07,5204
1991-08,4762
1991-09,3496
1991-10,4551
1991-11,4784
1991-12,3871
1992-01,4693
1992-02,4779
1992-03,5417
1992-04,4953
1992-05,4792
1992-06,4782
1992-07,5141
1992-08,4386
1992-09,4529
1992-10,4223
1992-11,5067
1992-12,4480
1993-01,4181
1993-02,4446
1993-03,4900
1993-04,5028
1993-05,4646
1993-06,5110
1993-07,5111
1993-08,5055
1993-09,5285
1993-10,5252
1993-11,5120
1993-12,4334
1994-01,4694
1994-02,4738
1994-03,5550
1994-04,5050
1994-05,5417
1994-06,5401
1994-07,5436
1994-08,5341
1994-09,5619
1994-10,5292
1994-11,5520
1994-12,5128
1995-01,4363
1995-02,4717
1995-03,5894
1995-04,5608
1995-05,5658
1995-06,5523
1995-07,5735
1995-08,5588
1995-09,5547
1995-10,5505
1995-11,5338
1995-12,4579
1996-01,4489
1996-02,3155
1996-03,4748
1996-04,5384
1996-05,5564
1996-06,5533
1996-07,5847
1996-08,5448
1996-09,5028
1996-10,5370
1996-11,5780
1996-12,4953
1997-01,3034
1997-02,4593
1997-03,5568
1997-04,5876
1997-05,5928
1997-06,5817
1997-07,6117
1997-08,5686
1997-09,5481
1997-10,4892
1997-11,4598
1997-12,4575
1998-01,5556
1998-02,4779
1998-03,5973
1998-04,5624
1998-05,5557
1998-06,5348
1998-07,5777
1998-08,4879
1998-09,5374
1998-10,5445
1998-11,5004
1998-12,5005
1999-01,4907
1999-02,4399
1999-03,5835
1999-04,5317
1999-05,4473
1999-06,5532
1999-07,5483
1999-08,5533
1999-09,5164
1999-10,5383
1999-11,5663
1999-12,4968
2000-01,5025
2000-02,5346
2000-03,5753
2000-04,5504
2000-05,5961
2000-06,5523
2000-07,5558
2000-08,5795
2000-09,5551
2000-10,5790
2000-11,5704
2000-12,4954
2001-01,5359
2001-02,5086
2001-03,4896
2001-04,5579
2001-05,5935
2001-06,5239
2001-07,5739
2001-08,5691
2001-09,5300
2001-10,5598
