GENESIS-Tabelle: 46421-0009
Starts, Landungen (Flight Stage): Deutschland, Monate,;;;;;;;;;;;;;;;;;;;;;;;;;;
Berichtsflughafen;;;;;;;;;;;;;;;;;;;;;;;;;;
Verkehrsleistungsstatistik im Luftverkehr;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Januar;Januar;Februar;Februar;März;März;April;April;Mai;Mai;Juni;Juni;Juli;Juli;August;August;September;September;Oktober;Oktober;November;November;Dezember;Dezember
;;;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2011;F-SXF;Berlin-Schönefeld;2594;2579;2296;2273;2787;2751;2682;2655;2859;2846;2945;2941;2900;2883;2852;2879;3019;2992;3041;3046;2537;2532;2513;2474
2011;F-TXL;Berlin-Tegel;5758;5760;5986;5986;6836;6834;6604;6599;7480;7492;7087;7084;6930;6933;6853;6851;7335;7332;7155;7166;6633;6629;5992;5995
2011;F-BRE;Bremen;1482;1487;1430;1427;1702;1698;1645;1637;1791;1794;1592;1596;1633;1633;1633;1647;1694;1688;1727;1731;1603;1600;1365;1353
2011;F-DTM;Dortmund;638;648;711;709;905;901;872;868;1078;1076;1360;1351;1499;1501;1274;1271;1286;1287;1158;1159;969;977;679;680
2011;F-DRS;Dresden;941;937;913;918;1040;1040;1036;1033;1306;1298;1236;1235;1226;1221;1191;1194;1344;1339;1263;1266;1126;1137;885;887
2011;F-DUS;Düsseldorf;7832;7817;7944;7911;8860;8856;8625;8591;10078;10077;9459;9428;9991;9957;9324;9324;10096;10105;9897;9888;8710;8756;7553;7547
2011;F-ERF;Erfurt;295;297;314;305;342;343;307;298;423;425;356;357;378;382;395;394;535;531;451;450;442;447;263;263
2011;F-FRA;Frankfurt/Main;18507;18401;17799;17771;20214;20172;19973;19903;21293;21280;20249;20184;21061;21055;20932;20896;20911;20904;21002;21004;19746;19763;18898;18953
2011;F-FDH;Friedrichshafen;477;476;420;417;545;545;513;515;618;620;606;600;607;606;523;521;597;598;605;602;522;522;466;470
2011;F-HHN;Hahn;1072;1066;1000;979;1187;1145;1153;1148;1194;1194;1231;1212;1250;1248;1211;1218;1241;1229;1231;1216;832;829;897;891
2011;F-HAM;Hamburg;5195;5174;5308;5300;6016;5989;5816;5826;6476;6477;6015;5988;6076;6067;6042;6028;6446;6420;6324;6321;5796;5786;5135;5122
2011;F-HAJ;Hannover;2101;2101;2081;2102;2611;2606;3071;3061;3375;3401;3047;3067;3258;3251;3325;3322;3376;3365;3180;3206;2581;2599;2101;2121
2011;F-FKB;Karlsruhe;943;904;1213;1178;1353;1301;1167;1111;1082;1058;1071;1030;1254;1241;1149;1135;1071;1084;1043;1040;883;896;772;767
2011;F-CGN;Köln/Bonn;4086;4124;3947;3954;4699;4738;4621;4633;5529;5578;5302;5343;5428;5466;5313;5374;5506;5588;5354;5432;4580;4680;4142;4158
2011;F-LEJ;Leipzig/Halle;2207;2178;2121;2120;2448;2422;2343;2338;2666;2641;2516;2528;2596;2576;2506;2506;2578;2616;2614;2629;2435;2436;2369;2383
2011;F-LBC;Lübeck;205;205;220;220;370;367;383;383;429;429;443;443;355;355;409;409;387;387;386;386;209;209;163;163
2011;F-FMM;Memmingen;285;284;294;288;381;371;356;354;408;409;331;331;414;415;416;416;430;439;379;383;239;244;262;260
2011;F-MUC;München;15254;15149;14911;14884;16970;16939;16581;16550;18059;18033;17021;17003;17827;17801;17092;17051;17784;17796;17614;17609;16051;16007;14685;14768
2011;F-FMO;Münster/Osnabrück;687;688;798;802;1084;1076;1201;1202;1300;1297;1179;1183;1416;1421;1331;1340;1593;1601;1243;1254;899;907;691;688
2011;F-NRN;Niederrhein;832;826;731;734;932;932;829;822;811;812;818;813;881;882;847;847;772;772;766;767;514;518;483;483
