Monat 2012 2013 2014 2015 2016 2017 2018
Januar 2.437 2.517 2.691 2.627 2.680 2.954 2.791
Februar 2.511 2.487 2.623 2.607 2.849 2.802 2.826
Maerz 2.950 2.763 3.018 3.082 3.167 3.466 3.119
April 2.740 3.045 2.964 3.026 3.262 3.146 3.183
Mai 2.892 2.884 3.022 2.925 3.091 3.346 3.153
Juni 2.811 2.892 2.865 3.117 3.217 3.317 3.175
Juli 2.971 3.173 3.100 3.442 3.340 3.300 3.301
August 3.065 3.077 3.021 3.149 3.274 3.408 3.323
September 2.866 3.045 3.173 3.206 3.402 3.264 3.151
Oktober 3.041 3.285 3.323 3.327 3.262 3.307 3.329
November 2.961 3.053 3.010 3.303 3.334 3.351 3.313
Dezember 2.435 2.619 2.777 2.944 3.023 3.041 2.810
