Monat 2006 2007 2008 2009 2010 2011 2012
Januar 2033 2002 2265 2206 2085 2311 2437
Februar 2004 2084 2315 2248 2189 2443 2511
Maerz 2369 2484 2338 2598 2825 2824 2950
April 2238 2313 2634 2651 2691 2652 2740
Mai 2518 2453 2452 2530 2654 2917 2892
Juni 2387 2506 2475 2549 2755 2591 2811
Juli 2519 2644 2685 2772 2907 2767 2971
August 2515 2609 2471 2643 2775 3037 3065
September 2582 2448 2654 2845 2926 2960 2866
Oktober 2512 2680 2706 2747 2937 2853 3041
November 2626 2623 2560 2687 2930 2958 2961
Dezember 2463 2213 2350 2458 2453 2650 2435
