Monat 2006 2007 2008 2009 2010 2011 2012
Januar 1712 1552 1645 1415 1394 1519 1489
Februar 1635 1550 1589 1501 1358 1427 1449
Maerz 1819 1871 1719 1716 1717 1625 1598
April 1837 1840 1686 1750 1661 1618 1550
Mai 1952 1886 1783 1737 1753 1789 1583
Juni 1835 1831 1704 1777 1675 1620 1562
Juli 1919 1880 1798 1751 1782 1618 1580
August 1921 1874 1664 1754 1717 1765 1623
September 1869 1750 1780 1749 1728 1679 1495
Oktober 1911 1892 1824 1678 1724 1728 1615
November 1823 1714 1659 1697 1623 1663 1512
Dezember 2016 1652 1711 1652 1483 1548 1430
