Monat 2012 2013 2014 2015 2016 2017 2018
Januar 1.489 1.382 1.428 1.354 1.345 1.417 1.369
Februar 1.449 1.321 1.366 1.282 1.396 1.342 1.318
Maerz 1.598 1.488 1.550 1.535 1.507 1.619 1.480
April 1.550 1.578 1.534 1.529 1.527 1.494 1.469
Mai 1.583 1.593 1.601 1.571 1.571 1.611 1.563
Juni 1.562 1.572 1.549 1.548 1.548 1.586 1.601
Juli 1.580 1.651 1.671 1.647 1.606 1.584 1.563
August 1.623 1.637 1.595 1.622 1.591 1.616 1.597
September 1.495 1.604 1.559 1.523 1.581 1.535 1.462
Oktober 1.615 1.637 1.676 1.623 1.536 1.537 1.504
November 1.512 1.480 1.493 1.466 1.529 1.530 1.492
Dezember 1.430 1.481 1.505 1.527 1.501 1.425 1.418
