date,M_BASTMobRep_DiffRatio_KFZ,M_BASTMobRep_DiffRatio_SV,M_BASTMobRep_DiffRatio_LV
2020-03,-0.4,-0.03,-0.47
2020-03,-0.4,-0.03,-0.47
2020-03,-0.4,-0.03,-0.47
2020-03,-0.4,-0.03,-0.47
2020-03,-0.4,-0.03,-0.47
2020-03,-0.4,-0.03,-0.47
2020-03,-0.47,-0.1,-0.53
2020-03,-0.47,-0.1,-0.53
2020-03,-0.47,-0.1,-0.53
2020-03,-0.47,-0.1,-0.53
2020-03,-0.47,-0.1,-0.53
2020-03,-0.47,-0.1,-0.53
2020-04,-0.45,-0.12,-0.51
2020-04,-0.45,-0.12,-0.51
2020-04,-0.45,-0.12,-0.51
2020-04,-0.45,-0.12,-0.51
2020-04,-0.45,-0.12,-0.51
2020-04,-0.45,-0.12,-0.51
2020-04,-0.54,-0.44,-0.56
2020-04,-0.54,-0.44,-0.56
2020-04,-0.54,-0.44,-0.56
2020-04,-0.54,-0.44,-0.56
2020-04,-0.54,-0.44,-0.56
2020-04,-0.54,-0.44,-0.56
2020-04,-0.54,-0.44,-0.56
2020-04,-0.54,-0.44,-0.56
2020-04,-0.54,-0.44,-0.56
2020-04,-0.54,-0.44,-0.56
2020-04,-0.54,-0.44,-0.56
2020-04,-0.54,-0.44,-0.56
2020-04,-0.54,-0.44,-0.56
2020-04,-0.54,-0.44,-0.56
2020-04,-0.4,-0.11,-0.45
2020-04,-0.4,-0.11,-0.45
2020-04,-0.4,-0.11,-0.45
2020-04,-0.4,-0.11,-0.45
2020-04,-0.4,-0.11,-0.45
2020-04,-0.4,-0.11,-0.45
2020-04,-0.35,-0.1,-0.39
2020-04,-0.35,-0.1,-0.39
2020-04,-0.35,-0.1,-0.39
2020-04,-0.35,-0.1,-0.39
2020-04,-0.35,-0.1,-0.39
2020-04,-0.35,-0.1,-0.39
2020-04,-0.36,-0.23,-0.39
2020-04,-0.36,-0.23,-0.39
2020-05,-0.36,-0.23,-0.39
2020-05,-0.36,-0.23,-0.39
2020-05,-0.36,-0.23,-0.39
2020-05,-0.36,-0.23,-0.39
2020-05,-0.25,-0.07,-0.28
2020-05,-0.25,-0.07,-0.28
2020-05,-0.25,-0.07,-0.28
2020-05,-0.25,-0.07,-0.28
2020-05,-0.25,-0.07,-0.28
2020-05,-0.25,-0.07,-0.28
2020-05,-0.2,-0.03,-0.23
2020-05,-0.2,-0.03,-0.23
2020-05,-0.2,-0.03,-0.23
2020-05,-0.2,-0.03,-0.23
2020-05,-0.2,-0.03,-0.23
2020-05,-0.2,-0.03,-0.23
2020-05,-0.2,-0.21,-0.19
2020-05,-0.2,-0.21,-0.19
2020-05,-0.2,-0.21,-0.19
2020-05,-0.2,-0.21,-0.19
2020-05,-0.2,-0.21,-0.19
2020-05,-0.2,-0.21,-0.19
2020-05,-0.11,-0.18,-0.1
2020-05,-0.11,-0.18,-0.1
2020-05,-0.11,-0.18,-0.1
2020-05,-0.11,-0.18,-0.1
2020-05,-0.11,-0.18,-0.1
2020-06,-0.11,-0.18,-0.1
2020-06,-0.11,0.01,-0.13
2020-06,-0.11,0.01,-0.13
2020-06,-0.11,0.01,-0.13
2020-06,-0.11,0.01,-0.13
2020-06,-0.11,0.01,-0.13
2020-06,-0.11,0.01,-0.13
2020-06,-0.1,-0.13,-0.09
2020-06,-0.1,-0.13,-0.09
2020-06,-0.1,-0.13,-0.09
2020-06,-0.1,-0.13,-0.09
2020-06,-0.1,-0.13,-0.09
2020-06,-0.1,-0.13,-0.09
2020-06,-0.05,-0.02,-0.05
2020-06,-0.05,-0.02,-0.05
2020-06,-0.05,-0.02,-0.05
2020-06,-0.05,-0.02,-0.05
2020-06,-0.05,-0.02,-0.05
2020-06,-0.05,-0.02,-0.05
2020-06,-0.03,-0.02,-0.03
2020-06,-0.03,-0.02,-0.03
2020-06,-0.03,-0.02,-0.03
2020-06,-0.03,-0.02,-0.03
2020-06,-0.03,-0.02,-0.03
2020-06,-0.03,-0.02,-0.03
