GENESIS-Tabelle: 46331-0004;;;;;;;;;
Umgeschlagene Güter (Seeverkehr): Deutschland, Monate,;;;;;;;;;
Güterabteilungen, Hauptverkehrsbeziehungen,;;;;;;;;;
Flagge des Schiffes;;;;;;;;;
Seeverkehrsstatistik;;;;;;;;;
Deutschland;;;;;;;;;
;;;;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter
;;;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang
;;;;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes
;;year;month;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge
;;;;t;t;t;t;t;t
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2011;Januar;29692;41967;27172;810455;102328;974473
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2011;Februar;21831;45430;21187;560115;73683;887387
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2011;März;50239;46061;26067;679710;81258;899497
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2011;April;40450;32009;25604;783246;72465;900929
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2011;Mai;21748;63498;31798;603432;98085;999501
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2011;Juni;30436;58738;29728;447632;76866;906064
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2011;Juli;28820;46983;34634;386757;90214;810314
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2011;August;21382;37131;36203;482291;93222;875190
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2011;September;31448;56252;18294;794570;71862;959525
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2011;Oktober;34302;59023;22446;559013;79566;890774
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2011;November;22118;34029;20465;492731;74675;876953
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2011;Dezember;25063;34708;22683;572279;68695;826825
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2012;Januar;30354;6783;20863;576638;71310;927381
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2012;Februar;12397;23324;21659;678350;69804;918209
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2012;März;33494;21732;21564;693324;76929;855190
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2012;April;18918;90654;23705;567111;59717;940537
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2012;Mai;26068;107469;13347;557350;39076;982251
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2012;Juni;24247;48287;20495;491459;60471;960799
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2012;Juli;27536;21432;17862;373075;67193;582626
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2012;August;59822;59691;18474;426642;50506;622283
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2012;September;33845;49131;19675;751437;78464;827947
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2012;Oktober;16678;26563;25979;732865;63573;888581
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2012;November;13787;69890;24837;732468;75447;1029350
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2012;Dezember;28072;16840;27783;716704;53481;894704
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2013;Januar;22953;48464;24637;740545;68251;1056987
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2013;Februar;35630;18665;34263;803591;48723;920287
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2013;März;19456;31735;21300;866175;55740;997014
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2013;April;38705;93402;28566;785323;83277;1104251
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2013;Mai;27896;48897;22317;755158;64024;1033503
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2013;Juni;19201;45996;24180;822042;54432;1006585
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2013;Juli;19465;60786;33041;925060;53033;957140
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2013;August;28914;106945;27748;1028539;63881;889218
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2013;September;24157;30662;29928;858694;54560;1000641
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2013;Oktober;17057;33486;22526;1132038;52060;999092
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2013;November;17415;11788;24618;741209;84483;1083416
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2013;Dezember;20729;29821;25117;767412;69414;1009559
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2014;Januar;15919;40040;16132;811026;48508;1092857
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2014;Februar;13946;61247;20781;907010;58636;909965
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2014;März;19459;58181;27317;1303495;65048;1103598
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2014;April;14489;102548;23138;973851;71661;1252229
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2014;Mai;19135;47366;25885;776836;44930;1007707
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2014;Juni;14787;68055;29839;777725;64416;976228
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2014;Juli;18887;21742;33167;533988;49236;1116028
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2014;August;22252;42774;33253;728976;63107;955081
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2014;September;14339;34423;21967;928563;49168;934011
