Time,Date,weekday,week,traffic_congestion_hamburg,traffic_diffRatio_to2019_hamburg,traffic_congestion_berlin,traffic_diffRatio_to2019_berlin,traffic_congestion_wiesbaden,traffic_diffRatio_to2019_wiesbaden,traffic_congestion_munich,traffic_diffRatio_to2019_munich,traffic_congestion_nuremberg,traffic_diffRatio_to2019_nuremberg,traffic_congestion_stuttgart,traffic_diffRatio_to2019_stuttgart,traffic_congestion_bonn,traffic_diffRatio_to2019_bonn,traffic_congestion_kassel,traffic_diffRatio_to2019_kassel,traffic_congestion_bremen,traffic_diffRatio_to2019_bremen,traffic_congestion_cologne,traffic_diffRatio_to2019_cologne,traffic_congestion_kiel,traffic_diffRatio_to2019_kiel,traffic_congestion_dresden,traffic_diffRatio_to2019_dresden,traffic_congestion_dusseldorf,traffic_diffRatio_to2019_dusseldorf,traffic_congestion_leipzig,traffic_diffRatio_to2019_leipzig,traffic_congestion_freiburg,traffic_diffRatio_to2019_freiburg,traffic_congestion_karlsruhe,traffic_diffRatio_to2019_karlsruhe,traffic_congestion_augsburg,traffic_diffRatio_to2019_augsburg,traffic_congestion_monchengladbach,traffic_diffRatio_to2019_monchengladbach,traffic_congestion_mannheim,traffic_diffRatio_to2019_mannheim,traffic_congestion_munster,traffic_diffRatio_to2019_munster,traffic_congestion_hannover,traffic_diffRatio_to2019_hannover,traffic_congestion_bielefeld,traffic_diffRatio_to2019_bielefeld,traffic_congestion_wuppertal,traffic_diffRatio_to2019_wuppertal,traffic_congestion_ruhr-region-west,traffic_diffRatio_to2019_ruhr-region-west,traffic_congestion_ruhr-region-east,traffic_diffRatio_to2019_ruhr-region-east
2019-12-30,2019-12,Mon,1 2020,23,-0.43902439024390244,26,-0.3333333333333333,26,-0.3953488372093023,16,-0.5675675675675675,27,-0.34146341463414637,24,-0.29411764705882354,20,-0.48717948717948717,18,-0.3076923076923077,24,-0.3142857142857143,21,-0.38235294117647056,25,-0.34210526315789475,25,-0.32432432432432434,18,-0.45454545454545453,22,-0.2903225806451613,28,-0.125,15,-0.4444444444444444,22,-0.26666666666666666,19,-0.36666666666666664,28,-0.06666666666666667,21,-0.27586206896551724,20,-0.375,24,-0.14285714285714285,17,-0.32,16,-0.5,17,-0.41379310344827586
2019-12-31,2019-12,Tue,1 2020,17,-0.6046511627906976,18,-0.5384615384615384,17,-0.6222222222222222,11,-0.7317073170731707,16,-0.6097560975609756,16,-0.5897435897435898,15,-0.6511627906976745,11,-0.6333333333333333,14,-0.6216216216216216,13,-0.6486486486486487,21,-0.46153846153846156,19,-0.4864864864864865,12,-0.6571428571428571,18,-0.41935483870967744,14,-0.6,9,-0.71875,14,-0.5483870967741935,14,-0.5333333333333333,15,-0.5,15,-0.4827586206896552,15,-0.5454545454545454,17,-0.41379310344827586,13,-0.5,11,-0.6666666666666666,12,-0.6
2020-01-01,2020-01,Wed,1 2020,11,-0.7380952380952381,10,-0.7435897435897436,10,-0.7777777777777778,4,-0.9024390243902439,7,-0.8333333333333334,9,-0.7804878048780488,8,-0.8095238095238095,9,-0.6785714285714286,11,-0.7027027027027027,8,-0.7948717948717948,14,-0.631578947368421,10,-0.7142857142857143,9,-0.75,9,-0.7,10,-0.7297297297297297,4,-0.8888888888888888,6,-0.8,8,-0.7333333333333333,7,-0.7666666666666667,10,-0.6666666666666666,9,-0.7272727272727273,9,-0.6666666666666666,10,-0.6153846153846154,9,-0.7272727272727273,10,-0.6551724137931034
2020-01-02,2020-01,Thu,1 2020,30,-0.3023255813953488,24,-0.4,24,-0.4666666666666667,17,-0.575,22,-0.47619047619047616,24,-0.4,19,-0.5476190476190477,28,0.037037037037037035,28,-0.28205128205128205,19,-0.5,24,-0.35135135135135137,24,-0.3142857142857143,17,-0.5142857142857142,21,-0.3,25,-0.2857142857142857,14,-0.6111111111111112,19,-0.3448275862068966,18,-0.4,21,-0.3225806451612903,21,-0.27586206896551724,20,-0.3939393939393939,22,-0.21428571428571427,18,-0.3076923076923077,16,-0.5151515151515151,16,-0.4666666666666667
2020-01-03,2020-01,Fri,1 2020,26,-0.36585365853658536,24,-0.35135135135135137,23,-0.425,16,-0.5294117647058824,22,-0.42105263157894735,20,-0.4117647058823529,19,-0.45714285714285713,20,-0.25925925925925924,27,-0.37209302325581395,21,-0.4,25,-0.32432432432432434,25,-0.2857142857142857,18,-0.4,22,-0.26666666666666666,22,-0.37142857142857144,15,-0.53125,19,-0.36666666666666664,19,-0.32142857142857145,21,-0.27586206896551724,22,-0.21428571428571427,20,-0.3548387096774194,23,-0.23333333333333334,19,-0.20833333333333334,19,-0.3870967741935484,19,-0.3448275862068966
2020-01-04,2020-01,Sat,1 2020,20,-0.23076923076923078,19,-0.13636363636363635,18,-0.3076923076923077,15,-0.25,19,-0.20833333333333334,16,-0.30434782608695654,14,-0.3,17,0.13333333333333333,19,-0.09523809523809523,15,-0.25,19,-0.20833333333333334,20,-0.09090909090909091,14,-0.2222222222222222,16,-0.2,20,-0.16666666666666666,9,-0.5,14,-0.2631578947368421,13,-0.3157894736842105,20,-0.047619047619047616,17,-0.05555555555555555,16,-0.1111111111111111,18,0.0,14,0.0,14,-0.125,13,-0.23529411764705882
2020-01-05,2020-01,Sun,1 2020,14,-0.36363636363636365,14,-0.125,10,-0.4444444444444444,6,-0.6,8,-0.38461538461538464,12,-0.14285714285714285,9,-0.35714285714285715,12,0.09090909090909091,7,-0.5333333333333333,10,-0.2857142857142857,14,-0.2222222222222222,12,-0.25,8,-0.38461538461538464,10,-0.16666666666666666,11,-0.21428571428571427,3,-0.7692307692307693,7,-0.3,7,-0.46153846153846156,8,-0.3333333333333333,9,-0.1,9,-0.1,10,0.0,9,-0.1,7,-0.3,6,-0.4
2020-01-06,2020-01,Mon,2 2020,34,-0.17073170731707318,35,-0.10256410256410256,26,-0.3953488372093023,6,-0.8378378378378378,8,-0.8048780487804879,12,-0.6470588235294118,29,-0.2564102564102564,21,-0.19230769230769232,26,-0.2571428571428571,37,0.08823529411764706,29,-0.23684210526315788,35,-0.05405405405405406,28,-0.15151515151515152,34,0.0967741935483871,9,-0.71875,4,-0.8518518518518519,8,-0.7333333333333333,27,-0.1,13,-0.5666666666666667,29,0.0,25,-0.21875,25,-0.10714285714285714,26,0.04,23,-0.28125,23,-0.20689655172413793
2020-01-07,2020-01,Tue,2 2020,33,-0.23255813953488372,36,-0.07692307692307693,29,-0.35555555555555557,29,-0.2926829268292683,35,-0.14634146341463414,32,-0.1794871794871795,34,-0.20930232558139536,23,-0.23333333333333334,33,-0.10810810810810811,30,-0.1891891891891892,32,-0.1794871794871795,34,-0.08108108108108109,32,-0.08571428571428572,32,0.03225806451612903,27,-0.22857142857142856,25,-0.21875,28,-0.0967741935483871,31,0.03333333333333333,30,0.0,30,0.034482758620689655,28,-0.15151515151515152,30,0.034482758620689655,25,-0.038461538461538464,29,-0.12121212121212122,26,-0.13333333333333333
2020-01-08,2020-01,Wed,2 2020,36,-0.14285714285714285,36,-0.07692307692307693,28,-0.37777777777777777,27,-0.34146341463414637,36,-0.14285714285714285,30,-0.2682926829268293,38,-0.09523809523809523,24,-0.14285714285714285,33,-0.10810810810810811,34,-0.1282051282051282,32,-0.15789473684210525,34,-0.02857142857142857,39,0.08333333333333333,32,0.06666666666666667,26,-0.2972972972972973,22,-0.3888888888888889,26,-0.13333333333333333,29,-0.03333333333333333,30,0.0,35,0.16666666666666666,34,0.030303030303030304,32,0.18518518518518517,36,0.38461538461538464,38,0.15151515151515152,29,0.0
