date,CO2 of Coal-Energy in (Tonnen),CO2 of Gas in (Tonnen),CO2 of Biomass (Tonnen),CO2 of Hydropower (Tonnen),CO2 of Nuclear (Tonnen),heating_oil_price_in_usd,Deutschland,Deutschland,Deutschland
2018-12,14713567.5,1480833.9,764997.02,44908.92,71390.58,50.1359090909,3.9,104.1,25.2
2019-01,17052765.92,1782869.41,795205.91,40865.016,67381.62,50.4866666667,0.63,81.8,44.0
2019-02,15551041.7,1343761.79,829857.02,41149.56,59853.192,51.8833333333,3.95,29.9,128.9
2019-03,14103301.36,1044325.73,819135.57,47087.4,56951.256,51.3814285714,6.58,74.7,113.2
2019-04,12698311.72,884783.6900000002,797845.1599999998,46131.168,58693.368,52.9055,9.62,29.4,227.9
2019-05,13416107.74,888012.79,771489.4600000002,53032.512,67243.668,52.2717391304,10.99,78.6,179.6
2019-06,11343937.4,863965.5499999998,742444.8300000002,53814.048,77525.22,50.1695,19.78,55.6,308.1
2019-07,12215175.92,1123166.73,738064.48,52500.648,62918.148,50.3071428571,18.9,56.0,232.4
2019-08,12371789.36,609839.2999999999,733742.5499999998,54123.216,83915.928,49.4417391304,19.06,63.0,226.9
2019-09,13257377.88,815287.9700000002,695038.15,54811.8,78245.112,51.6665,14.05,64.5,162.8
2019-10,11828417.18,929203.66,743469.9400000002,50064.24,86785.944,51.4026086957,10.81,83.8,107.6
2019-11,14874257.16,1374684.22,792154.04,52398.312,84367.452,50.7971428571,5.22,58.9,43.8
2019-12,11579999.0,1057379.33,810856.26,51127.992,84306.66,52.3152380952,3.75,58.8,59.0
2020-01,10203585.54,2760598.26,815881.0700000002,45446.952,68660.16,43.0141176471,3.48,40.5,59.2
2020-02,6307144.8,2044997.85,817361.35,54647.928,65102.904,41.2873333333,5.29,124.1,63.9
2020-03,7262657.18,2109445.1,803038.79,54319.464,63742.128,30.6355555556,5.27,50.9,175.8
2020-04,4612716.48,1639391.04,791439.89,52445.52,57509.844,23.6916666667,10.35,16.3,292.4
2020-05,4766270.5,1990903.81,795288.71,55720.752,50756.448,27.44375,11.91,38.4,240.5
2020-06,6183510.94,2649763.2,745495.09,55653.456,56283.156,33.987,16.89,90.9,214.7
