date,M_KFZ,M_SV,M_LV,FuelSale_tons_ottokraftstoff_insg,FuelSale_tons_ottokraftstoff_militaer,FuelSale_tons_ottokraftstoff_sonstige,FuelSale_tons_dieselkraftstoff_insg,FuelSale_tons_dieselkraftstoff_schifffahrt,FuelSale_tons_dieselkraftstoff_militaer,FuelSale_tons_dieselkraftstoff_sonstige,FuelSale_tons_flugkraftstoff_schwer_insg,FuelSale_tons_flugkraftstoff_schwer_luftfahrt,FuelSale_tons_flugkraftstoff_schwer_militaer,FuelSale_tons_flugkraftstoff_schwer_sonstige,M_AviationTotalStartsAndLandings,LASSO,OekoInstitute
2011-01,916318.199017392,169467.1159624497,750949.9294400249,1519000.0,9157.0,1509843.0,2311195.0,11934.0,1254.0,2298007.0,629657.0,577369.0,8650.0,43638.0,157923.0,11.951868570385013,11.3596383952
2011-02,922853.9942571832,180239.437818773,749058.8766553951,1427494.0,8848.0,1418646.0,2443433.0,13238.0,1263.0,2428932.0,579036.0,522739.0,13632.0,42665.0,156000.0,12.152565612394774,11.8759855949
2011-03,1016967.6603672649,213801.9349735795,810814.4141532611,1625129.0,9612.0,1615517.0,2823922.0,16720.0,1523.0,2805679.0,671266.0,615881.0,13563.0,41822.0,181547.0,13.142684966889847,12.6505063946
2011-04,995284.0446233406,191174.9781642348,807489.501512508,1617986.0,9745.0,1608241.0,2651636.0,15382.0,1305.0,2634949.0,691378.0,631931.0,13229.0,46218.0,178565.0,12.85724867331102,13.2959403943
2011-05,1032499.2367599552,216044.506249969,823418.9770505097,1789329.0,9870.0,1779459.0,2917399.0,17289.0,1080.0,2899030.0,738227.0,670475.0,15654.0,52098.0,198289.0,13.636013363019963,13.5541139942
2011-06,1022390.337148759,193388.0154333614,830732.5332997376,1619961.0,9300.0,1610661.0,2590876.0,16503.0,1601.0,2572772.0,731692.0,663813.0,5451.0,62428.0,188197.0,12.930243614353337,13.6832007942
2011-07,1135170.2371297968,204447.4154758141,926083.1754957492,1618187.0,9169.0,1609018.0,2766595.0,16794.0,1371.0,2748430.0,737127.0,690864.0,3167.0,43096.0,194974.0,13.352346502990445,13.0377667944
2011-08,1106495.6208341285,196192.4576269589,905824.6502537279,1765093.0,9101.0,1755992.0,3037270.0,17569.0,1131.0,3018570.0,719758.0,669351.0,3916.0,46491.0,191109.0,13.630878694988308,13.1668535944
2011-09,1080746.7340476238,212796.758667008,870051.2867274791,1679230.0,9477.0,1669753.0,2959790.0,17238.0,1411.0,2941141.0,717936.0,668347.0,6151.0,43438.0,200929.0,13.754779483793065,13.6832007942
2011-10,1055544.0312674835,204647.9377246816,852899.6576271661,1728099.0,9351.0,1718748.0,2853296.0,15729.0,1071.0,2836496.0,713395.0,663250.0,4348.0,45797.0,196301.0,13.51343183749893,13.5541139942
2011-11,972261.262203706,205128.675126886,776157.0420825413,1663418.0,9065.0,1654353.0,2957972.0,15136.0,1396.0,2941440.0,631998.0,591249.0,7409.0,33340.0,172280.0,13.138566031245968,13.0377667944
2011-12,947404.6660007646,171684.5943683987,777840.5043992631,1548194.0,9559.0,1538635.0,2650427.0,14401.0,1157.0,2634869.0,621460.0,595160.0,953.0,25347.0,155344.0,12.341470403917931,12.0050723949
2012-01,938405.4516425987,179366.20627159,763962.6273251367,1489328.0,9448.0,1479880.0,2436573.0,16044.0,1831.0,2418698.0,636494.0,558934.0,1808.0,75752.0,154114.0,11.974259915470615,11.2496027047
2012-02,934087.2894680782,185009.5738595616,755870.5364969803,1448704.0,9341.0,1439363.0,2511347.0,14833.0,1392.0,2495122.0,608276.0,446373.0,2395.0,159508.0,151588.0,12.22823991259485,11.7609482822
2012-03,1037511.8333667477,214408.4619035418,829214.4365202999,1598442.0,275.0,1598167.0,2949732.0,17898.0,735.0,2931099.0,683257.0,612410.0,618.0,70229.0,178499.0,13.352042457401847,12.5279666484
2012-04,994109.5561102222,190744.4972371412,806727.3455356658,1549740.0,9854.0,1539886.0,2740172.0,20096.0,1691.0,2718385.0,717013.0,642287.0,1856.0,72870.0,174834.0,12.83597132766863,13.1671486203
2012-05,1045842.0748644676,207748.1734425181,841731.0325196602,1583140.0,9575.0,1573565.0,2891549.0,20460.0,1430.0,2869659.0,801125.0,717602.0,2265.0,81258.0,192539.0,13.495307225203549,13.422821409
2012-06,1028571.4195429485,204290.462139712,828420.8629100294,1562430.0,9685.0,1552745.0,2811041.0,24974.0,1812.0,2784255.0,769829.0,691313.0,1962.0,76554.0,191354.0,13.223678390701396,13.5506578034
2012-07,1145266.1782643471,213757.9204787601,928527.7844755973,1579674.0,8836.0,1570838.0,2970837.0,20208.0,1659.0,2948970.0,811055.0,741225.0,4155.0,65675.0,193152.0,13.604769517027911,12.9114758315
2012-08,1114946.3210479151,197776.4940288126,912416.4027517528,1622709.0,8619.0,1614090.0,3064674.0,19784.0,7843.0,3037047.0,786972.0,708186.0,3246.0,75540.0,189608.0,13.04087162242237,13.0393122259
2012-09,1073319.811279044,204184.8763315271,869543.3878483814,1495252.0,8540.0,1486712.0,2865608.0,19959.0,1384.0,2844265.0,808610.0,733759.0,3216.0,71635.0,191492.0,13.4833944410729,13.5506578034
2012-10,1061299.0309731916,219662.463414692,847186.8799686539,1615319.0,9043.0,1606276.0,3040760.0,19250.0,1552.0,3019958.0,783879.0,703788.0,1836.0,78255.0,192807.0,13.724254919976946,13.422821409
2012-11,966792.8226337165,201937.7981398411,773477.0550573497,1512041.0,8413.0,1503628.0,2961146.0,18757.0,1521.0,2940868.0,677386.0,602934.0,1593.0,72859.0,163413.0,12.988910009261426,12.9114758315
2012-12,914458.0211027493,154867.9754641331,759931.1256156438,1430058.0,8501.0,1421557.0,2434511.0,16901.0,1444.0,2416166.0,601350.0,535844.0,2407.0,63099.0,141709.0,11.731327759946454,11.8887846766
2013-01,929303.4943343748,182464.8276743956,753345.5300448205,1381784.0,8208.0,1373576.0,2517233.0,15057.0,1519.0,2500657.0,657763.0,517409.0,749.0,139605.0,140899.0,11.992430765817769,11.5535088375
2013-02,900906.0897961608,174774.8719260592,732927.6608774839,1321144.0,7698.0,1313446.0,2486678.0,13217.0,1392.0,2472069.0,583596.0,521046.0,1471.0,61079.0,138224.0,11.860458890499563,12.0786683301
2013-03,1007931.2826660321,193481.8937507723,817401.3161982071,1487576.0,8653.0,1478923.0,2763470.0,15652.0,1463.0,2746355.0,688902.0,623546.0,756.0,64600.0,160415.0,12.669725936535585,12.866407569
2013-04,1004091.5561432235,207243.7505458218,803804.853499456,1577677.0,8878.0,1568799.0,3045318.0,15841.0,1483.0,3027994.0,701533.0,634520.0,3216.0,63797.0,172362.0,13.338621615400658,13.5228569348
2013-05,1021112.001049852,195642.0467551973,827909.9018500418,1592588.0,8968.0,1583620.0,2883501.0,16960.0,1322.0,2865219.0,789757.0,704261.0,1626.0,83870.0,184830.0,13.377782451694097,13.7854366811
2013-06,1031666.9972600442,204019.3628804611,831458.7261906379,1572292.0,8077.0,1564215.0,2891935.0,13810.0,1463.0,2876662.0,808203.0,724580.0,2962.0,80661.0,188604.0,13.529903622706557,13.9167265542
2013-07,1150350.8040205913,223809.8756738205,925833.0050417256,1651434.0,8230.0,1643204.0,3172555.0,16399.0,1369.0,3154787.0,824403.0,727805.0,5585.0,91013.0,193017.0,14.016856054894184,13.2602771885
2013-08,1123406.0241850629,192522.2099937236,924022.4683315044,1636607.0,7918.0,1628689.0,3076796.0,17202.0,1251.0,3058343.0,826704.0,736668.0,2841.0,87195.0,182618.0,13.624827598738564,13.3915670616
2013-09,1068639.2169988921,211928.7425639634,859581.1687554661,1603754.0,8288.0,1595466.0,3045154.0,16825.0,1507.0,3026822.0,780240.0,686853.0,6041.0,87346.0,186989.0,13.675950008135834,13.9167265542
2013-10,1070258.2711192635,223884.2299813037,852314.1135175981,1636816.0,8052.0,1628764.0,3285322.0,16805.0,1555.0,3266962.0,789391.0,695287.0,8042.0,86062.0,185718.0,14.011403062503634,13.7854366811
2013-11,960180.7940061076,204160.184107124,765785.2881130688,1479698.0,7368.0,1472330.0,3053147.0,14730.0,1319.0,3037098.0,705583.0,611352.0,13750.0,80481.0,156338.0,13.128354150432646,13.2602771885
2013-12,941500.1158227513,163995.844604416,778053.2062051052,1480903.0,7665.0,1473238.0,2619315.0,11877.0,1248.0,2606190.0,645789.0,572269.0,844.0,72676.0,139019.0,12.058109084791928,12.2099582033
2014-01,1004517.6538737672,189207.2638950384,817399.4649131019,1427800.0,7176.0,1420624.0,2690559.0,18813.0,1273.0,2670473.0,645405.0,558975.0,11418.0,75012.0,141744.0,12.165497904558102,11.6397150011
2014-02,996405.9226117155,189956.2437615131,809410.7239676276,1365609.0,6981.0,1358628.0,2622940.0,16779.0,1420.0,2604741.0,597174.0,523075.0,3320.0,70779.0,141023.0,12.067631061567546,12.1687929557
2014-03,1095401.1361761529,211976.2863181547,884093.5952674571,1550288.0,7580.0,1542708.0,3018014.0,15665.0,1962.0,3000387.0,674497.0,572284.0,9990.0,92223.0,161396.0,13.068277899772669,12.9624098876
2014-04,1086229.3243999574,209983.1117081841,877139.9203124258,1534066.0,7790.0,1526276.0,2964474.0,19245.0,1318.0,2943911.0,696724.0,586200.0,10715.0,99809.0,162717.0,13.036196515721658,13.6237573308
2014-05,1093368.9640357564,211383.7776580187,882663.347326737,1601204.0,7936.0,1593268.0,3022175.0,16011.0,1575.0,3004589.0,787585.0,642227.0,1102.0,144256.0,182752.0,13.612166754880716,13.8882963081
2014-06,1102163.106425103,205035.1836592537,895377.2752192944,1548843.0,7531.0,1541312.0,2865079.0,16181.0,1271.0,2847627.0,740915.0,627469.0,1994.0,111452.0,183070.0,13.383144431399892,14.0205657968
2014-07,1203672.121253655,231656.1482803327,968997.7704739557,1671287.0,7541.0,1663746.0,3099960.0,22224.0,1276.0,3076460.0,813474.0,655335.0,3862.0,154277.0,187965.0,13.756000861084697,13.3592183535
2014-08,1206466.9930189238,189499.6691959898,1002422.3892565116,1594766.0,7326.0,1587440.0,3021168.0,12002.0,1305.0,3007861.0,814714.0,657253.0,3449.0,154012.0,182412.0,13.725319263748355,13.4914878422
2014-09,1137908.1895983662,223817.9732961192,914414.1536561393,1558942.0,7223.0,1551719.0,3172503.0,11042.0,1337.0,3160124.0,728126.0,612378.0,16831.0,98917.0,187918.0,14.081432767389709,14.0205657968
2014-10,1156594.6082937007,227136.7611468153,929124.6250536907,1676251.0,7586.0,1668665.0,3322786.0,13261.0,1383.0,3308142.0,730041.0,624675.0,2032.0,103334.0,184115.0,14.095330248861323,13.8882963081
2014-11,1040992.5514125441,204144.2218635859,839921.1381325859,1492796.0,6600.0,1486196.0,3010469.0,11486.0,1460.0,2997523.0,655287.0,542618.0,6592.0,106077.0,157908.0,13.141730137506762,13.3592183535
2014-12,1009917.2233183192,174649.3625234183,833009.4371629903,1504783.0,7273.0,1497510.0,2776953.0,13958.0,1532.0,2761463.0,642130.0,531758.0,184.0,110188.0,140415.0,12.306479834014844,12.3010624443
2015-01,998716.2159146465,183633.5941768151,816158.3821190742,1353786.0,6468.0,1347318.0,2627178.0,16634.0,1357.0,2609187.0,634420.0,537288.0,234.0,96898.0,140729.0,12.111125509644882,11.8358875662
2015-02,1000500.5248169785,189137.0038387359,813766.2086709666,1281641.0,6347.0,1275294.0,2607247.0,14565.0,1155.0,2591527.0,572335.0,473105.0,11660.0,87570.0,138481.0,12.137513174604486,12.3738824555
2015-03,1110221.8130489648,223102.1166664615,889543.0179918119,1534793.0,8440.0,1526353.0,3082262.0,17196.0,1289.0,3063777.0,673395.0,564243.0,8683.0,100469.0,162505.0,13.251855937877439,13.1808747896
